COUNT;HORN RULES (filtered)
10/10;kvinne & modell ---> FALSE
6/10;kvinne & eldre enn 60 ---> sykepleier
5/10;musiker & kvinne ---> FALSE
5/10;mellom 20 og 30 & sykepleier & mann ---> FALSE
4/10;kvinne & elektriker ---> FALSE
4/10;musiker ---> mann
3/10;Sør Amerika & kvinne & mellom 50 og 60 ---> psykolog
3/10;Tromsø & Australia ---> mann
3/10;frisør & Bodø ---> Afrika
3/10;frisør & Bodø ---> kvinne
3/10;frisør & Kristiansand & mann ---> Australia
3/10;frisør & Kristiansand & mann ---> eldre enn 60
3/10;frisør & Stavanger & mann ---> Europa
3/10;frisør & Stavanger & mann ---> eldre enn 60
3/10;frisør & Trondheim & mann ---> eldre enn 60
3/10;mellom 20 og 30 & rørlegger ---> kvinne
3/10;mellom 30 og 40 & Europa ---> mann
3/10;psykolog & Bergen & mann ---> Asia
3/10;psykolog & Bergen & mann ---> eldre enn 60
3/10;psykolog & Oslo & mann ---> eldre enn 60
3/10;psykolog & Sør Amerika ---> kvinne
3/10;yngre enn 20 & Asia ---> mann
3/10;yngre enn 20 & Tromsø ---> frisør
3/10;yngre enn 20 & Tromsø ---> mann
3/10;Ålesund & Afrika & kvinne ---> mellom 40 og 50
3/10;Ålesund & Afrika & kvinne ---> psykolog
3/10;Bodø & Afrika & kvinne & mellom 40 og 50 ---> FALSE
3/10;Stavanger & Nord Amerika & mann & mellom 40 og 50 & rørlegger ---> FALSE
3/10;frisør & Oslo & mellom 30 og 40 & Sør Amerika & mann ---> FALSE
3/10;kvinne & mellom 50 og 60 & rørlegger ---> FALSE
3/10;mellom 20 og 30 & Kristiansand & Sør Amerika & mann & elektriker ---> FALSE
3/10;mellom 20 og 30 & psykolog & Europa & mann ---> FALSE
3/10;mellom 20 og 30 & psykolog & Ålesund & Australia & mann ---> FALSE
3/10;psykolog & Kristiansand & Asia & mann ---> FALSE
3/10;sykepleier & Europa & mann & mellom 40 og 50 ---> FALSE
3/10;sykepleier & Stavanger & mann ---> FALSE
3/10;sykepleier & Tromsø & Nord Amerika & mann & eldre enn 60 ---> FALSE
3/10;sykepleier & Trondheim & mann ---> FALSE
3/10;sykepleier & mellom 30 og 40 & mann ---> FALSE
3/10;sykepleier & Ålesund & mann ---> FALSE
3/10;yngre enn 20 & Stavanger & Afrika & mann & rørlegger ---> FALSE
3/10;yngre enn 20 & kvinne & advokat ---> FALSE
3/10;yngre enn 20 & sykepleier & Oslo & Europa & mann ---> FALSE
3/10;Ålesund & kvinne & mellom 50 og 60 ---> FALSE
2/10;kvinne & rørlegger ---> mellom 30 og 40
2/10;Oslo & mellom 30 og 40 ---> Afrika
2/10;Oslo & mellom 30 og 40 ---> mann
2/10;Oslo & mellom 30 og 40 ---> modell
2/10;Stavanger & Nord Amerika ---> mann
2/10;Stavanger & Nord Amerika ---> mellom 20 og 30
2/10;Stavanger & Nord Amerika ---> musiker
2/10;eldre enn 60 ---> mann
2/10;frisør & Trondheim ---> Australia
2/10;mellom 20 og 30 & Kristiansand ---> Europa
2/10;mellom 20 og 30 & Kristiansand ---> advokat
2/10;mellom 20 og 30 & Kristiansand ---> kvinne
2/10;mellom 20 og 30 & Sør Amerika & kvinne ---> Tromsø
2/10;mellom 20 og 30 & Sør Amerika & kvinne ---> frisør
2/10;mellom 30 og 40 & Asia ---> Trondheim
