COUNT;HORN RULES (filtered)
10/10;musiker & kvinne ---> FALSE
9/10;kvinne & advokat ---> FALSE
9/10;kvinne & elektriker ---> FALSE
5/10;kvinne & rørlegger ---> Afrika
5/10;frisør & kvinne ---> Kristiansand
5/10;mellom 20 og 30 & sykepleier & mann ---> FALSE
5/10;sykepleier & mann & mellom 40 og 50 ---> FALSE
5/10;kvinne & eldre enn 60 ---> Stavanger
5/10;kvinne & eldre enn 60 ---> sykepleier
4/10;sykepleier & Kristiansand & mann ---> FALSE
3/10;yngre enn 20 & kvinne ---> FALSE
3/10;yngre enn 20 & kvinne ---> modell
3/10;Afrika & mann & modell ---> Bodø
3/10;Afrika & mann & modell ---> eldre enn 60
3/10;Afrika & rørlegger ---> kvinne
3/10;Bergen & mellom 30 og 40 ---> Afrika
3/10;Bergen & mellom 30 og 40 ---> advokat
3/10;Bergen & mellom 30 og 40 ---> mann
3/10;Oslo & Asia ---> mann
3/10;Oslo & Asia ---> mellom 40 og 50
3/10;Oslo & Asia ---> musiker
3/10;Oslo & Australia ---> elektriker
3/10;Oslo & Australia ---> mann
3/10;Oslo & Australia ---> yngre enn 20
3/10;Stavanger & Australia & kvinne & mellom 50 og 60 ---> modell
3/10;Sør Amerika & modell ---> kvinne
3/10;Trondheim & kvinne & mellom 40 og 50 ---> Afrika
3/10;Trondheim & kvinne & mellom 40 og 50 ---> rørlegger
3/10;kvinne & eldre enn 60 ---> Asia
3/10;kvinne & mellom 40 og 50 & rørlegger ---> Afrika
3/10;kvinne & mellom 40 og 50 & rørlegger ---> Trondheim
3/10;kvinne & mellom 50 og 60 & rørlegger ---> Afrika
3/10;mellom 20 og 30 & Oslo ---> Europa
3/10;mellom 20 og 30 & Oslo ---> advokat
3/10;mellom 20 og 30 & Oslo ---> mann
3/10;mellom 20 og 30 & Trondheim & kvinne ---> Afrika
3/10;mellom 20 og 30 & Trondheim & kvinne ---> sykepleier
3/10;mellom 20 og 30 & psykolog ---> Afrika
3/10;mellom 20 og 30 & psykolog ---> mann
3/10;mellom 30 og 40 & Australia & kvinne ---> Bodø
3/10;mellom 30 og 40 & Australia & kvinne ---> modell
3/10;mellom 30 og 40 & Tromsø & Europa & kvinne ---> modell
3/10;psykolog & Australia ---> Kristiansand
3/10;psykolog & Australia ---> kvinne
3/10;sykepleier & Europa ---> kvinne
3/10;sykepleier & Ålesund & mann ---> Nord Amerika
3/10;sykepleier & Ålesund & mann ---> yngre enn 20
3/10;yngre enn 20 & Bergen & kvinne ---> Nord Amerika
3/10;yngre enn 20 & Bergen & kvinne ---> modell
3/10;yngre enn 20 & Kristiansand & kvinne ---> Australia
3/10;yngre enn 20 & Kristiansand & kvinne ---> modell
3/10;yngre enn 20 & Nord Amerika & kvinne ---> Bergen
3/10;yngre enn 20 & Nord Amerika & kvinne ---> modell
3/10;Ålesund & Europa & mann ---> frisør
3/10;Ålesund & Europa & mann ---> mellom 50 og 60
3/10;Bergen & Afrika & kvinne & rørlegger ---> FALSE
3/10;Bodø & Europa & kvinne & mellom 50 og 60 ---> FALSE
3/10;Bodø & Sør Amerika & kvinne ---> FALSE
3/10;Europa & kvinne & rørlegger ---> FALSE
3/10;Kristiansand & mann & modell ---> FALSE
3/10;Kristiansand & mellom 30 og 40 & kvinne & rørlegger ---> FALSE
3/10;Oslo & Sør Amerika & kvinne & rørlegger ---> FALSE
3/10;Stavanger & Afrika & mann ---> FALSE
3/10;Stavanger & mellom 30 og 40 & Sør Amerika & kvinne ---> FALSE
3/10;Tromsø & Afrika & kvinne & mellom 40 og 50 ---> FALSE
3/10;Tromsø & Australia & mann & modell ---> FALSE
3/10;Tromsø & Nord Amerika & kvinne & rørlegger ---> FALSE
3/10;Trondheim & mellom 30 og 40 & Nord Amerika & kvinne ---> FALSE
3/10;mellom 30 og 40 & Bodø & Afrika & kvinne ---> FALSE
3/10;psykolog & mellom 30 og 40 & Nord Amerika & kvinne ---> FALSE
3/10;psykolog & Ålesund & Sør Amerika & mann ---> FALSE
3/10;sykepleier & Kristiansand & Afrika & mann & eldre enn 60 ---> FALSE
3/10;sykepleier & mellom 30 og 40 & mann ---> FALSE
3/10;yngre enn 20 & Afrika & kvinne ---> FALSE
3/10;yngre enn 20 & Tromsø & kvinne ---> FALSE
3/10;yngre enn 20 & Trondheim & kvinne ---> FALSE
3/10;yngre enn 20 & kvinne & rørlegger ---> FALSE
3/10;Ålesund & Nord Amerika & kvinne & mellom 50 og 60 ---> FALSE
3/10;Ålesund & kvinne & rørlegger ---> FALSE
2/10;frisør & kvinne ---> FALSE
2/10;kvinne & eldre enn 60 ---> FALSE
2/10;Oslo & Asia & kvinne ---> FALSE
2/10;Asia & kvinne & mellom 40 og 50 ---> Trondheim
2/10;Asia & kvinne & mellom 40 og 50 ---> modell
2/10;Europa & mann & modell ---> Tromsø
2/10;Europa & mann & modell ---> yngre enn 20
2/10;Nord Amerika & mann & modell ---> Oslo
2/10;Nord Amerika & mann & modell ---> yngre enn 20
2/10;Sør Amerika & mann & modell ---> yngre enn 20
2/10;Trondheim & Afrika ---> kvinne
2/10;Trondheim & Afrika ---> mellom 40 og 50
2/10;Trondheim & Afrika ---> rørlegger
2/10;frisør & kvinne ---> Europa
2/10;kvinne & rørlegger ---> mellom 40 og 50
2/10;mellom 30 og 40 & Nord Amerika ---> mann
2/10;mellom 30 og 40 & Nord Amerika ---> psykolog
2/10;mellom 30 og 40 & Nord Amerika ---> Ålesund
2/10;psykolog & Asia ---> Bergen
2/10;psykolog & Asia ---> kvinne
2/10;psykolog & Australia ---> mann
2/10;sykepleier & Afrika & mann ---> eldre enn 60
2/10;Asia & mann & modell ---> FALSE
2/10;Australia & mann & modell ---> FALSE
2/10;Nord Amerika & kvinne & mellom 40 og 50 ---> FALSE
2/10;Stavanger & Sør Amerika ---> FALSE
2/10;Stavanger & mellom 30 og 40 & Asia & kvinne ---> FALSE
2/10;mellom 20 og 30 & Bergen & Afrika & kvinne ---> FALSE
2/10;psykolog & Bergen & Nord Amerika & kvinne & mellom 50 og 60 ---> FALSE
2/10;sykepleier & Oslo & Nord Amerika & mann ---> FALSE
2/10;sykepleier & mann & mellom 50 og 60 ---> FALSE
2/10;Asia & kvinne & mellom 50 og 60 ---> Tromsø
2/10;Asia & kvinne & mellom 50 og 60 ---> sykepleier
2/10;Asia & mann & modell ---> Tromsø
2/10;Asia & mann & modell ---> eldre enn 60
2/10;Bergen & Europa ---> mann
2/10;Bergen & Europa ---> mellom 50 og 60
2/10;Bergen & Europa ---> rørlegger
2/10;Bodø & kvinne ---> Sør Amerika
2/10;Bodø & kvinne ---> sykepleier
2/10;Kristiansand & Nord Amerika & mann ---> musiker
2/10;Kristiansand & Nord Amerika & mann ---> yngre enn 20
2/10;Stavanger & Sør Amerika & mann ---> sykepleier
2/10;Stavanger & Sør Amerika & mann ---> yngre enn 20
2/10;Stavanger & mellom 50 og 60 ---> Afrika
2/10;Stavanger & mellom 50 og 60 ---> mann
2/10;kvinne & rørlegger ---> Stavanger
2/10;kvinne & rørlegger ---> mellom 30 og 40
2/10;psykolog & mellom 50 og 60 ---> Australia
2/10;psykolog & mellom 50 og 60 ---> Kristiansand
2/10;psykolog & mellom 50 og 60 ---> kvinne
2/10;sykepleier & Tromsø & mann ---> Nord Amerika
2/10;sykepleier & Tromsø & mann ---> eldre enn 60
2/10;yngre enn 20 & kvinne ---> Asia
2/10;yngre enn 20 & kvinne ---> Oslo
2/10;Stavanger & mellom 30 og 40 & Europa & kvinne ---> FALSE
2/10;Trondheim & mellom 30 og 40 & Australia & kvinne ---> FALSE
2/10;frisør & Bergen & mellom 30 og 40 & Sør Amerika & kvinne ---> FALSE
