COUNT;HORN RULES (filtered)
6/6;musiker & kvinne ---> FALSE
5/6;kvinne & advokat ---> FALSE
5/6;kvinne & elektriker ---> FALSE
3/6;kvinne & rørlegger ---> Afrika
2/6;frisør & kvinne ---> FALSE
2/6;kvinne & eldre enn 60 ---> FALSE
2/6;yngre enn 20 & kvinne ---> FALSE
2/6;yngre enn 20 & kvinne ---> modell
2/6;Oslo & Asia & kvinne ---> FALSE
2/6;frisør & kvinne ---> Kristiansand
2/6;mellom 20 og 30 & sykepleier & mann ---> FALSE
2/6;sykepleier & Kristiansand & mann ---> FALSE
2/6;sykepleier & mann & mellom 40 og 50 ---> FALSE
2/6;kvinne & eldre enn 60 ---> Stavanger
2/6;kvinne & eldre enn 60 ---> sykepleier
1/6;Bergen & kvinne ---> sykepleier
1/6;Bodø & kvinne ---> mellom 40 og 50
1/6;Bodø & kvinne ---> modell
1/6;Oslo ---> mann
1/6;mellom 20 og 30 & kvinne ---> Sør Amerika
1/6;mellom 20 og 30 & kvinne ---> modell
1/6;Ålesund & Afrika & mann ---> elektriker
1/6;Ålesund & Afrika & mann ---> mellom 50 og 60
1/6;mann & modell ---> FALSE
1/6;psykolog & Trondheim & mellom 30 og 40 & Nord Amerika & kvinne ---> FALSE
1/6;sykepleier & mellom 30 og 40 & Europa & mann ---> FALSE
1/6;Ålesund & Nord Amerika & kvinne & rørlegger ---> FALSE
1/6;Ålesund & mellom 30 og 40 & Australia & kvinne ---> FALSE
1/6;Kristiansand & Sør Amerika & mann ---> mellom 50 og 60
1/6;Oslo ---> kvinne
1/6;frisør ---> mann
1/6;kvinne & rørlegger ---> mellom 50 og 60
1/6;yngre enn 20 & kvinne ---> Australia
1/6;yngre enn 20 & kvinne ---> Trondheim
1/6;Bergen & mellom 30 og 40 ---> FALSE
1/6;Trondheim & Australia & kvinne & mellom 40 og 50 ---> FALSE
1/6;psykolog & Stavanger & Nord Amerika & mann ---> FALSE
1/6;Ålesund & Afrika & mellom 50 og 60 ---> FALSE
1/6;Bergen & Sør Amerika & mann ---> yngre enn 20
1/6;Europa & mann ---> advokat
