COUNT;HORN RULES (filtered)
3/3;kvinne & elektriker ---> FALSE
3/3;kvinne & rørlegger ---> FALSE
3/3;mann & modell ---> FALSE
3/3;musiker & kvinne ---> FALSE
3/3;sykepleier & mann ---> FALSE
1/3;Afrika & eldre enn 60 ---> mann
1/3;Afrika & eldre enn 60 ---> rørlegger
1/3;frisør & mann ---> yngre enn 20
1/3;Ålesund ---> kvinne
1/3;Oslo & Nord Amerika & kvinne & eldre enn 60 & advokat ---> FALSE
1/3;mellom 20 og 30 & kvinne & advokat ---> FALSE
1/3;Ålesund & Europa & kvinne & mellom 40 og 50 ---> FALSE
1/3;Oslo & mann & eldre enn 60 ---> rørlegger
1/3;Tromsø ---> mann
1/3;frisør & mann ---> Afrika
1/3;frisør & mann ---> eldre enn 60
1/3;kvinne & advokat ---> Australia
1/3;Bergen & kvinne & mellom 40 og 50 ---> FALSE
1/3;Bodø & Asia & mann & eldre enn 60 & advokat ---> FALSE
1/3;Trondheim & Europa & mann & eldre enn 60 & advokat ---> FALSE
1/3;Trondheim & mellom 30 og 40 & Nord Amerika & kvinne ---> FALSE
1/3;Bodø & Asia & mann & eldre enn 60 ---> musiker
1/3;Trondheim & mann ---> Nord Amerika
1/3;Trondheim & mann ---> mellom 20 og 30
1/3;mellom 20 og 30 & Australia & kvinne ---> Oslo
1/3;psykolog ---> kvinne
1/3;Bodø & Sør Amerika & mann & eldre enn 60 ---> FALSE
1/3;Kristiansand & mann & eldre enn 60 ---> FALSE
1/3;frisør & mann ---> FALSE
