COUNT;HORN RULES (filtered)
6/6;kvinne & advokat ---> FALSE
6/6;kvinne & elektriker ---> FALSE
6/6;kvinne & rørlegger ---> FALSE
6/6;musiker & kvinne ---> FALSE
6/6;psykolog & kvinne ---> FALSE
4/6;frisør & Sør Amerika & mann ---> FALSE
3/6;mann & modell ---> FALSE
3/6;Nord Amerika & mann & modell ---> FALSE
3/6;frisør & Australia & mann ---> FALSE
2/6;frisør & Europa & mann ---> FALSE
2/6;frisør & Nord Amerika & mann ---> FALSE
2/6;frisør & Asia ---> kvinne
1/6;Bodø & eldre enn 60 ---> Australia
1/6;Bodø & eldre enn 60 ---> kvinne
1/6;Bodø & eldre enn 60 ---> modell
1/6;Stavanger ---> Nord Amerika
1/6;yngre enn 20 & kvinne ---> Australia
1/6;yngre enn 20 & kvinne ---> sykepleier
1/6;yngre enn 20 & kvinne ---> Ålesund
1/6;Tromsø & Sør Amerika & kvinne ---> FALSE
1/6;frisør & Asia & mann & mellom 50 og 60 ---> FALSE
1/6;mellom 20 og 30 & sykepleier & Kristiansand & Sør Amerika & mann ---> FALSE
1/6;sykepleier & Asia & mann ---> FALSE
1/6;sykepleier & Oslo & Europa & mann & mellom 50 og 60 ---> FALSE
1/6;yngre enn 20 & frisør & Bodø & Afrika & mann ---> FALSE
1/6;mellom 20 og 30 & kvinne ---> Europa
1/6;mellom 20 og 30 & kvinne ---> modell
1/6;sykepleier & eldre enn 60 ---> mann
1/6;Bodø & Afrika & kvinne ---> FALSE
1/6;sykepleier & Kristiansand & kvinne & mellom 50 og 60 ---> FALSE
1/6;sykepleier & mann & mellom 40 og 50 ---> FALSE
1/6;Kristiansand & Sør Amerika & kvinne & eldre enn 60 ---> sykepleier
1/6;frisør & Bodø ---> mann
1/6;frisør & Bodø ---> mellom 50 og 60
1/6;sykepleier & mann ---> Oslo
1/6;sykepleier & mann ---> mellom 50 og 60
1/6;frisør & mellom 30 og 40 & Nord Amerika & mann ---> FALSE
1/6;frisør & mellom 30 og 40 & Tromsø & Asia & mann ---> FALSE
1/6;yngre enn 20 & frisør & Trondheim & kvinne ---> FALSE
1/6;sykepleier & Europa & mann ---> Oslo
1/6;sykepleier & Europa & mann ---> eldre enn 60
1/6;sykepleier & Tromsø ---> kvinne
1/6;sykepleier & mann & mellom 50 og 60 ---> Kristiansand
1/6;yngre enn 20 & Bergen & kvinne ---> Nord Amerika
1/6;yngre enn 20 & Bergen & kvinne ---> frisør
1/6;Afrika & mann & modell ---> FALSE
1/6;Kristiansand & Sør Amerika ---> FALSE
1/6;Stavanger & mann & mellom 50 og 60 & modell ---> FALSE
1/6;Trondheim & Nord Amerika & kvinne & mellom 40 og 50 ---> FALSE
