COUNT;HORN RULES (filtered)
10/10;frisør & kvinne ---> FALSE
10/10;kvinne & rørlegger ---> FALSE
9/10;kvinne & advokat ---> FALSE
8/10;kvinne & elektriker ---> FALSE
8/10;musiker & kvinne ---> FALSE
8/10;psykolog & kvinne ---> FALSE
6/10;kvinne & mellom 50 og 60 ---> modell
6/10;yngre enn 20 & mann & modell ---> FALSE
5/10;mellom 30 og 40 & kvinne ---> modell
5/10;Afrika & mann & modell ---> Ålesund
5/10;sykepleier & Stavanger & kvinne ---> Europa
4/10;Stavanger & kvinne ---> modell
3/10;kvinne & mellom 40 og 50 ---> Afrika
3/10;kvinne & mellom 40 og 50 ---> modell
3/10;Australia & kvinne ---> modell
3/10;Kristiansand & kvinne ---> modell
3/10;yngre enn 20 & Tromsø & kvinne ---> sykepleier
3/10;Afrika & mann & modell ---> mellom 40 og 50
3/10;Bergen & Europa & kvinne ---> modell
3/10;Bergen & mann & modell ---> mellom 30 og 40
3/10;Bodø & Afrika & kvinne ---> modell
3/10;Kristiansand & Afrika & kvinne & eldre enn 60 ---> modell
3/10;Kristiansand & Sør Amerika & kvinne ---> modell
3/10;Oslo & Europa & kvinne ---> sykepleier
3/10;Oslo & Europa & kvinne ---> yngre enn 20
3/10;Stavanger & kvinne & eldre enn 60 ---> Europa
3/10;Stavanger & kvinne & eldre enn 60 ---> sykepleier
3/10;Tromsø & Afrika & kvinne ---> sykepleier
3/10;Tromsø & Afrika & kvinne ---> yngre enn 20
3/10;Trondheim & Asia & kvinne ---> sykepleier
3/10;Trondheim & Asia & kvinne ---> yngre enn 20
3/10;Trondheim & modell ---> kvinne
3/10;eldre enn 60 & modell ---> kvinne
3/10;mellom 30 og 40 & Australia & kvinne ---> Bodø
3/10;mellom 30 og 40 & Australia & kvinne ---> modell
3/10;mellom 30 og 40 & Bodø & kvinne ---> Australia
3/10;mellom 30 og 40 & Bodø & kvinne ---> modell
3/10;sykepleier & Oslo & kvinne ---> Europa
3/10;sykepleier & Oslo & kvinne ---> yngre enn 20
3/10;sykepleier & Stavanger & kvinne ---> eldre enn 60
3/10;sykepleier & Trondheim & Europa & mann ---> mellom 20 og 30
3/10;sykepleier & mann & eldre enn 60 ---> Stavanger
