ITERATION;LEN(HYP);SAMPLENR;RUNTIME(sample);RUNTIME(total)s;RUNTIME(total)
1;88;2;1.351;1.351;0:00:01
2;118;3;1.664;3.015;0:00:03
3;92;1;0.459;3.474;0:00:03
4;87;1;0.652;4.126;0:00:04
5;102;1;1.218;5.344;0:00:05
6;103;1;1.458;6.802;0:00:06
7;104;2;2.301;9.103;0:00:09
8;113;1;2.183;11.286;0:00:11
9;119;1;2.576;13.862;0:00:13
10;125;3;3.281;17.143;0:00:17
11;135;4;3.639;20.782;0:00:20
12;113;3;2.385;23.167;0:00:23
13;107;1;2.601;25.768;0:00:25
14;110;1;2.483;28.251;0:00:28
15;107;2;1.920;30.171;0:00:30
16;102;2;1.722;31.893;0:00:31
17;115;3;3.130;35.023;0:00:35
18;116;2;2.702;37.725;0:00:37
19;124;1;2.881;40.606;0:00:40
20;145;1;2.796;43.402;0:00:43
21;151;1;3.282;46.684;0:00:46
22;160;4;5.437;52.121;0:00:52
23;162;2;4.472;56.593;0:00:56
24;144;3;3.532;60.125;0:01:00
25;141;3;3.414;63.539;0:01:03
26;156;2;4.238;67.777;0:01:07
27;158;1;4.153;71.93;0:01:11
28;168;5;7.307;79.237;0:01:19
29;177;2;5.830;85.067;0:01:25
30;198;1;5.545;90.612;0:01:30
31;205;1;5.975;96.587;0:01:36
32;198;1;7.115;103.702;0:01:43
33;173;3;4.738;108.44;0:01:48
34;174;1;5.445;113.885;0:01:53
35;188;1;6.476;120.361;0:02:00
36;202;3;7.388;127.749;0:02:07
37;198;3;5.089;132.838;0:02:12
38;207;1;7.135;139.973;0:02:19
39;219;5;9.295;149.268;0:02:29
40;199;1;6.567;155.835;0:02:35
41;196;8;7.433;163.268;0:02:43
42;196;1;6.915;170.183;0:02:50
43;203;2;6.875;177.058;0:02:57
44;200;3;5.186;182.244;0:03:02
45;214;4;8.310;190.554;0:03:10
46;196;1;6.918;197.472;0:03:17
47;187;3;7.533;205.005;0:03:25
48;181;1;6.495;211.5;0:03:31
49;190;1;6.841;218.341;0:03:38
50;191;1;6.326;224.667;0:03:44
51;190;4;5.381;230.048;0:03:50
52;188;1;3.787;233.835;0:03:53
53;186;1;3.481;237.316;0:03:57
54;184;1;3.503;240.819;0:04:00
55;166;1;3.167;243.986;0:04:03
56;167;7;9.849;253.835;0:04:13
57;168;2;7.124;260.959;0:04:20
58;188;3;8.291;269.25;0:04:29
59;187;2;4.004;273.254;0:04:33
60;201;7;11.658;284.912;0:04:44
61;200;6;11.567;296.479;0:04:56
62;198;3;4.801;301.28;0:05:01
63;200;2;7.855;309.135;0:05:09
64;207;5;10.271;319.406;0:05:19
65;216;5;10.233;329.639;0:05:29
66;231;2;9.582;339.221;0:05:39
67;227;1;4.700;343.921;0:05:43
68;206;2;4.715;348.636;0:05:48
69;202;4;5.588;354.224;0:05:54
70;214;18;17.333;371.557;0:06:11
71;208;2;10.466;382.023;0:06:22
72;217;5;11.714;393.737;0:06:33
73;212;9;16.552;410.289;0:06:50
74;200;1;9.004;419.293;0:06:59
75;198;13;10.211;429.504;0:07:09
76;197;3;4.965;434.469;0:07:14
77;198;4;10.643;445.112;0:07:25
78;194;3;4.978;450.09;0:07:30
79;208;3;10.168;460.258;0:07:40
80;207;7;7.046;467.304;0:07:47
81;195;6;11.493;478.797;0:07:58
82;202;6;12.591;491.388;0:08:11
83;202;2;11.178;502.566;0:08:22
84;198;7;13.296;515.862;0:08:35
85;195;4;5.215;521.077;0:08:41
86;196;1;9.823;530.9;0:08:50
87;197;7;13.293;544.193;0:09:04
88;211;16;18.702;562.895;0:09:22
89;211;5;13.315;576.21;0:09:36
90;220;11;15.610;591.82;0:09:51
91;227;1;12.779;604.599;0:10:04
92;241;1;13.814;618.413;0:10:18
93;233;7;17.188;635.601;0:10:35
94;231;3;6.368;641.969;0:10:41
95;232;3;14.841;656.81;0:10:56
96;245;1;14.283;671.093;0:11:11
97;246;1;14.571;685.664;0:11:25
98;246;10;19.633;705.297;0:11:45
99;244;16;17.024;722.321;0:12:02
100;229;1;14.422;736.743;0:12:16
