ATTRIBUTE;COUNT
skuespiller;71
barn;53
mann;48
politiker;46
dansk;45
lærer;38
familie;37
kommune;36
journalist;31
datter;29
spiller;28
k;25
agent;24
kone;22
ski;19
tante;16
del;15
advokat;15
bror;14
kommun;13
.;11
bank;11
arkitekt;10
f;9
art;9
sønn;9
musiker;8
dr;8
robot;8
fisk;7
Danmark;6
musikk;6
jobb;6
klasse;6
konge;6
dronning;5
baby;5
##k;5
storm;5
mor;5
statsminister;5
kamp;4
by;4
ord;4
K;4
person;4
prins;4
restaurant;3
sv;3
DJ;3
mineral;3
kandidat;3
hun;3
soldat;3
far;3
komponist;3
Eva;2
mand;2
student;2
ung;2
svensk;2
politik;2
skole;2
sp;2
l;2
avis;2
arts;2
tysk;2
Gerd;2
rolle;2
skip;2
d;1
gift;1
Karen;1
lege;1
fjell;1
Ruth;1
gård;1
fr;1
artist;1
N;1
designer;1
sign;1
symbol;1
fl;1
skog;1
kunst;1
son;1
S;1
Brit;1
sanger;1
stat;1
Bulgarien;1
Sara;1
kristen;1
Marte;1
mag;1
planet;1
planete;1
bygd;1
Linn;1
grad;1
engelsk;1
Kari;1
russisk;1
##hver;1
Jenny;1
film;1
Mona;1
det;1
grein;1
Julie;1
Liv;1
##l;1
Heidi;1
diplomat;1
Alma;1
senator;1
bil;1
slekt;1
hustru;1
søn;1
ting;1
tone;1
Tone;1
voksne;1
opera;1
kl;1
s;1
linje;1
Emma;1
bin;1
vind;1
norsk;1
Camilla;1
