ATTRIBUTE;COUNT
politiker;54
skuespiller;53
bror;52
sønn;40
mann;37
spiller;35
journalist;35
agent;30
kommune;24
dansk;23
barn;23
konge;20
lærer;20
musiker;18
robot;17
advokat;15
soldat;11
ord;11
ski;11
DJ;9
statsminister;8
arkitekt;8
del;7
k;6
bank;6
søn;5
fisk;5
familie;5
kristen;4
art;4
far;4
l;4
kommun;4
norsk;3
f;3
Danmark;3
komponist;3
son;3
Kjell;2
fotballspiller;2
prins;2
Noah;2
.;2
kandidat;2
Oskar;2
Jakob;2
jobb;2
kone;2
slekt;2
Adrian;2
Thomas;2
K;2
bok;2
Daniel;2
man;2
fodboldspiller;2
Jan;2
Sebastian;2
Liam;2
John;2
han;2
student;1
pastor;1
kirke;1
Gud;1
Johannes;1
Oliver;1
manager;1
sp;1
diplomat;1
ø;1
##sel;1
OL;1
gård;1
Alexander;1
arm;1
klasse;1
Rolf;1
mand;1
taxi;1
Karl;1
film;1
Olav;1
sv;1
Johan;1
storm;1
dronning;1
Olaf;1
Harald;1
Anders;1
Lucas;1
engelsk;1
jurist;1
d;1
musikk;1
ridder;1
by;1
Tor;1
ung;1
ting;1
Markus;1
tysk;1
band;1
Knut;1
o;1
dk;1
partner;1
Irland;1
dr;1
Magnus;1
mester;1
Bjørn;1
