ATTRIBUTE;COUNT
skuespiller;1725
advokat;1466
journalist;1330
lærer;1325
barn;793
modell;737
forfatter;496
manager;392
model;203
musiker;142
instruktør;142
professor;96
fotograf;79
produsent;63
maler;53
pianist;50
assistent;34
artist;29
roman;27
svensk;23
gift;22
film;20
mor;20
fjord;19
elv;17
arkitekt;15
trener;14
dronning;14
mann;14
kommune;13
landsby;13
tante;12
o;12
hund;12
bok;10
lege;10
dal;10
dj;9
norsk;8
person;8
slekt;8
asteroide;8
vulkan;8
dr;7
ø;6
statsminister;6
rektor;6
fotballspiller;5
poet;5
konge;5
organist;4
soldater;4
mennesker;4
voksne;4
direktør;4
fjell;4
biskop;3
redaktør;3
tysk;3
astronaut;3
doktor;3
sheriff;3
kaptein;3
familie;3
reporter;3
saga;3
gud;2
planter;2
unge;2
fisk;2
bonde;2
soldat;2
ord;2
sanger;2
datter;2
by;2
plante;2
art;2
kulle;2
bygd;1
ceo;1
linje;1
kanal;1
opera;1
dansk;1
gang;1
serie;1
liten;1
dag;1
kirke;1
kristen;1
maria;1
martyr;1
arbeider;1
leder;1
medlem;1
dame;1
nunatak;1
dyr;1
sadan;1
regent;1
insektsart;1
arhitekt;1
menneske;1
konsul;1
astronom;1
meteor;1
planet;1
asteroid;1
komet;1
politiker;1
tanar;1
tone;1
sang;1
han;1
pseudonym;1
orkideart;1
viking;1
