ATTRIBUTE;COUNT
advokat;72
journalist;72
lærer;68
assistent;49
forfatter;39
skuespiller;34
maler;27
mann;23
manager;19
fotograf;18
person;18
professor;17
reporter;16
lege;16
fjord;16
roman;15
fotballspiller;11
musiker;11
landsby;10
bok;10
hund;10
elv;9
kommune;8
politiker;8
ø;7
poet;7
figur;7
dal;6
konge;5
viking;5
o;5
bonde;5
vulkan;5
slekt;4
gud;4
biskop;4
agent;4
fjell;4
asteroide;3
film;3
svensk;3
fisk;3
fodboldspiller;3
historiker;2
teolog;2
martyr;2
as;2
soldat;2
saga;2
kristen;2
norsk;2
art;1
kirke;1
artist;1
by;1
engel;1
tante;1
hacker;1
ord;1
rune;1
astronom;1
jarl;1
mate;1
symbol;1
vektor;1
spire;1
##edt;1
og;1
moh;1
vei;1
bjørn;1
ven;1
