ATTRIBUTE;COUNT FEMALE;COUNT MALE;P(FEMALE);P(MALE);P(PPBS);GOLD PPBS
journalist;1461;1134;0.071;0.061;-0.01;0.072
modell;1354;61;0.099;0.067;-0.032;-0.368
advokat;890;1306;0.056;0.108;0.052;0.02
fotograf;1277;1002;0.062;0.056;-0.006;0.332
lærer;1267;1150;0.097;0.1;0.003;-0.378
psykolog;155;260;0.047;0.041;-0.006;-0.51
skuespiller;170;183;0.052;0.053;0.001;0.002
prest;13;106;0.032;0.041;0.009;0.33
jurist;10;99;0.034;0.031;-0.003;-0.284
leder;20;85;0.046;0.051;0.005;0.306
professor;7;67;0.03;0.029;-0.001;0.336
forfatter;47;66;0.041;0.033;-0.008;-0.114
revisor;4;52;0.036;0.037;0.001;0.026
kaptein;0;12;0;0.037;0.037;0.98
lege;0;2;0;0.03;0.03;-0.086
arkitekt;1;0;0.03;0;-0.03;-0.008
guide;1;0;0.033;0;-0.033;0.008
arkeolog;1;0;0.046;0;-0.046;-0.412
biolog;1;0;0.041;0;-0.041;0.028
lektor;1;0;0.03;0;-0.03;-0.246
