ATTRIBUTE;COUNT
barn;1470
f;1136
lærer;917
skuespiller;846
mor;703
k;407
d;366
far;266
journalist;224
baby;211
T;165
dr;152
K;119
L;113
jobb;110
l;101
kone;83
sønn;75
ung;70
mann;69
Mrs;67
tante;64
datter;57
Sp;56
politiker;55
faren;53
hun;51
dansk;44
D;43
gift;42
kommune;37
Liv;31
sp;31
advokat;30
bl;25
Dr;25
t;25
R;24
Anne;23
Jenny;22
Emma;22
P;22
Linn;21
musiker;20
Julie;19
Marianne;19
Heidi;19
Ann;19
Ruth;19
Emilie;19
lege;19
ski;19
Sara;19
Eva;19
Maria;19
Alma;18
Mona;18
Mary;18
Olivia;18
Frida;18
Sofia;18
Olga;18
Gerd;18
Karen;17
Nora;17
Lea;17
Helene;17
fotballspiller;17
Monica;16
Tone;16
Nina;16
Linda;15
del;15
Amalie;14
han;14
Line;14
Helga;14
dronning;14
Camilla;13
Ingrid;13
kommun;13
Marie;13
Christina;13
Kristin;12
Marta;12
Else;12
Ida;12
Elisabeth;12
Ellie;12
Maja;11
ev;11
Astrid;10
Kari;10
bank;10
Margit;10
arkitekt;10
.;10
familie;9
Hanna;9
Alex;9
art;9
fisk;8
soldat;8
konge;8
en;8
kristen;7
Ingeborg;7
Inga;7
Ella;6
komponist;6
Marte;6
musikk;6
Danmark;6
Anna;6
mon;5
filosof;5
senator;5
kl;5
bil;5
storm;5
E;5
klasse;5
de;5
##k;5
statsminister;5
pr;4
Ada;4
liv;4
beste;4
Anita;4
F;4
li;4
linje;4
spiller;4
prins;4
Lilly;4
skole;4
ord;4
kamp;4
model;3
sv;3
tone;3
S;3
mineral;3
kandidat;3
fl;3
Sarah;2
OL;2
politik;2
arts;2
uk;2
katolik;2
arbeider;2
by;2
Tor;2
seks;2
stemme;2
voksne;2
skip;2
Charlotte;2
avis;2
svensk;2
fly;2
N;2
Lise;2
Lisa;1
film;1
engelsk;1
s;1
grad;1
Julia;1
manager;1
Linné;1
astronom;1
slekt;1
John;1
Brit;1
sanger;1
##hver;1
barne;1
br;1
opera;1
vok;1
Norge;1
mand;1
bin;1
vind;1
seg;1
sign;1
symbol;1
norsk;1
regent;1
diplomat;1
bygd;1
designer;1
fr;1
artist;1
ham;1
fjell;1
solo;1
##l;1
V;1
ting;1
mag;1
planet;1
planete;1
Li;1
produsent;1
line;1
tv;1
base;1
tysk;1
grein;1
student;1
Hannah;1
stat;1
Bulgarien;1
Lucy;1
det;1
Sam;1
rolle;1
russisk;1
sol;1
ek;1
rektor;1
kunst;1
son;1
familien;1
Teddy;1
bror;1
søn;1
person;1
