ATTRIBUTE;COUNT
lærer;1818
assistent;1610
journalist;1505
modell;1077
vanlig;723
fotograf;661
lege;369
pedagog;340
skuespiller;333
forfatter;313
pilot;172
annen;91
alltid;72
spire;64
før;61
dame;51
elev;48
produsent;38
kristen;37
student;30
##esse;30
dust;28
slave;15
dronning;15
norsk;12
gave;12
fighter;11
tante;11
person;11
normalt;9
hunn;8
helt;7
datter;7
kopi;6
svensk;6
det;5
instruktør;5
dansk;4
menneske;3
##ken;3
statue;3
variant;2
tysk;2
mare;2
fille;1
hybrid;1
Astrid;1
størrelse;1
vare;1
organisme;1
ting;1
korban;1
meg;1
Eva;1
Christina;1
fotballspiller;1
roman;1
singel;1
italiensk;1
russisk;1
##ka;1
Frida;1
god;1
Sofia;1
null;1
Lea;1
historie;1
Heidi;1
barn;1
eneste;1
femme;1
Maja;1
liten;1
Gerd;1
