ATTRIBUTE;COUNT
gal;92
stein;92
kvinne;90
helt;82
maur;81
okse;81
dame;77
jente;71
variant;47
søster;32
slave;20
gåte;20
heks;15
engel;14
prinsesse;12
slik;11
svenske;8
forkortelse;6
annen;5
løve;5
favoritt;5
datter;4
klem;4
kort;3
rose;3
foss;3
tiger;3
kombinasjon;2
gudinne;2
dialekt;2
form;2
rekonstruksjon;2
blomst;2
myte;1
gutt;1
martyr;1
jomfru;1
helgen;1
person;1
danske;1
slektning;1
nyere;1
side;1
kunst;1
lek;1
illusjon;1
gave;1
prosess;1
saga;1
storesøster;1
lørdag;1
fest;1
søndag;1
line;1
nora;1
