ATTRIBUTE;COUNT
frisør;1849
lærling;1749
fotograf;1442
coach;939
vikar;601
kokk;477
elektriker;351
regnskapsfører;314
vekter;235
rørlegger;235
konsulent;181
murer;161
oversetter;154
musiker;139
assistent;129
terapeut;102
svømmer;83
rådgiver;73
bestevenn;55
sykepleier;48
ener;35
fysioterapeut;35
håndfull;33
seiler;29
solist;26
kunstner;23
favoritt;19
hund;18
engel;15
prinsesse;12
sjel;12
veileder;12
baby;10
faglærer;9
jordmor;9
agent;6
regissør;5
blogger;5
misjonær;5
husmor;5
skjønnhet;2
perle;2
katt;1
skredder;1
arkitekt;1
stripper;1
menneskerett;1
forskjell;1
farge;1
guide;1
fryd;1
oppsummering;1
årstid;1
søndag;1
helg;1
drøm;1
sjåfør;1
journalist;1
