ATTRIBUTE;COUNT
frisør;1371
fotograf;1205
lærling;1114
elektriker;660
vekter;641
murer;486
coach;337
musiker;331
kokk;310
rørlegger;272
vikar;188
regnskapsfører;186
håndfull;61
svømmer;57
sjåfør;47
fyr;38
oversetter;36
assistent;34
ener;23
nybegynner;20
seiler;17
kunstner;15
hund;13
vaktmester;10
blogger;10
veileder;10
bestevenn;8
fysioterapeut;6
mester;6
favoritt;5
rådgiver;5
agent;4
skytter;4
jeger;3
terapeut;3
fisker;3
manager;2
konsulenter;2
kommentator;2
forfatter;2
baby;2
katt;1
sådan;1
bruksanvisning;1
eiendomsmegler;1
gruppeleder;1
fryd;1
blanding;1
storebror;1
lillebror;1
velsignelse;1
guide;1
