ATTRIBUTE;COUNT FEMALE;COUNT MALE;P(FEMALE);P(MALE);PPBS
skuespiller;88;78;0.084;0.067;-0.017
journalist;76;46;0.052;0.047;-0.005
advokat;61;73;0.061;0.068;0.007
lærer;66;44;0.077;0.052;-0.025
barn;35;16;0.056;0.036;-0.02
manager;14;35;0.034;0.033;-0.001
modell;27;0;0.041;0;-0.041
forfatter;25;21;0.06;0.052;-0.008
produsent;2;20;0.046;0.045;-0.001
professor;10;17;0.029;0.026;-0.003
fotballspiller;0;16;0;0.041;0.041
instruktør;15;14;0.036;0.031;-0.005
model;12;0;0.038;0;-0.038
trener;0;12;0;0.041;0.041
fotograf;11;4;0.036;0.038;0.002
assistent;2;11;0.029;0.025;-0.004
musiker;6;9;0.043;0.051;0.008
maler;5;7;0.031;0.036;0.005
dj;0;7;0;0.032;0.032
dr;1;6;0.032;0.031;-0.001
konge;0;6;0;0.091;0.091
statsminister;0;5;0;0.047;0.047
rektor;0;4;0;0.024;0.024
arkitekt;0;4;0;0.042;0.042
fjord;2;3;0.056;0.12;0.064
elv;3;2;0.033;0.052;0.019
svensk;3;0;0.021;0;-0.021
roman;3;2;0.029;0.034;0.005
konsul;0;3;0;0.036;0.036
mann;1;2;0.016;0.03;0.014
person;2;1;0.028;0.022;-0.006
mor;2;0;0.028;0;-0.028
landsby;2;2;0.042;0.052;0.01
fjell;2;1;0.032;0.104;0.072
biskop;1;2;0.037;0.03;-0.007
gift;2;0;0.038;0;-0.038
tysk;2;0;0.029;0;-0.029
dal;1;2;0.057;0.038;-0.019
kommune;1;2;0.032;0.086;0.054
film;2;0;0.038;0;-0.038
regent;0;2;0;0.076;0.076
saga;1;0;0.021;0;-0.021
vulkan;1;1;0.094;0.044;-0.05
martyr;1;0;0.064;0;-0.064
maria;1;0;0.049;0;-0.049
gud;1;0;0.044;0;-0.044
kristen;1;0;0.035;0;-0.035
kirke;1;0;0.032;0;-0.032
dronning;1;0;0.033;0;-0.033
organist;1;1;0.025;0.033;0.008
slekt;1;0;0.025;0;-0.025
asteroide;1;0;0.023;0;-0.023
artist;1;1;0.018;0.019;0.001
hund;1;0;0.018;0;-0.018
pianist;1;0;0.031;0;-0.031
bok;1;0;0.036;0;-0.036
viking;0;1;0;0.039;0.039
poet;0;1;0;0.021;0.021
redaktør;0;1;0;0.042;0.042
ø;0;1;0;0.052;0.052
o;0;1;0;0.042;0.042
historiker;0;1;0;0.023;0.023
hertug;0;1;0;0.033;0.033
baron;0;1;0;0.025;0.025
figur;0;1;0;0.029;0.029
producent;0;1;0;0.015;0.015
han;0;1;0;0.013;0.013
drake;0;1;0;0.011;0.011
jason;0;1;0;0.01;0.01
politiker;0;1;0;0.047;0.047
minister;0;1;0;0.029;0.029
president;0;1;0;0.025;0.025
diplomat;0;1;0;0.042;0.042
keiser;0;1;0;0.03;0.03
