ATTRIBUTE;COUNT FEMALE;COUNT MALE;P(FEMALE);P(MALE);PPBS
journalist;1510;1187;0.078;0.067;-0.011
modell;1413;77;0.106;0.066;-0.04
fotograf;1324;1055;0.067;0.06;-0.007
advokat;907;1312;0.06;0.117;0.057
lærer;1284;1168;0.101;0.106;0.005
assistent;638;505;0.058;0.045;-0.013
pedagog;574;48;0.061;0.032;-0.029
stylist;537;51;0.07;0.057;-0.013
psykolog;159;291;0.049;0.043;-0.006
selger;125;250;0.061;0.065;0.004
skuespiller;160;189;0.053;0.053;0.0
en;159;158;0.061;0.044;-0.017
mamma;132;2;0.056;0.032;-0.024
jurist;10;116;0.037;0.032;-0.005
prest;13;109;0.033;0.043;0.01
manager;8;79;0.038;0.051;0.013
forfatter;50;78;0.041;0.033;-0.008
trener;15;76;0.044;0.081;0.037
coach;19;75;0.037;0.042;0.005
kvinne;73;12;0.044;0.027;-0.017
jente;72;17;0.158;0.035;-0.123
professor;9;71;0.031;0.032;0.001
mann;33;61;0.028;0.046;0.018
revisor;2;50;0.042;0.039;-0.003
dame;49;0;0.022;0;-0.022
frivillig;6;45;0.049;0.052;0.003
administrator;0;43;0;0.037;0.037
leder;9;42;0.045;0.049;0.004
venn;21;36;0.021;0.025;0.004
escort;32;8;0.032;0.029;-0.003
gutt;23;31;0.032;0.043;0.011
kjæreste;31;11;0.021;0.028;0.007
fyr;2;24;0.028;0.024;-0.004
.;23;16;0.027;0.022;-0.005
artist;23;5;0.045;0.023;-0.022
gentleman;0;23;0;0.028;0.028
engel;20;19;0.027;0.023;-0.004
lärare;19;19;0.059;0.043;-0.016
poet;15;18;0.028;0.029;0.001
hund;9;17;0.032;0.037;0.005
:;14;14;0.033;0.047;0.014
pastor;0;14;0;0.051;0.051
kaptein;0;11;0;0.039;0.039
ble;10;1;0.021;0.023;0.002
model;10;2;0.039;0.046;0.007
barn;0;10;0;0.027;0.027
</s>;2;7;0.022;0.022;0.0
pappa;0;7;0;0.055;0.055
terapeut;6;0;0.036;0;-0.036
direktør;1;6;0.027;0.029;0.002
soldat;0;6;0;0.027;0.027
eskorte;5;0;0.024;0;-0.024
statsminister;2;5;0.034;0.028;-0.006
var;5;0;0.022;0;-0.022
spiller;1;5;0.039;0.031;-0.008
kristen;0;5;0;0.05;0.05
drøm;4;4;0.064;0.028;-0.036
stor;3;4;0.017;0.016;-0.001
fisk;2;4;0.013;0.016;0.003
e;4;2;0.019;0.018;-0.001
kona;4;0;0.029;0;-0.029
optimist;1;4;0.021;0.03;0.009
av;3;1;0.025;0.019;-0.006
student;3;1;0.02;0.02;0.0
gang;3;1;0.013;0.012;-0.001
person;1;3;0.02;0.017;-0.003
prinsesse;3;0;0.048;0;-0.048
filosof;0;3;0;0.03;0.03
hest;0;3;0;0.023;0.023
mor;2;1;0.019;0.026;0.007
blogger;2;0;0.026;0;-0.026
moderator;2;1;0.069;0.28;0.211
er;2;0;0.025;0;-0.025
dag;2;1;0.01;0.016;0.006
turist;2;0;0.036;0;-0.036
astronaut;2;0;0.028;0;-0.028
læge;1;2;0.045;0.052;0.007
dreng;2;0;0.023;0;-0.023
ami;2;0;0.012;0;-0.012
ei;2;2;0.044;0.038;-0.006
kollega;2;0;0.026;0;-0.026
god;0;2;0;0.013;0.013
webmaster;0;2;0;0.037;0.037
profet;0;2;0;0.037;0.037
lege;0;2;0;0.032;0.032
konge;0;2;0;0.039;0.039
rektor;0;2;0;0.031;0.031
dj;0;2;0;0.03;0.03
følelse;1;0;0.028;0;-0.028
gave;1;0;0.015;0;-0.015
tid;1;0;0.011;0;-0.011
ting;1;0;0.01;0;-0.01
datingside;1;1;0.016;0.008;-0.008
video;1;0;0.03;0;-0.03
tekst;1;0;0.027;0;-0.027
film;1;0;0.014;0;-0.014
blog;1;0;0.008;0;-0.008
foto;1;0;0.005;0;-0.005
søker;1;0;0.027;0;-0.027
annen;1;0;0.015;0;-0.015
admin;1;0;0.015;0;-0.015
heter;1;0;0.014;0;-0.014
vakker;1;0;0.013;0;-0.013
landsby;1;0;0.023;0;-0.023
vulkan;1;0;0.017;0;-0.017
religion;1;0;0.015;0;-0.015
ø;1;0;0.012;0;-0.012
strand;1;0;0.01;0;-0.01
arkitekt;1;0;0.031;0;-0.031
planet;1;0;0.132;0;-0.132
asteroid;1;0;0.025;0;-0.025
levende;1;0;0.025;0;-0.025
natt;1;0;0.022;0;-0.022
arkeolog;1;0;0.05;0;-0.05
biolog;1;0;0.046;0;-0.046
scientist;1;0;0.032;0;-0.032
kvinde;1;0;0.013;0;-0.013
skole;1;0;0.011;0;-0.011
song;1;0;0.015;0;-0.015
singel;1;0;0.026;0;-0.026
fotball;1;1;0.019;0.018;-0.001
linje;1;0;0.025;0;-0.025
stein;1;0;0.01;0;-0.01
tråd;1;0;0.008;0;-0.008
liten;1;0;0.031;0;-0.031
