ATTRIBUTE;COUNT
lærer;7638
journalist;4406
modell;3469
skuespiller;3401
assistent;3118
sykepleier;3013
fotograf;2324
barn;2275
frisør;1889
lærling;1749
advokat;1589
f;1136
vanlig;1029
mor;992
lege;947
coach;939
frivillig;930
vikar;844
forfatter;812
mamma;742
sekretær;568
hushjelp;547
kokk;509
bibliotekar;419
k;407
manager;396
d;366
elektriker;364
pedagog;340
regnskapsfører;314
musiker;302
far;266
vekter;239
rørlegger;235
baby;221
arkitekt;206
model;206
konsulent;203
jordmor;191
selger;188
kvinne;186
før;186
pilot;177
annen;174
psykolog;170
instruktør;167
T;165
murer;161
dr;159
oversetter;154
jente;140
dame;135
mann;122
K;119
L;113
jobb;110
produsent;103
terapeut;102
l;101
snekker;97
professor;96
student;92
tannlege;88
tante;87
svømmer;83
kone;83
rådgiver;82
datter;77
sønn;75
ventet;74
det;73
alltid;72
ung;70
politi;67
Mrs;67
spire;64
gift;64
pleier;63
førskolelærer;61
politiker;58
Sp;56
bestevenn;55
trener;54
faren;53
maler;53
kommune;52
henne;51
hun;51
pianist;50
variant;49
dansk;49
elev;48
hund;46
kristen;45
tolk;44
fysioterapeut;43
D;43
dronning;43
brannmann;39
ener;38
fotballspiller;37
vinner;34
håndfull;33
søster;32
barnevakt;31
sp;31
Liv;31
svensk;31
prest;30
engel;30
##esse;30
artist;30
seiler;29
kunstner;29
kokke;29
roman;29
dust;28
mester;27
person;27
solist;26
t;25
Dr;25
bl;25
favoritt;24
prinsesse;24
R;24
Emma;23
Anne;23
rektor;23
avisbud;22
P;22
Jenny;22
ingeniør;21
Gerd;21
Mary;21
Julie;21
Linn;21
norsk;21
film;21
gåte;20
normalt;20
ting;20
Eva;20
Heidi;20
Wenche;19
Nora;19
Sofia;19
Frida;19
Maria;19
Sara;19
ski;19
Emilie;19
Ruth;19
Ann;19
Marianne;19
bonde;19
fjord;19
Lea;18
Olga;18
Olivia;18
Mona;18
Alma;18
lærerinne;17
Linda;17
Helene;17
Karen;17
elv;17
programleder;16
fisker;16
Nina;16
Tone;16
Monica;16
heks;15
slave;15
del;15
han;15
gave;14
Christina;14
Helga;14
Line;14
Amalie;14
familie;14
landsby;14
Kristin;13
Marie;13
kommun;13
Ingrid;13
Camilla;13
art;13
konge;13
veileder;12
sjel;12
pappa;12
Maja;12
Ellie;12
Elisabeth;12
Ida;12
Else;12
Marta;12
o;12
gutt;11
slik;11
fighter;11
Astrid;11
ev;11
statsminister;11
slekt;11
bok;11
helsesøster;10
gartner;10
designer;10
Inga;10
.;10
Margit;10
bank;10
Kari;10
soldat;10
fisk;10
dal;10
faglærer;9
agent;9
regissør;9
Alex;9
Hanna;9
dj;9
venn;8
venninne;8
svenske;8
hunn;8
en;8
vulkan;8
asteroide;8
helt;7
Anna;7
Ingeborg;7
assistenttrener;6
husmor;6
forkortelse;6
hjemmehjelp;6
meg;6
kopi;6
Danmark;6
musikk;6
Marte;6
komponist;6
Ella;6
sang;6
by;6
ord;6
tysk;6
reporter;6
voksne;6
ø;6
misjonær;5
blogger;5
sjåfør;5
oss;5
kamp;5
##k;5
de;5
klasse;5
E;5
storm;5
bil;5
kl;5
senator;5
filosof;5
mon;5
linje;5
fjell;5
mennesker;5
poet;5
drøm;4
statsråd;4
politimann;4
fugl;4
maskin;4
besatt;4
slakter;4
klem;4
skole;4
Lilly;4
prins;4
spiller;4
li;4
F;4
Anita;4
beste;4
liv;4
Ada;4
pr;4
menneske;4
tone;4
sanger;4
saga;4
direktør;4
soldater;4
organist;4
katt;3
landslagstrener;3
prosjektleder;3
søker;3
innsjø;3
forsker;3
skredder;3
kort;3
##ken;3
statue;3
fl;3
kandidat;3
mineral;3
S;3
sv;3
arbeider;3
plante;3
doktor;3
kaptein;3
astronaut;3
sheriff;3
redaktør;3
biskop;3
perle;2
skjønnhet;2
deg;2
frivillige;2
megler;2
sånn;2
Anette;2
ambassadør;2
Bjørgen;2
søndag;2
fest;2
kombinasjon;2
rekonstruksjon;2
form;2
rose;2
andre;2
gudinne;2
blomst;2
dialekt;2
singel;2
historie;2
mare;2
kunst;2
russisk;2
line;2
Lise;2
N;2
fly;2
avis;2
Charlotte;2
skip;2
stemme;2
seks;2
Tor;2
katolik;2
uk;2
arts;2
politik;2
OL;2
Sarah;2
bygd;2
planet;2
astronom;2
dag;2
liten;2
leder;2
regent;2
martyr;2
opera;2
kulle;2
gud;2
unge;2
planter;2
helg;1
årstid;1
oppsummering;1
fryd;1
guide;1
farge;1
forskjell;1
menneskerett;1
stripper;1
selvfølge;1
nestleder;1
gris;1
planlagt;1
voksen;1
øy;1
trend;1
skog;1
tid;1
folk;1
kvinner;1
kommentator;1
hovedtrener;1
same;1
kriger;1
Elin;1
Marit;1
myte;1
venter;1
lørdag;1
danske;1
jomfru;1
storesøster;1
arkeolog;1
prosess;1
illusjon;1
lek;1
side;1
nyere;1
slektning;1
nora;1
helgen;1
femme;1
italiensk;1
god;1
hybrid;1
##ka;1
korban;1
organisme;1
vare;1
størrelse;1
null;1
eneste;1
fille;1
søn;1
bror;1
Teddy;1
familien;1
son;1
ek;1
sol;1
rolle;1
Sam;1
Lucy;1
Bulgarien;1
stat;1
Hannah;1
grein;1
base;1
tv;1
Li;1
planete;1
mag;1
V;1
##l;1
solo;1
ham;1
fr;1
diplomat;1
symbol;1
sign;1
seg;1
vind;1
bin;1
mand;1
Norge;1
vok;1
br;1
barne;1
##hver;1
Brit;1
John;1
Linné;1
Julia;1
grad;1
s;1
engelsk;1
Lisa;1
insektsart;1
viking;1
tanar;1
nunatak;1
kanal;1
ceo;1
komet;1
asteroid;1
meteor;1
konsul;1
serie;1
gang;1
medlem;1
pseudonym;1
maria;1
kirke;1
sadan;1
dyr;1
orkideart;1
arhitekt;1
