ATTRIBUTE;COUNT
lærer;5957
skuespiller;2526
journalist;2121
lege;1852
fotograf;1494
advokat;1415
frisør;1371
elektriker;1319
barn;1309
assistent;1189
lærling;1114
snekker;1081
trener;928
musiker;726
sykepleier;720
vanlig;702
vekter;693
sjåfør;692
f;685
kokk;676
politi;629
murer;622
politimann;611
sønn;598
forfatter;533
arkitekt;531
far;525
los;436
manager;431
coach;348
pappa;316
rørlegger;275
mamma;271
før;271
modell;262
frivillig;251
mann;251
fotballspiller;250
vikar;247
han;243
pilot;224
professor;215
bror;203
produsent;200
ingeniør;193
d;191
regnskapsfører;189
slakter;186
brannmann;183
annen;170
T;169
faren;169
konge;164
selger;157
sekretær;155
det;151
psykolog;143
bonde;139
bussjåfør;138
menneske;122
bas;112
normalt;109
gutt;108
l;105
prest;96
D;95
dr;95
biskop;89
rektor;87
kristen;86
maler;77
jobb;74
vaktmester;73
politiker;66
mor;65
soldat;64
håndfull;61
L;61
instruktør;61
student;60
svømmer;58
Sp;54
organist;54
John;52
person;52
ventet;51
drosjesjåfør;49
P;49
elev;48
statsminister;47
vinner;45
k;44
avisbud;43
fyr;42
mester;42
K;42
engel;42
kjempe;41
oversetter;36
dj;36
helt;35
alltid;34
hertug;34
kommune;32
predikant;30
homofil;29
Thomas;29
hund;29
ener;28
dust;28
fisker;27
svenske;27
Knut;27
jarl;27
Emil;26
Dr;26
søn;26
tolk;25
Henrik;25
Alex;25
DJ;24
kontorsjef;23
Martin;23
Jakob;23
dansk;23
Harald;22
danske;21
Noah;21
Liam;21
roman;21
nybegynner;20
Lucas;20
Oskar;20
Alexander;20
br;20
son;20
Jan;20
Johannes;20
sagt;19
prins;19
Daniel;19
William;19
Adrian;19
Christian;19
ung;19
Sebastian;19
R;19
Oliver;19
Per;19
Bjørn;19
Karl;19
ridder;19
regent;19
meg;18
Theodor;18
Rolf;18
Markus;18
konsul;18
seiler;17
kunstner;17
planlagt;17
Filip;17
Nils;17
Anders;17
Sigurd;17
Kjell;17
Tor;17
Marius;17
baron;17
tannlege;16
Lars;16
Andreas;16
Johan;16
pastor;16
fjord;16
rådgiver;15
programleder;15
assistenttrener;15
venn;15
Rune;15
leder;14
jente;14
eiendomsmegler;14
slik;14
baby;14
Odd;14
Matt;14
Ole;14
Kristian;14
Olaf;14
spiller;14
dykker;13
filosof;13
kar;13
ham;13
Magnus;13
ord;13
gartner;12
pedagog;12
Olav;12
kl;12
bok;12
skiskytter;11
trønder;11
ski;11
Tobias;11
Gunnar;11
keiser;11
kaptein;11
veileder;10
blogger;10
trenere;10
arkeolog;10
Mathias;10
Håkon;10
Leif;10
agent;10
landsby;10
lag;9
Aksel;9
skredder;9
statue;9
sp;9
Aleksander;9
norsk;9
elv;9
bestevenn;8
oss;8
lensmann;8
hovedtrener;8
del;8
Morten;8
Carl;8
fisk;8
ø;8
reporter;7
regissør;7
dem;7
storebror;7
variant;7
gigant;7
fighter;7
film;7
viking;7
diplomat;7
poet;7
figur;7
fysioterapeut;6
klem;6
venter;6
gåte;6
slave;6
gut;6
Sam;6
Einar;6
Peder;6
Ryan;6
t;6
Jonas;6
slekt;6
fodboldspiller;6
o;6
vulkan;6
dal;6
favoritt;5
voksen;5
konsulent;5
Isak;5
Lego;5
ting;5
Luke;5
Charlie;5
bank;5
Sander;5
en;5
per;5
Elias;5
art;5
gud;5
skytter;4
venner;4
dommer;4
prosjektleder;4
landslagssjef;4
Petter;4
kriger;4
gresk;4
kommun;4
Sean;4
S;4
Jacob;4
komponist;4
martyr;4
fjell;4
terapeut;3
jeger;3
henne;3
megler;3
fotballspillere;3
sms;3
familie;3
tredje;3
korban;3
Danmark;3
bl;3
OL;3
Mr;3
Marcus;3
Fred;3
jurist;3
president;3
teolog;3
redaktør;3
svensk;3
pianist;3
minister;3
asteroide;3
pave;3
kommentator;2
konsulenter;2
stabil;2
kvinne;2
flyktning;2
klubb;2
Kåre;2
løve;2
besatt;2
smed;2
bil;2
libero;2
sponsor;2
annan;2
Nick;2
Adam;2
musikk;2
farmer;2
Noel;2
Brian;2
tysk;2
Mark;2
kandidat;2
pr;2
gitarist;2
Alf;2
by;2
bjørn;2
kirke;2
as;2
historiker;2
prof;2
saga;2
greve;2
senator;2
kardinal;2
guide;1
velsignelse;1
lillebror;1
blanding;1
fryd;1
gruppeleder;1
bruksanvisning;1
sådan;1
katt;1
kompis;1
team;1
Kristoffer;1
frivillige;1
lagkamerat;1
selvstendig;1
journalister;1
sånn;1
maskin;1
divisjon;1
eliteserie;1
utfordring;1
dette;1
nå;1
forventet;1
hjemme;1
fortjent;1
redningsmann;1
vanskelig;1
fotball;1
Kasper;1
sjef;1
landslagstrener;1
ambassadør;1
deg;1
pleier;1
william;1
gris;1
stian;1
ildsjel;1
jotun;1
karl;1
ulv;1
bønn;1
profet;1
johannes;1
demon;1
##kem;1
Elia;1
stor;1
romersk;1
original;1
kopi;1
gave;1
eneste;1
arbeider;1
Irland;1
Rory;1
Gallagher;1
V;1
Max;1
Oscar;1
engelsk;1
Tom;1
Parker;1
F;1
Hans;1
band;1
sv;1
klasse;1
arm;1
tsar;1
H;1
rom;1
Bro;1
dk;1
gift;1
Thor;1
dronning;1
storm;1
##sel;1
fl;1
de;1
Gud;1
katolik;1
backup;1
producent;1
drake;1
jason;1
artist;1
markus;1
mentor;1
vei;1
moh;1
og;1
##edt;1
spire;1
ca;1
vektor;1
symbol;1
mate;1
ven;1
rune;1
direktør;1
astronom;1
consul;1
