ATTRIBUTE;COUNT
skuespiller;230
mann;189
annen;182
kvinne;177
lærer;173
jente;142
dame;138
journalist;133
advokat;109
helt;107
frisør;101
jobb;98
robot;96
assistent;95
statue;94
stein;92
gal;92
sykepleier;91
lærling;88
guide;85
svømmer;83
coach;81
okse;81
maur;81
fotograf;79
mor;65
modell;65
spire;64
terapeut;59
tante;58
bestevenn;55
forfatter;55
barn;54
kommune;51
dansk;50
datter;50
variant;49
politiker;47
hund;46
familie;44
kristen;39
ener;38
sil;37
vinner;35
håndfull;33
brannmann;32
engel;32
søster;32
person;31
svensk;31
mester;30
##esse;30
seiler;29
spiller;29
roman;29
dust;28
agent;26
k;25
artist;25
favoritt;24
prinsesse;24
kunstner;23
kone;22
maler;22
slave;21
norsk;21
film;21
manager;21
maskin;20
gåte;20
dronning;20
reporter;20
ski;19
fjord;19
ting;18
model;18
veileder;17
elv;17
kokk;16
heks;15
baby;15
del;15
bror;14
landsby;14
gave;13
kommun;13
art;13
sjel;12
o;12
rørlegger;11
oversetter;11
slik;11
fighter;11
bank;11
.;11
musiker;11
slekt;11
bok;11
kollega;10
venninne;10
gutt;10
arkitekt;10
dal;10
mamma;9
venn;9
sønn;9
f;9
fisk;9
politimann;8
svenske;8
hunn;8
støtte;8
dr;8
by;8
vulkan;8
asteroide;8
tysk;7
forkortelse;6
kopi;6
konge;6
klasse;6
musikk;6
Danmark;6
sang;6
ord;6
lege;6
ø;6
husmor;5
blogger;5
løve;5
kamp;5
statsminister;5
storm;5
##k;5
fjell;5
poet;5
drøm;4
katt;4
fugl;4
klem;4
far;4
prins;4
K;4
soldat;4
sanger;4
saga;4
innsjø;3
sekretær;3
tiger;3
foss;3
rose;3
kort;3
fotballspiller;3
##ken;3
Gerd;3
Eva;3
komponist;3
hun;3
kandidat;3
mineral;3
DJ;3
sv;3
restaurant;3
plante;3
professor;3
skjønnhet;2
perle;2
sånn;2
pappa;2
psykolog;2
søndag;2
fest;2
blomst;2
rekonstruksjon;2
form;2
dialekt;2
gudinne;2
kombinasjon;2
historie;2
mare;2
vanlig;2
Heidi;2
russisk;2
kunst;2
skog;2
skip;2
rolle;2
arts;2
avis;2
l;2
sp;2
skole;2
politik;2
ung;2
student;2
mand;2
linje;2
tone;2
gift;2
dag;2
liten;2
gang;2
bygd;2
opera;2
planet;2
martyr;2
kulle;2
gud;2
helg;1
årstid;1
oppsummering;1
farge;1
forskjell;1
menneskerett;1
fryd;1
tolk;1
trend;1
statsråd;1
tid;1
gris;1
øy;1
selvfølge;1
nora;1
line;1
lørdag;1
storesøster;1
prosess;1
illusjon;1
lek;1
side;1
nyere;1
slektning;1
danske;1
helgen;1
jomfru;1
myte;1
Lea;1
hybrid;1
Maja;1
null;1
Astrid;1
singel;1
organisme;1
vare;1
størrelse;1
god;1
##inne;1
eneste;1
##ka;1
italiensk;1
normal;1
fille;1
korban;1
Sofia;1
masse;1
Frida;1
femme;1
Christina;1
Camilla;1
vind;1
bin;1
Emma;1
s;1
kl;1
voksne;1
Tone;1
søn;1
hustru;1
bil;1
senator;1
Alma;1
diplomat;1
##l;1
Liv;1
Julie;1
grein;1
det;1
Mona;1
Jenny;1
##hver;1
Kari;1
engelsk;1
grad;1
Linn;1
planete;1
mag;1
Marte;1
Sara;1
Bulgarien;1
stat;1
Brit;1
S;1
son;1
fl;1
symbol;1
sign;1
designer;1
N;1
fr;1
gård;1
Ruth;1
Karen;1
d;1
kanal;1
viking;1
orkideart;1
sadan;1
serie;1
komet;1
asteroid;1
meteor;1
maria;1
kirke;1
insektsart;1
pseudonym;1
nunatak;1
