ATTRIBUTE;COUNT
journalist;1460
modell;1354
fotograf;1277
lærer;1267
advokat;890
assistent;625
stylist;554
pedagog;544
en;223
skuespiller;170
psykolog;155
selger;127
mamma;110
coach;79
jente;70
kvinne;69
forfatter;47
dame;41
model;37
.;34
blogger;33
kjæreste;29
mann;28
:;27
artist;24
gutt;21
lärare;20
leder;20
student;20
manager;19
escort;19
engel;18
venn;15
ble;14
prest;13
poet;13
jurist;10
var;10
mor;9
trener;9
er;8
hund;8
professor;7
terapeut;6
av;5
</s>;5
e;5
barn;5
frivillig;5
revisor;4
drøm;4
person;4
stor;4
fyr;4
gang;3
prinsesse;3
eskorte;3
kona;3
ei;2
dag;2
moderator;2
statsminister;2
astronaut;2
tid;2
film;2
ami;2
kollega;2
admin;2
dreng;2
god;1
singel;1
kan;1
annen;1
ting;1
gave;1
følelse;1
læge;1
skole;1
søker;1
Journalist;1
direktør;1
optimist;1
name;1
song;1
fotball;1
ball;1
spiller;1
biolog;1
arkeolog;1
levende;1
asteroid;1
planet;1
stemme;1
stein;1
linje;1
foto;1
blog;1
tekst;1
video;1
guide;1
turist;1
arkitekt;1
ø;1
by;1
religion;1
vulkan;1
landsby;1
fisk;1
kvinde;1
a;1
der;1
liten;1
lektor;1
f;1
helst;1
man;1
af;1
