ATTRIBUTE;COUNT
advokat;1306
lærer;1150
journalist;1133
fotograf;1000
assistent;462
psykolog;260
selger;236
en;226
skuespiller;183
coach;161
manager;119
prest;106
jurist;99
leder;85
professor;67
forfatter;66
modell;61
trener;60
mann;57
stylist;52
revisor;52
frivillig;42
pedagog;41
student;41
gutt;31
administrator;30
venn;30
:;28
.;26
gentleman;24
fyr;23
barn;21
jente;17
lärare;16
engel;16
poet;16
hund;14
</s>;12
kaptein;12
kjæreste;11
pastor;11
kvinne;10
person;9
soldat;7
pappa;7
artist;6
direktør;5
statsminister;5
agent;5
model;5
stor;5
spiller;4
kristen;4
filosof;4
escort;4
drøm;4
fisk;4
optimist;4
hest;3
god;3
ei;2
læge;2
dj;2
lege;2
1;2
profet;2
Fotograf;2
konge;2
DJ;2
e;2
mamma;2
webmaster;1
blogger;1
muslim;1
traktor;1
plante;1
rose;1
frø;1
datingside;1
Bjørn;1
Administrator;1
dør;1
gate;1
dreng;1
var;1
ble;1
lag;1
vanlig;1
match;1
kamp;1
mentor;1
av;1
Ole;1
moderator;1
20;1
3;1
2;1
og;1
gang;1
dag;1
Journalist;1
ting;1
rektor;1
gammel;1
dans;1
film;1
kjærlighet;1
mor;1
