ATTRIBUTE;COUNT
advokat;1403
lærer;1328
lege;1250
modell;858
fotograf;826
eskorte;745
assistent;541
selger;458
en;316
frivillig;275
journalist;239
.;232
psykolog;189
:;182
skuespiller;75
stylist;74
god;57
e;55
redaktør;43
av;36
kvinne;35
chef;35
fantastisk;35
stor;30
mamma;29
leder;25
student;23
norsk;23
lärare;20
arkitekt;16
har;13
jente;12
eskort;12
a;11
veldig;11
bangla;10
ung;8
mor;7
Bangladesh;7
kristen;7
mann;5
er;5
dame;5
der;4
sexy;4
var;4
det;4
du;4
farmaceut;4
liten;3
terapeut;3
model;3
han;3
i;2
Bangla;2
svensk;2
meget;2
revisor;2
designer;2
helst;2
kan;2
dag;2
den;2
Virgin;1
amerikansk;1
Bengali;1
Linn;1
artist;1
tysk;1
agent;1
heter;1
et;1
selvstendig;1
kunne;1
hadde;1
trener;1
vanlig;1
manager;1
joy;1
engel;1
annen;1
feminist;1
vakker;1
jobber;1
chat;1
sms;1
korte;1
driver;1
..;1
moderne;1
puro;1
direktør;1
lørdag;1
søndag;1
admin;1
barn;1
beskriver;1
visas;1
denne;1
match;1
matcher;1
