ATTRIBUTE;COUNT
advokat;1427
lærer;1014
fotograf;931
lege;873
selger;523
assistent;377
arkitekt;291
en;278
journalist;187
.;168
frivillig;164
:;161
psykolog;141
revisor;102
student;83
chef;77
skuespiller;71
god;64
modell;57
redaktør;51
eskorte;49
stor;42
av;42
dj;34
mann;30
e;29
norsk;28
DJ;28
webmaster;27
jurist;25
leder;22
soldat;20
lärare;14
trener;12
kristen;8
veldig;7
fantastisk;6
direktør;5
a;5
gentleman;5
pastor;4
var;4
gutt;3
har;3
gang;3
annen;3
i;2
er;2
profet;2
den;2
driver;2
professor;2
Bangladesh;2
prest;2
agent;2
meget;2
kvinne;2
ett;2
gulo;2
bangla;2
rektor;2
du;1
engel;1
martyr;1
administrator;1
ami;1
konge;1
..;1
mor;1
muslim;1
korte;1
viking;1
type;1
kort;1
polis;1
heter;1
person;1
,;1
William;1
svensk;1
model;1
stylist;1
teenager;1
rebel;1
fan;1
Advokat;1
som;1
jente;1
jon;1
guli;1
hot;1
ung;1
datingside;1
