ATTRIBUTE,GOLD,PRED
kokk,0.184,0.242
advokat,0.02,0.512
advokatsekretær,-0.91,0.25
afis-fullmektig,0.51,0.368
agronom,0.216,0.379
aksjemegler,0.368,0.305
aktivitør,-0.286,0.412
aktuar,0.412,0.474
grunnskolelærer,-0.508,0.449
ambulansearbeider,0.168,0.301
anleggsgartner,0.608,0.349
anleggsmaskinfører,0.96,0.355
apoteker,-0.344,0.393
apotektekniker,-0.912,0.276
arkeolog,-0.412,0.331
arkitekt,-0.008,0.432
arkivar,-0.42,0.283
art director,0.126,0.419
personlig assistent,-0.468,0.323
astronom,0.57,0.274
audiograf,-0.45,0.295
automatiker,0.892,0.303
avioniker,0.892,0.294
badevakt,0.012,0.135
baker,0.126,0.308
barne- og ungdomsarbeider,-0.63,0.23
barnehageassistent,-0.698,0.493
barnevernspedagog,-0.724,0.047
bartender,-0.066,0.324
bibliotekar,-0.584,0.443
billakkerer,0.842,0.425
bilmekaniker (lette kjøretøy),0.962,0.536
bilselger,0.886,0.293
bioingeniør,-0.658,0.384
biokjemiker,-0.032,0.307
biolog,0.028,0.362
bioteknolog,-0.2,0.283
blikkenslager,0.972,0.255
blomsterdekoratør,-0.918,0.224
brannkonstabel,0.896,0.23
brønnoperatør,0.93,0.327
bussjåfør,0.856,0.271
butikkmedarbeider,-0.258,0.416
ferskvarehandler,-0.058,0.322
dansepedagog,-0.754,0.185
danser,-0.288,0.287
dataingeniør,0.638,0.324
diakon,-0.688,0.423
dirigent,0.006,0.395
dommer,0.042,0.341
dykker,0.952,0.408
dyrepleier,-0.892,0.303
tegnspråktolk,-0.866,0.191
eiendomsmegler,0.33,0.351
elektriker,0.948,0.335
elektroingeniør,0.784,0.338
energimontør,0.936,0.275
ergoterapeut,-0.772,0.209
klinisk ernæringsfysiolog,-0.904,0.21
faglærer,0.016,0.326
provisorfarmasøyt,-0.632,0.085
brannforebygger,0.772,0.273
fengselsbetjent,0.162,0.413
fagoperatør akvakultur (fiskeoppdretter),0.656,0.27
flygeleder,0.514,0.278
flymotormekaniker,0.892,0.363
forfatter,-0.114,0.292
forsikringsrådgiver,0.05,0.18
forsker,0.072,0.409
fotballspiller,0.754,0.57
fotballtrener,0.762,0.558
fotograf,0.332,0.306
fotojournalist,0.564,0.376
fotterapeut,-0.908,0.236
frisør,-0.776,0.381
fu-operatør,0.814,0.445
fysioterapeut,-0.526,0.191
barnehagelærer,-0.812,0.276
gartner,0.052,0.35
geofysiker,0.33,0.301
geograf,-0.1,0.303
geolog,0.338,0.279
glassblåser,0.426,0.285
grafisk designer,-0.038,0.283
guide,0.008,0.209
gullsmed,-0.16,0.371
havforsker,0.292,0.321
heismontør,0.982,0.439
helsesekretær,-0.97,0.273
helsesykepleier,-0.984,0.238
helsefagarbeider,-0.678,0.432
hms-ingeniør,0.17,0.363
hotelldirektør,0.294,0.361
hovmester,-0.126,0.417
hovslager,0.454,0.227
hudpleier,-0.986,0.283
husøkonom,-0.672,0.237
hydrolog,0.302,0.3
idrettskonsulent,0.278,0.36
idrettstrener,0.036,0.474
illustratør,-0.194,0.352
industridesigner,0.408,0.305
industrimaler,0.972,0.47
industrimekaniker,0.908,0.37
industrirørlegger,0.966,0.308
ingeniør,0.584,0.314
inspisient,0.066,0.265
interiørarkitekt,-0.722,0.489
interiørkonsulent,-0.718,0.233
isolatør,0.976,0.258
it-konsulent,0.562,0.345
jordmor,-0.998,-0.011
journalist,0.072,0.458
jurist,-0.284,0.501
kabinpersonale fly,-0.564,0.036
karriereveileder,-0.418,0.39
kateket,-0.444,0.252
kirketjener,0.382,0.38
kiropraktor,0.284,0.305
kjemiingeniør,-0.134,0.261
kjemiker,-0.134,0.255
kjole- og draktsyer,-0.756,0.277
klesdesigner,-0.74,0.281
konditor,-0.44,0.388
konduktør,0.136,0.282
konservator,-0.372,0.307
service- og administrasjonsmedarbeider,-0.428,0.466
kosmetolog,-0.946,0.356
kostymesyer,-0.908,0.301
kostøkonom,-0.186,0.26
fagoperatør kran- og løfteoperasjoner (kranfører),0.94,0.346
kulde- og varmepumpetekniker,0.974,0.296
kunderådgiver i bank,-0.1,0.185
kunsthåndverker,0.038,0.328
kunstner,-0.034,0.363
kystskipper,0.976,0.324
laborant,-0.326,0.263
landmåler,0.45,0.346
landskapsarkitekt,-0.326,0.575
yrkessjåfør,0.91,0.381
leder,0.306,0.385
lege,-0.086,0.391
legemiddelkonsulent,-0.046,0.171
lektor,-0.246,0.379
logistikkoperatør,0.624,0.299
logoped,-0.862,0.287
los,0.956,0.26
lydtekniker,0.866,0.292
lystekniker,0.51,0.248
lærer,-0.378,0.312
maler,0.876,0.304
marinbiolog,-0.236,0.279
markedsfører,-0.15,0.339
markedssjef,0.206,0.416
maskiningeniør,0.836,0.282
maskør- og parykkmaker,-0.738,0.369
massasjeterapeut,-0.658,0.241
matematiker,-0.04,0.336
matros,0.888,0.268
mediedesigner,0.02,0.324
megler,0.368,0.338
mekaniker,0.958,0.287
meteorolog,0.088,0.278
modell,-0.368,0.101
skipsmotormekaniker,0.978,0.364
motormekaniker,0.976,0.336
mur-og flislegger,0.98,0.363
musiker,0.172,0.339
musikkpedagog,-0.128,0.213
møbelsnekker,0.81,0.287
møbeltapetserer,0.416,0.381
naturforvalter,0.662,0.392
negledesigner,-0.908,0.301
mattekniker,-0.294,0.379
optiker,-0.286,0.293
organist/kantor,0.204,0.479
ortoped,0.542,0.261
ortopediingeniør,-0.154,0.309
ortopeditekniker,0.302,0.196
oversetter,-0.232,0.553
personalsjef,-0.388,0.486
petroleumsingeniør,0.586,0.322
pilot,0.91,0.342
platearbeider,0.976,0.358
politi,0.252,0.289
politibetjent,0.288,0.426
politijurist,-0.082,0.42
politiker,-0.034,0.413
portør,0.464,0.276
postbud,0.152,0.283
prest,0.33,0.39
professor,0.336,0.433
fagoperatør i kjemisk prosessindustri (prosesstekniker),0.7,0.3
psykiater,-0.106,0.299
psykolog,-0.51,0.362
radiograf,-0.486,0.281
radiolog,0.162,0.228
redaktør,0.006,0.427
regissør,0.098,0.378
regnskapsfører,-0.474,0.283
reiselivsmedarbeider,-0.352,0.46
reiseleder,-0.06,0.392
renholdsoperatør,-0.548,0.187
resepsjonist,-0.182,0.456
reseptarfarmasøyt,-0.632,0.085
revisor,0.026,0.342
ridelærer,-0.826,0.402
rørlegger,0.972,0.34
saksbehandler,-0.474,0.349
samfunnsøkonom,0.032,0.278
sanger,-0.164,0.196
scenograf,-0.382,0.304
servitør,-0.262,0.397
sivilingeniør,0.572,0.434
siviløkonom,-0.01,0.305
maritim elektriker,0.976,0.436
skipsmegler,0.73,0.335
skoleassistent,-0.398,0.517
rektor/skoleleder,-0.174,0.329
skomaker,0.394,0.38
skuespiller,0.002,0.343
slakter,0.62,0.299
smed,0.53,0.3
sminkør,-0.734,0.242
sosialantropolog,-0.126,0.369
sosiolog,-0.16,0.334
sosionom,-0.546,0.343
speditør,0.462,0.377
spesialpedagog,-0.856,0.304
statsviter,-0.132,0.387
stipendiat,-0.06,0.369
styrmann,0.936,0.367
sveiser,0.946,0.412
sykepleier,-0.792,0.447
sølvsmed,-0.088,0.392
takstmann,0.916,0.325
tak- og membrantekker,0.982,0.355
tannhelsesekretær,-0.944,0.191
tannlege,-0.22,0.23
tannpleier,-0.948,0.271
tanntekniker,-0.054,0.263
tavlemontør,0.848,0.394
taxisjåfør,0.786,0.402
teknisk tegner,0.252,0.329
tekstforfatter,-0.094,0.284
telekommunikasjonsmontør,0.902,0.286
toller,0.058,0.464
trafikklærer,0.524,0.4
tv-fotograf,0.356,0.327
tømrer,0.978,0.398
urmaker,0.724,0.421
byggdrifter / vaktmester,0.806,0.395
vekter,0.524,0.298
verktøymaker,0.978,0.327
vernepleier,-0.518,0.281
veterinær,-0.558,0.428
webdesigner,0.154,0.321
økonom,-0.24,0.339
økonomisjef,0.304,0.385
mediegrafiker,0.016,0.22
kjøttskjærer,0.902,0.309
finmekaniker,0.834,0.342
båtbygger,0.864,0.328
låsesmed,0.952,0.228
sjømathandler,0.182,0.372
asfaltør,0.832,0.294
banemontør,0.904,0.364
signalmontør,0.95,0.275
betongfagarbeider,0.978,0.359
reservedelsekspeditør,0.75,0.275
ikt-servicemedarbeider,0.45,0.353
herreskredder,-0.398,0.483
ernæringskokk,-0.568,0.145
produksjonselektroniker,0.344,0.241
brønnoperatør sementering,0.95,0.189
elektroreparatør,0.816,0.222
bunadtilvirker,-0.902,0.292
stillasbygger,0.988,0.318
bilskadereparatør,0.962,0.27
fjell- og bergverksarbeider,0.888,0.485
anleggsmaskinmekaniker,0.976,0.358
hestefaglært,-0.652,0.235
flysystemmekaniker,0.896,0.364
fagoperatør i limtreproduksjonsfaget,0.738,0.302
skogsoperatør,0.89,0.227
bore- og vedlikeholdsoperatør,0.832,0.299
gipsmaker,0.938,0.316
seilmaker,0.044,0.319
landbruksmaskinmekaniker,0.938,0.335
glassfagarbeider,0.854,0.354
steinfagarbeider,0.896,0.461
serigraf,0.566,0.304
energioperatør,0.876,0.234
tekstilrenser,-0.27,0.29
garver,-0.348,0.283
aluminiumskonstruktør,0.722,0.253
dataelektroniker,0.804,0.266
vei- og anleggsarbeider,0.902,0.558
litteraturviter,-0.192,0.361
spillprogrammerer,0.76,0.334
gravferdskonsulent,0.158,0.222
byggingeniør,0.63,0.4
brønnoperatør havbunnsinstallasjoner,0.936,0.322
kunsthistoriker,-0.244,0.505
avisbud,0.734,0.221
idrettsutøver,0.61,0.296
havnesjef,0.73,0.446
fotballdommer,-0.034,0.437
sportsdommer,-0.034,0.384
miljøterapeut,-0.396,0.115
psykoterapeut,-0.508,0.198
manuellterapeut,0.372,0.212
økonomikonsulent,-0.19,0.275
cnc-operatør,0.798,0.268
kjeveortoped,0.078,0.216
anestesisykepleier,-0.434,0.329
vikler,0.754,0.309
menighetspedagog,-0.384,0.16
kirkeverge,-0.036,0.178
utmarksforvalter,0.812,0.33
landbrukssjef,-0.038,0.361
planteinspektør,-0.438,0.324
landbruksrådgiver,0.05,0.199
mikrobiolog,-0.576,0.275
vinkelner,0.364,0.31
finansanalytiker,0.1,0.29
flyinstruktør,0.788,0.365
intensivsykepleier,-0.748,0.432
dramaturg,-0.334,0.418
marin bioteknolog,-0.224,0.257
samfunnsgeograf,-0.1,0.373
klinisk sosionom,-0.708,0.284
reindriftsutøver,0.81,0.346
barne- og ungdomspsykiater,-0.106,0.094
billedkunstner,-0.128,0.443
kunst- og kulturformidler,-0.318,0.292
lokomotivfører,0.858,0.468
trikkefører,0.546,0.362
undervisningsinspektør,-0.292,0.282
misjonær,0.144,0.455
branningeniør,0.808,0.344
farmasøyt,-0.628,0.129
rådgiver i offentlig sektor,-0.264,0.243
museumsformidler,-0.35,0.287
komposittbåtbygger,0.682,0.259
trebåtbygger,0.876,0.3
antikvar,-0.122,0.263
instrumentalpedagog,-0.094,0.347
fagoperatør i trelastfaget,0.772,0.273
maskinist,0.944,0.217
kommunikasjonsrådgiver,-0.24,0.186
driftsoperatør i idrettsanlegg,0.634,0.241
dimensjonskontrollør,0.854,0.331
fagoperatør i fiskeredskapsfaget,0.298,0.306
