ATTRIBUTE;GOLD;PRED
kokk;0.184;0.515
advokat;0.02;0.623
advokatsekretær;-0.91;0.471
afis-fullmektig;0.51;0.564
agronom;0.216;0.688
aksjemegler;0.368;0.368
aktivitør;-0.286;0.556
aktuar;0.412;0.594
grunnskolelærer;-0.508;0.662
ambulansearbeider;0.168;0.644
anleggsgartner;0.608;0.669
anleggsmaskinfører;0.96;0.678
apoteker;-0.344;0.627
apotektekniker;-0.912;0.538
arkeolog;-0.412;0.604
arkitekt;-0.008;0.615
arkivar;-0.42;0.561
art director;0.126;0.403
personlig assistent;-0.468;0.433
astronom;0.57;0.564
audiograf;-0.45;0.577
automatiker;0.892;0.468
avioniker;0.892;0.612
badevakt;0.012;0.373
baker;0.126;0.46
barne- og ungdomsarbeider;-0.63;0.517
barnehageassistent;-0.698;0.644
barnevernspedagog;-0.724;0.313
bartender;-0.066;0.57
bibliotekar;-0.584;0.685
billakkerer;0.842;0.601
bilmekaniker (lette kjøretøy);0.962;0.723
bilselger;0.886;0.559
bioingeniør;-0.658;0.661
biokjemiker;-0.032;0.642
biolog;0.028;0.582
bioteknolog;-0.2;0.539
blikkenslager;0.972;0.52
blomsterdekoratør;-0.918;0.532
brannkonstabel;0.896;0.565
brønnoperatør;0.93;0.609
bussjåfør;0.856;0.649
butikkmedarbeider;-0.258;0.654
ferskvarehandler;-0.058;0.674
dansepedagog;-0.754;0.481
danser;-0.288;0.515
dataingeniør;0.638;0.643
diakon;-0.688;0.635
dirigent;0.006;0.553
dommer;0.042;0.582
dykker;0.952;0.509
dyrepleier;-0.892;0.66
tegnspråktolk;-0.866;0.382
eiendomsmegler;0.33;0.335
elektriker;0.948;0.675
elektroingeniør;0.784;0.687
energimontør;0.936;0.589
ergoterapeut;-0.772;0.487
klinisk ernæringsfysiolog;-0.904;0.503
faglærer;0.016;0.522
provisorfarmasøyt;-0.632;0.454
brannforebygger;0.772;0.647
fengselsbetjent;0.162;0.614
fagoperatør akvakultur (fiskeoppdretter);0.656;0.625
flygeleder;0.514;0.335
flymotormekaniker;0.892;0.735
forfatter;-0.114;0.507
forsikringsrådgiver;0.05;0.432
forsker;0.072;0.555
fotballspiller;0.754;0.692
fotballtrener;0.762;0.694
fotograf;0.332;0.506
fotojournalist;0.564;0.547
fotterapeut;-0.908;0.49
frisør;-0.776;0.611
fu-operatør;0.814;0.576
fysioterapeut;-0.526;0.513
barnehagelærer;-0.812;0.492
gartner;0.052;0.502
geofysiker;0.33;0.67
geograf;-0.1;0.63
geolog;0.338;0.599
glassblåser;0.426;0.428
grafisk designer;-0.038;0.502
guide;0.008;0.428
gullsmed;-0.16;0.61
havforsker;0.292;0.658
heismontør;0.982;0.615
helsesekretær;-0.97;0.591
helsesykepleier;-0.984;0.447
helsefagarbeider;-0.678;0.62
hms-ingeniør;0.17;0.595
hotelldirektør;0.294;0.622
hovmester;-0.126;0.526
hovslager;0.454;0.305
hudpleier;-0.986;0.469
husøkonom;-0.672;0.544
hydrolog;0.302;0.617
idrettskonsulent;0.278;0.687
idrettstrener;0.036;0.686
illustratør;-0.194;0.634
industridesigner;0.408;0.583
industrimaler;0.972;0.669
industrimekaniker;0.908;0.709
industrirørlegger;0.966;0.633
ingeniør;0.584;0.627
inspisient;0.066;0.472
interiørarkitekt;-0.722;0.711
interiørkonsulent;-0.718;0.473
isolatør;0.976;0.587
it-konsulent;0.562;0.466
jordmor;-0.998;-0.3
journalist;0.072;0.587
jurist;-0.284;0.634
kabinpersonale fly;-0.564;0.053
karriereveileder;-0.418;0.476
kateket;-0.444;0.348
kirketjener;0.382;0.584
kiropraktor;0.284;0.559
kjemiingeniør;-0.134;0.588
kjemiker;-0.134;0.569
kjole- og draktsyer;-0.756;0.499
klesdesigner;-0.74;0.554
