ATTRIBUTE,GOLD,PRED
kokk,0.184,0.042
advokat,0.02,0.03
advokatsekretær,-0.91,-0.074
afis-fullmektig,0.51,0.022
agronom,0.216,0.069
aksjemegler,0.368,0.024
aktivitør,-0.286,-0.053
aktuar,0.412,0.015
grunnskolelærer,-0.508,-0.031
ambulansearbeider,0.168,0.012
anleggsgartner,0.608,0.086
anleggsmaskinfører,0.96,0.125
apoteker,-0.344,0.045
apotektekniker,-0.912,0.012
arkeolog,-0.412,0.026
arkitekt,-0.008,0.045
arkivar,-0.42,0.015
art director,0.126,-0.018
personlig assistent,-0.468,-0.04
astronom,0.57,0.085
audiograf,-0.45,-0.02
automatiker,0.892,0.035
avioniker,0.892,0.086
badevakt,0.012,-0.013
baker,0.126,0.052
barne- og ungdomsarbeider,-0.63,-0.076
barnehageassistent,-0.698,-0.134
barnevernspedagog,-0.724,-0.073
bartender,-0.066,0.025
bibliotekar,-0.584,-0.066
billakkerer,0.842,0.131
bilmekaniker (lette kjøretøy),0.962,0.072
bilselger,0.886,0.038
bioingeniør,-0.658,0.042
biokjemiker,-0.032,0.073
biolog,0.028,0.041
bioteknolog,-0.2,0.014
blikkenslager,0.972,0.168
blomsterdekoratør,-0.918,-0.055
brannkonstabel,0.896,0.054
brønnoperatør,0.93,0.053
bussjåfør,0.856,0.071
butikkmedarbeider,-0.258,-0.049
ferskvarehandler,-0.058,-0.009
dansepedagog,-0.754,-0.062
danser,-0.288,-0.002
dataingeniør,0.638,0.051
diakon,-0.688,0.008
dirigent,0.006,0.023
dommer,0.042,0.029
dykker,0.952,0.064
dyrepleier,-0.892,-0.049
tegnspråktolk,-0.866,-0.046
eiendomsmegler,0.33,0.008
elektriker,0.948,0.052
elektroingeniør,0.784,0.078
energimontør,0.936,0.022
ergoterapeut,-0.772,-0.085
klinisk ernæringsfysiolog,-0.904,-0.111
faglærer,0.016,-0.024
provisorfarmasøyt,-0.632,0.045
brannforebygger,0.772,-0.008
fengselsbetjent,0.162,0.026
fagoperatør akvakultur (fiskeoppdretter),0.656,0.033
flygeleder,0.514,0.068
flymotormekaniker,0.892,0.148
forfatter,-0.114,0.009
forsikringsrådgiver,0.05,0.003
forsker,0.072,0.005
fotballspiller,0.754,0.049
fotballtrener,0.762,0.05
fotograf,0.332,0.014
fotojournalist,0.564,-0.003
fotterapeut,-0.908,-0.081
frisør,-0.776,-0.045
fu-operatør,0.814,0.041
fysioterapeut,-0.526,-0.038
barnehagelærer,-0.812,-0.062
gartner,0.052,0.048
geofysiker,0.33,0.108
geograf,-0.1,0.039
geolog,0.338,0.071
glassblåser,0.426,0.053
grafisk designer,-0.038,-0.041
guide,0.008,-0.004
gullsmed,-0.16,0.036
havforsker,0.292,0.092
heismontør,0.982,0.056
helsesekretær,-0.97,-0.094
helsesykepleier,-0.984,-0.107
helsefagarbeider,-0.678,-0.099
hms-ingeniør,0.17,0.134
hotelldirektør,0.294,0.035
hovmester,-0.126,0.071
hovslager,0.454,0.096
hudpleier,-0.986,-0.12
husøkonom,-0.672,0.013
hydrolog,0.302,0.053
idrettskonsulent,0.278,-0.001
idrettstrener,0.036,0.039
illustratør,-0.194,0.007
industridesigner,0.408,0.025
industrimaler,0.972,0.164
industrimekaniker,0.908,0.114
industrirørlegger,0.966,0.109
ingeniør,0.584,0.092
inspisient,0.066,0.021
interiørarkitekt,-0.722,-0.029
interiørkonsulent,-0.718,-0.065
isolatør,0.976,0.033
it-konsulent,0.562,-0.018
jordmor,-0.998,-0.119
journalist,0.072,0.006
jurist,-0.284,0.038
kabinpersonale fly,-0.564,-0.002
karriereveileder,-0.418,-0.07
kateket,-0.444,0.002
kirketjener,0.382,0.028
kiropraktor,0.284,-0.029
kjemiingeniør,-0.134,0.086
kjemiker,-0.134,0.079
kjole- og draktsyer,-0.756,-0.075
klesdesigner,-0.74,-0.012
konditor,-0.44,0.029
konduktør,0.136,0.03
konservator,-0.372,0.001
service- og administrasjonsmedarbeider,-0.428,-0.112
kosmetolog,-0.946,-0.025
kostymesyer,-0.908,0.021
kostøkonom,-0.186,0.009
fagoperatør kran- og løfteoperasjoner (kranfører),0.94,0.015
kulde- og varmepumpetekniker,0.974,0.045
kunderådgiver i bank,-0.1,-0.037
kunsthåndverker,0.038,0.002
kunstner,-0.034,0.012
kystskipper,0.976,0.132
laborant,-0.326,0.046
landmåler,0.45,0.064
landskapsarkitekt,-0.326,0.014
yrkessjåfør,0.91,0.077
leder,0.306,0.018
lege,-0.086,0.022
legemiddelkonsulent,-0.046,-0.036
lektor,-0.246,0.04
logistikkoperatør,0.624,0.022
logoped,-0.862,-0.012
los,0.956,0.042
lydtekniker,0.866,0.038
lystekniker,0.51,0.038
lærer,-0.378,0.014
maler,0.876,0.068
