ATTRIBUTE,GOLD,PRED
kokk,0.184,-0.011
advokat,0.02,0.0
advokatsekretær,-0.91,-0.006
afis-fullmektig,0.51,-0.002
agronom,0.216,0.006
aksjemegler,0.368,0.009
aktivitør,-0.286,-0.011
aktuar,0.412,0.0
grunnskolelærer,-0.508,-0.022
ambulansearbeider,0.168,0.0
anleggsgartner,0.608,-0.007
anleggsmaskinfører,0.96,0.0
apoteker,-0.344,0.0
apotektekniker,-0.912,0.0
arkeolog,-0.412,0.013
arkitekt,-0.008,0.007
arkivar,-0.42,0.001
art director,0.126,-0.027
personlig assistent,-0.468,0.0
astronom,0.57,0.014
audiograf,-0.45,-0.002
automatiker,0.892,0.0
avioniker,0.892,0.006
badevakt,0.012,-0.012
baker,0.126,-0.009
barne- og ungdomsarbeider,-0.63,-0.011
barnehageassistent,-0.698,-0.061
barnevernspedagog,-0.724,-0.013
bartender,-0.066,-0.003
bibliotekar,-0.584,-0.011
billakkerer,0.842,-0.006
bilmekaniker (lette kjøretøy),0.962,0.0
bilselger,0.886,0.006
bioingeniør,-0.658,0.0
biokjemiker,-0.032,0.0
biolog,0.028,0.0
bioteknolog,-0.2,0.0
blikkenslager,0.972,0.006
blomsterdekoratør,-0.918,-0.016
brannkonstabel,0.896,0.009
brønnoperatør,0.93,0.009
bussjåfør,0.856,0.001
butikkmedarbeider,-0.258,-0.011
ferskvarehandler,-0.058,0.019
dansepedagog,-0.754,-0.019
danser,-0.288,-0.022
dataingeniør,0.638,0.0
diakon,-0.688,-0.015
dirigent,0.006,-0.007
dommer,0.042,0.0
dykker,0.952,0.006
dyrepleier,-0.892,-0.029
tegnspråktolk,-0.866,-0.009
eiendomsmegler,0.33,0.009
elektriker,0.948,0.0
elektroingeniør,0.784,0.0
energimontør,0.936,0.005
ergoterapeut,-0.772,0.0
klinisk ernæringsfysiolog,-0.904,-0.035
faglærer,0.016,0.0
provisorfarmasøyt,-0.632,0.02
brannforebygger,0.772,0.0
fengselsbetjent,0.162,0.0
fagoperatør akvakultur (fiskeoppdretter),0.656,0.0
flygeleder,0.514,0.008
flymotormekaniker,0.892,-0.007
forfatter,-0.114,-0.015
forsikringsrådgiver,0.05,0.0
forsker,0.072,0.0
fotballspiller,0.754,0.0
fotballtrener,0.762,0.0
fotograf,0.332,-0.015
fotojournalist,0.564,-0.01
fotterapeut,-0.908,-0.011
frisør,-0.776,-0.017
fu-operatør,0.814,0.0
fysioterapeut,-0.526,0.0
barnehagelærer,-0.812,-0.033
gartner,0.052,-0.002
geofysiker,0.33,0.029
