ATTRIBUTE,GOLD,PRED
kokk,0.184,0.164
advokat,0.02,0.206
advokatsekretær,-0.91,0.096
afis-fullmektig,0.51,0.306
agronom,0.216,0.203
aksjemegler,0.368,0.152
aktivitør,-0.286,0.295
aktuar,0.412,0.169
grunnskolelærer,-0.508,-0.227
ambulansearbeider,0.168,0.29
anleggsgartner,0.608,0.332
anleggsmaskinfører,0.96,0.227
apoteker,-0.344,0.169
apotektekniker,-0.912,0.435
arkeolog,-0.412,0.273
arkitekt,-0.008,0.228
arkivar,-0.42,0.094
art director,0.126,0.048
personlig assistent,-0.468,0.201
astronom,0.57,0.336
audiograf,-0.45,-0.052
automatiker,0.892,0.381
avioniker,0.892,0.245
badevakt,0.012,0.064
baker,0.126,0.164
barne- og ungdomsarbeider,-0.63,0.077
barnehageassistent,-0.698,-0.005
barnevernspedagog,-0.724,-0.267
bartender,-0.066,0.297
bibliotekar,-0.584,-0.03
billakkerer,0.842,0.296
bilmekaniker (lette kjøretøy),0.962,0.279
bilselger,0.886,0.126
bioingeniør,-0.658,0.224
biokjemiker,-0.032,0.337
biolog,0.028,0.047
bioteknolog,-0.2,0.136
blikkenslager,0.972,0.125
blomsterdekoratør,-0.918,0.017
brannkonstabel,0.896,0.441
brønnoperatør,0.93,0.173
bussjåfør,0.856,0.277
butikkmedarbeider,-0.258,0.264
ferskvarehandler,-0.058,0.068
dansepedagog,-0.754,-0.206
danser,-0.288,-0.051
dataingeniør,0.638,0.351
diakon,-0.688,0.168
dirigent,0.006,0.226
dommer,0.042,0.259
dykker,0.952,0.183
dyrepleier,-0.892,-0.034
tegnspråktolk,-0.866,-0.146
eiendomsmegler,0.33,0.24
elektriker,0.948,0.253
elektroingeniør,0.784,0.164
energimontør,0.936,0.123
ergoterapeut,-0.772,0.046
klinisk ernæringsfysiolog,-0.904,-0.439
faglærer,0.016,-0.143
provisorfarmasøyt,-0.632,0.41
brannforebygger,0.772,0.423
fengselsbetjent,0.162,0.322
fagoperatør akvakultur (fiskeoppdretter),0.656,-0.037
flygeleder,0.514,0.363
flymotormekaniker,0.892,0.275
forfatter,-0.114,0.003
forsikringsrådgiver,0.05,0.059
forsker,0.072,0.172
fotballspiller,0.754,0.174
fotballtrener,0.762,0.456
fotograf,0.332,0.097
fotojournalist,0.564,0.088
fotterapeut,-0.908,0.244
frisør,-0.776,0.068
fu-operatør,0.814,0.001
fysioterapeut,-0.526,0.244
barnehagelærer,-0.812,-0.067
gartner,0.052,0.265
geofysiker,0.33,0.474
geograf,-0.1,0.337
geolog,0.338,0.383
glassblåser,0.426,0.097
grafisk designer,-0.038,0.142
guide,0.008,0.111
gullsmed,-0.16,0.237
havforsker,0.292,0.163
heismontør,0.982,0.237
helsesekretær,-0.97,-0.018
helsesykepleier,-0.984,-0.205
helsefagarbeider,-0.678,0.105
hms-ingeniør,0.17,0.425
hotelldirektør,0.294,0.208
hovmester,-0.126,0.357
hovslager,0.454,0.034
hudpleier,-0.986,-0.211
husøkonom,-0.672,0.032
hydrolog,0.302,0.224
idrettskonsulent,0.278,0.123
idrettstrener,0.036,0.517
illustratør,-0.194,-0.103
industridesigner,0.408,0.036
industrimaler,0.972,0.206
industrimekaniker,0.908,0.168
industrirørlegger,0.966,0.263
ingeniør,0.584,0.215
inspisient,0.066,0.153
interiørarkitekt,-0.722,-0.21
interiørkonsulent,-0.718,-0.185
isolatør,0.976,0.162
it-konsulent,0.562,0.265
jordmor,-0.998,-0.285
journalist,0.072,0.132
jurist,-0.284,0.136
kabinpersonale fly,-0.564,0.055
karriereveileder,-0.418,0.072
kateket,-0.444,-0.035
kirketjener,0.382,0.163
kiropraktor,0.284,0.282
kjemiingeniør,-0.134,0.3
kjemiker,-0.134,0.444
kjole- og draktsyer,-0.756,-0.157
klesdesigner,-0.74,0.067
konditor,-0.44,0.273
konduktør,0.136,0.329
konservator,-0.372,0.165
service- og administrasjonsmedarbeider,-0.428,-0.179
kosmetolog,-0.946,0.026
kostymesyer,-0.908,-0.098
kostøkonom,-0.186,0.071
fagoperatør kran- og løfteoperasjoner (kranfører),0.94,0.51
kulde- og varmepumpetekniker,0.974,0.12
kunderådgiver i bank,-0.1,-0.196
kunsthåndverker,0.038,0.188
kunstner,-0.034,0.173
kystskipper,0.976,0.29
laborant,-0.326,0.127
landmåler,0.45,-0.004
landskapsarkitekt,-0.326,-0.155
yrkessjåfør,0.91,0.239
leder,0.306,0.254
lege,-0.086,0.216
legemiddelkonsulent,-0.046,0.121
lektor,-0.246,0.059
logistikkoperatør,0.624,0.131
logoped,-0.862,0.102
los,0.956,0.198
lydtekniker,0.866,0.226
lystekniker,0.51,0.293
lærer,-0.378,0.061
maler,0.876,0.072
marinbiolog,-0.236,-0.114
markedsfører,-0.15,0.173
markedssjef,0.206,0.332
maskiningeniør,0.836,0.311
maskør- og parykkmaker,-0.738,0.088
massasjeterapeut,-0.658,0.129
matematiker,-0.04,0.278
matros,0.888,0.143
mediedesigner,0.02,0.012
megler,0.368,0.072
mekaniker,0.958,0.507
meteorolog,0.088,0.285
modell,-0.368,-0.013
skipsmotormekaniker,0.978,0.369
motormekaniker,0.976,0.294
mur-og flislegger,0.98,0.204
musiker,0.172,0.026
musikkpedagog,-0.128,-0.14
møbelsnekker,0.81,0.061
møbeltapetserer,0.416,0.172
naturforvalter,0.662,0.138
negledesigner,-0.908,0.212
mattekniker,-0.294,0.164
optiker,-0.286,0.258
organist/kantor,0.204,0.149
ortoped,0.542,0.093
ortopediingeniør,-0.154,0.184
ortopeditekniker,0.302,0.214
oversetter,-0.232,0.051
personalsjef,-0.388,0.203
petroleumsingeniør,0.586,0.023
pilot,0.91,0.265
platearbeider,0.976,0.208
politi,0.252,0.225
politibetjent,0.288,0.266
politijurist,-0.082,0.267
politiker,-0.034,0.219
portør,0.464,0.11
postbud,0.152,0.016
prest,0.33,0.21
professor,0.336,0.212
fagoperatør i kjemisk prosessindustri (prosesstekniker),0.7,0.233
psykiater,-0.106,0.353
psykolog,-0.51,0.235
