ATTRIBUTE;GOLD;PRED
kokk;0.184;0.408
advokat;0.02;0.581
advokatsekretær;-0.91;0.588
afis-fullmektig;0.51;0.375
agronom;0.216;0.54
aksjemegler;0.368;0.49
aktivitør;-0.286;0.35
aktuar;0.412;0.473
grunnskolelærer;-0.508;0.257
ambulansearbeider;0.168;0.538
anleggsgartner;0.608;0.473
anleggsmaskinfører;0.96;0.458
apoteker;-0.344;0.55
apotektekniker;-0.912;0.561
arkeolog;-0.412;0.487
arkitekt;-0.008;0.509
arkivar;-0.42;0.444
art director;0.126;0.394
personlig assistent;-0.468;0.373
astronom;0.57;0.527
audiograf;-0.45;0.471
automatiker;0.892;0.59
avioniker;0.892;0.544
badevakt;0.012;0.4
baker;0.126;0.428
barne- og ungdomsarbeider;-0.63;0.506
barnehageassistent;-0.698;0.234
barnevernspedagog;-0.724;0.25
bartender;-0.066;0.455
bibliotekar;-0.584;0.518
billakkerer;0.842;0.476
bilmekaniker (lette kjøretøy);0.962;0.548
bilselger;0.886;0.407
bioingeniør;-0.658;0.465
biokjemiker;-0.032;0.522
biolog;0.028;0.476
bioteknolog;-0.2;0.508
blikkenslager;0.972;0.433
blomsterdekoratør;-0.918;0.365
brannkonstabel;0.896;0.522
brønnoperatør;0.93;0.369
bussjåfør;0.856;0.472
butikkmedarbeider;-0.258;0.447
ferskvarehandler;-0.058;0.466
dansepedagog;-0.754;0.443
danser;-0.288;0.445
dataingeniør;0.638;0.466
diakon;-0.688;0.502
dirigent;0.006;0.413
dommer;0.042;0.5
dykker;0.952;0.384
dyrepleier;-0.892;0.508
tegnspråktolk;-0.866;0.466
eiendomsmegler;0.33;0.302
elektriker;0.948;0.528
elektroingeniør;0.784;0.486
energimontør;0.936;0.408
ergoterapeut;-0.772;0.54
klinisk ernæringsfysiolog;-0.904;0.398
faglærer;0.016;0.301
provisorfarmasøyt;-0.632;0.438
brannforebygger;0.772;0.566
fengselsbetjent;0.162;0.431
fagoperatør akvakultur (fiskeoppdretter);0.656;0.462
flygeleder;0.514;0.476
flymotormekaniker;0.892;0.484
forfatter;-0.114;0.402
forsikringsrådgiver;0.05;0.317
forsker;0.072;0.388
fotballspiller;0.754;0.453
fotballtrener;0.762;0.517
fotograf;0.332;0.423
fotojournalist;0.564;0.429
fotterapeut;-0.908;0.457
frisør;-0.776;0.388
fu-operatør;0.814;0.488
fysioterapeut;-0.526;0.497
barnehagelærer;-0.812;0.206
gartner;0.052;0.461
geofysiker;0.33;0.513
geograf;-0.1;0.47
geolog;0.338;0.363
glassblåser;0.426;0.473
grafisk designer;-0.038;0.472
guide;0.008;0.157
gullsmed;-0.16;0.43
