ATTRIBUTE;GOLD;PRED
kokk;0.184;0.006
advokat;0.02;-0.019
advokatsekretær;-0.91;-0.179
afis-fullmektig;0.51;-0.029
agronom;0.216;0.013
aksjemegler;0.368;-0.014
aktivitør;-0.286;-0.141
aktuar;0.412;-0.013
grunnskolelærer;-0.508;-0.125
ambulansearbeider;0.168;-0.05
anleggsgartner;0.608;0.013
anleggsmaskinfører;0.96;0.08
apoteker;-0.344;0.047
apotektekniker;-0.912;-0.047
arkeolog;-0.412;-0.011
arkitekt;-0.008;0.009
arkivar;-0.42;-0.04
art director;0.126;-0.099
personlig assistent;-0.468;-0.113
astronom;0.57;0.034
audiograf;-0.45;-0.148
automatiker;0.892;0.026
avioniker;0.892;0.048
badevakt;0.012;-0.105
baker;0.126;-0.009
barne- og ungdomsarbeider;-0.63;-0.185
barnehageassistent;-0.698;-0.263
barnevernspedagog;-0.724;-0.191
bartender;-0.066;-0.007
bibliotekar;-0.584;-0.15
billakkerer;0.842;0.066
bilmekaniker (lette kjøretøy);0.962;0.004
bilselger;0.886;0.021
bioingeniør;-0.658;-0.05
biokjemiker;-0.032;-0.01
biolog;0.028;0.018
bioteknolog;-0.2;-0.074
blikkenslager;0.972;0.108
blomsterdekoratør;-0.918;-0.191
brannkonstabel;0.896;0.004
brønnoperatør;0.93;0.056
bussjåfør;0.856;0.061
butikkmedarbeider;-0.258;-0.103
ferskvarehandler;-0.058;-0.087
dansepedagog;-0.754;-0.192
danser;-0.288;-0.105
dataingeniør;0.638;-0.004
diakon;-0.688;-0.091
dirigent;0.006;-0.043
dommer;0.042;-0.005
dykker;0.952;0.037
dyrepleier;-0.892;-0.174
tegnspråktolk;-0.866;-0.111
eiendomsmegler;0.33;-0.043
elektriker;0.948;0.029
elektroingeniør;0.784;0.005
energimontør;0.936;-0.021
ergoterapeut;-0.772;-0.161
klinisk ernæringsfysiolog;-0.904;-0.149
faglærer;0.016;-0.107
provisorfarmasøyt;-0.632;-0.037
brannforebygger;0.772;-0.07
fengselsbetjent;0.162;-0.014
fagoperatør akvakultur (fiskeoppdretter);0.656;-0.064
flygeleder;0.514;0.013
flymotormekaniker;0.892;0.089
forfatter;-0.114;-0.034
forsikringsrådgiver;0.05;-0.057
forsker;0.072;-0.048
fotballspiller;0.754;0.032
fotballtrener;0.762;0.024
fotograf;0.332;-0.039
fotojournalist;0.564;-0.081
fotterapeut;-0.908;-0.203
frisør;-0.776;-0.172
fu-operatør;0.814;0.033
fysioterapeut;-0.526;-0.13
barnehagelærer;-0.812;-0.208
gartner;0.052;-0.021
geofysiker;0.33;0.066
geograf;-0.1;0.022
geolog;0.338;0.038
glassblåser;0.426;0.012
grafisk designer;-0.038;-0.133
guide;0.008;-0.027
gullsmed;-0.16;-0.036
havforsker;0.292;0.056
heismontør;0.982;0.016
helsesekretær;-0.97;-0.194
helsesykepleier;-0.984;-0.282
helsefagarbeider;-0.678;-0.245
hms-ingeniør;0.17;0.036
hotelldirektør;0.294;-0.033
hovmester;-0.126;0.051
hovslager;0.454;0.044
hudpleier;-0.986;-0.259
husøkonom;-0.672;-0.034
hydrolog;0.302;0.018
idrettskonsulent;0.278;-0.086
idrettstrener;0.036;-0.011
illustratør;-0.194;-0.102
industridesigner;0.408;-0.093
industrimaler;0.972;0.05
industrimekaniker;0.908;0.043
industrirørlegger;0.966;0.021
ingeniør;0.584;0.023
inspisient;0.066;-0.02
interiørarkitekt;-0.722;-0.139
interiørkonsulent;-0.718;-0.168
isolatør;0.976;-0.003
it-konsulent;0.562;-0.094
jordmor;-0.998;-0.284
journalist;0.072;-0.039
jurist;-0.284;-0.026
kabinpersonale fly;-0.564;-0.018
karriereveileder;-0.418;-0.119
kateket;-0.444;-0.105
kirketjener;0.382;-0.057
kiropraktor;0.284;-0.154
kjemiingeniør;-0.134;0.005
kjemiker;-0.134;0.045
kjole- og draktsyer;-0.756;-0.316
klesdesigner;-0.74;-0.146
konditor;-0.44;-0.093
konduktør;0.136;0.007
konservator;-0.372;-0.064
service- og administrasjonsmedarbeider;-0.428;-0.132
kosmetolog;-0.946;-0.162
kostymesyer;-0.908;-0.111
kostøkonom;-0.186;-0.06
fagoperatør kran- og løfteoperasjoner (kranfører);0.94;-0.019
kulde- og varmepumpetekniker;0.974;-0.046
kunderådgiver i bank;-0.1;-0.086
kunsthåndverker;0.038;-0.132
kunstner;-0.034;-0.052
kystskipper;0.976;0.126
laborant;-0.326;0.011
landmåler;0.45;0.031
landskapsarkitekt;-0.326;-0.058
yrkessjåfør;0.91;0.049
leder;0.306;-0.035
lege;-0.086;-0.013
legemiddelkonsulent;-0.046;-0.127
lektor;-0.246;0.0
logistikkoperatør;0.624;-0.023
logoped;-0.862;-0.104
los;0.956;0.049
lydtekniker;0.866;-0.034
lystekniker;0.51;-0.025
lærer;-0.378;-0.044
maler;0.876;-0.005
marinbiolog;-0.236;0.022
markedsfører;-0.15;-0.056
markedssjef;0.206;-0.054
maskiningeniør;0.836;0.025
maskør- og parykkmaker;-0.738;0.069
massasjeterapeut;-0.658;-0.217
matematiker;-0.04;0.003
matros;0.888;0.098
mediedesigner;0.02;-0.155
megler;0.368;-0.048
mekaniker;0.958;0.052
meteorolog;0.088;-0.014
modell;-0.368;-0.149
skipsmotormekaniker;0.978;0.08
motormekaniker;0.976;0.067
mur-og flislegger;0.98;0.092
musiker;0.172;-0.007
musikkpedagog;-0.128;-0.149
møbelsnekker;0.81;0.089
møbeltapetserer;0.416;-0.046
naturforvalter;0.662;-0.036
negledesigner;-0.908;-0.167
mattekniker;-0.294;-0.068
optiker;-0.286;-0.025
organist/kantor;0.204;-0.069
ortoped;0.542;-0.048
ortopediingeniør;-0.154;-0.076
ortopeditekniker;0.302;-0.109
oversetter;-0.232;-0.082
personalsjef;-0.388;-0.045
petroleumsingeniør;0.586;0.044
pilot;0.91;0.008
platearbeider;0.976;0.039
politi;0.252;-0.003
politibetjent;0.288;-0.023
politijurist;-0.082;-0.039
politiker;-0.034;-0.039
portør;0.464;-0.097
postbud;0.152;-0.005
prest;0.33;0.012
professor;0.336;-0.01
fagoperatør i kjemisk prosessindustri (prosesstekniker);0.7;-0.017
psykiater;-0.106;-0.007
psykolog;-0.51;-0.064
radiograf;-0.486;-0.108
radiolog;0.162;0.005
redaktør;0.006;-0.028
regissør;0.098;-0.045
regnskapsfører;-0.474;-0.04
reiselivsmedarbeider;-0.352;-0.102
reiseleder;-0.06;-0.066
renholdsoperatør;-0.548;-0.107
resepsjonist;-0.182;-0.138
reseptarfarmasøyt;-0.632;-0.092
revisor;0.026;-0.002
ridelærer;-0.826;-0.063
rørlegger;0.972;0.028
saksbehandler;-0.474;-0.109
samfunnsøkonom;0.032;-0.024
sanger;-0.164;-0.1
scenograf;-0.382;-0.119
servitør;-0.262;-0.143
sivilingeniør;0.572;0.006
siviløkonom;-0.01;-0.018
maritim elektriker;0.976;0.01
skipsmegler;0.73;0.037
skoleassistent;-0.398;-0.14
rektor/skoleleder;-0.174;-0.06
skomaker;0.394;0.196
skuespiller;0.002;-0.052
slakter;0.62;0.046
smed;0.53;0.1
sminkør;-0.734;-0.221
sosialantropolog;-0.126;-0.077
sosiolog;-0.16;-0.044
sosionom;-0.546;-0.188
speditør;0.462;0.014
spesialpedagog;-0.856;-0.183
statsviter;-0.132;-0.03
stipendiat;-0.06;-0.079
styrmann;0.936;0.108
sveiser;0.946;0.042
sykepleier;-0.792;-0.25
sølvsmed;-0.088;-0.011
takstmann;0.916;0.064
tak- og membrantekker;0.982;0.03
tannhelsesekretær;-0.944;-0.3
tannlege;-0.22;-0.012
tannpleier;-0.948;-0.279
tanntekniker;-0.054;-0.078
tavlemontør;0.848;-0.014
taxisjåfør;0.786;0.042
teknisk tegner;0.252;0.039
tekstforfatter;-0.094;-0.101
telekommunikasjonsmontør;0.902;-0.011
toller;0.058;0.032
trafikklærer;0.524;-0.052
tv-fotograf;0.356;-0.045
tømrer;0.978;0.055
urmaker;0.724;0.091
byggdrifter / vaktmester;0.806;0.015
vekter;0.524;-0.038
verktøymaker;0.978;0.077
vernepleier;-0.518;-0.28
veterinær;-0.558;-0.079
webdesigner;0.154;-0.087
økonom;-0.24;-0.006
økonomisjef;0.304;-0.034
mediegrafiker;0.016;-0.055
kjøttskjærer;0.902;0.065
finmekaniker;0.834;0.065
båtbygger;0.864;0.061
låsesmed;0.952;-0.001
sjømathandler;0.182;-0.066
asfaltør;0.832;0.062
banemontør;0.904;0.024
signalmontør;0.95;0.006
betongfagarbeider;0.978;0.005
reservedelsekspeditør;0.75;-0.085
ikt-servicemedarbeider;0.45;-0.089
herreskredder;-0.398;-0.027
ernæringskokk;-0.568;-0.04
produksjonselektroniker;0.344;-0.018
brønnoperatør sementering;0.95;0.045
elektroreparatør;0.816;0.042
bunadtilvirker;-0.902;-0.144
stillasbygger;0.988;0.048
bilskadereparatør;0.962;0.011
fjell- og bergverksarbeider;0.888;0.12
anleggsmaskinmekaniker;0.976;0.048
hestefaglært;-0.652;-0.064
flysystemmekaniker;0.896;0.05
fagoperatør i limtreproduksjonsfaget;0.738;-0.049
skogsoperatør;0.89;0.029
bore- og vedlikeholdsoperatør;0.832;0.096
gipsmaker;0.938;0.06
seilmaker;0.044;0.098
landbruksmaskinmekaniker;0.938;0.04
glassfagarbeider;0.854;-0.035
steinfagarbeider;0.896;0.008
serigraf;0.566;-0.08
energioperatør;0.876;0.001
tekstilrenser;-0.27;-0.087
garver;-0.348;0.073
aluminiumskonstruktør;0.722;0.077
dataelektroniker;0.804;0.021
vei- og anleggsarbeider;0.902;0.048
litteraturviter;-0.192;-0.049
spillprogrammerer;0.76;-0.013
gravferdskonsulent;0.158;-0.168
byggingeniør;0.63;-0.005
brønnoperatør havbunnsinstallasjoner;0.936;0.1
kunsthistoriker;-0.244;-0.053
avisbud;0.734;0.008
idrettsutøver;0.61;-0.049
havnesjef;0.73;-0.031
fotballdommer;-0.034;0.018
sportsdommer;-0.034;0.02
miljøterapeut;-0.396;-0.212
psykoterapeut;-0.508;-0.164
manuellterapeut;0.372;-0.179
økonomikonsulent;-0.19;-0.093
cnc-operatør;0.798;0.037
kjeveortoped;0.078;-0.066
anestesisykepleier;-0.434;-0.275
vikler;0.754;-0.005
menighetspedagog;-0.384;-0.216
kirkeverge;-0.036;-0.076
utmarksforvalter;0.812;-0.054
landbrukssjef;-0.038;0.001
planteinspektør;-0.438;0.009
landbruksrådgiver;0.05;-0.105
mikrobiolog;-0.576;0.018
vinkelner;0.364;-0.004
finansanalytiker;0.1;-0.011
flyinstruktør;0.788;0.06
intensivsykepleier;-0.748;-0.286
dramaturg;-0.334;-0.081
marin bioteknolog;-0.224;-0.069
samfunnsgeograf;-0.1;-0.087
klinisk sosionom;-0.708;-0.256
reindriftsutøver;0.81;-0.06
barne- og ungdomspsykiater;-0.106;-0.191
billedkunstner;-0.128;-0.149
kunst- og kulturformidler;-0.318;-0.141
lokomotivfører;0.858;0.069
trikkefører;0.546;0.035
undervisningsinspektør;-0.292;-0.034
misjonær;0.144;0.004
branningeniør;0.808;0.025
farmasøyt;-0.628;-0.174
rådgiver i offentlig sektor;-0.264;-0.097
museumsformidler;-0.35;-0.103
komposittbåtbygger;0.682;0.053
trebåtbygger;0.876;0.074
antikvar;-0.122;-0.023
instrumentalpedagog;-0.094;-0.126
fagoperatør i trelastfaget;0.772;0.001
maskinist;0.944;0.118
kommunikasjonsrådgiver;-0.24;-0.124
driftsoperatør i idrettsanlegg;0.634;-0.022
dimensjonskontrollør;0.854;0.026
fagoperatør i fiskeredskapsfaget;0.298;-0.009
fagarbeider industriell matproduksjon;0.294;-0.159
chassispåbygger;0.976;0.07
bilmekaniker (tunge kjøretøy);0.974;0.001
fagarbeider sjømatproduksjon;0.26;-0.185
industrisnekker;0.802;0.085
strikkehåndverker;-1.0;-0.234
eksponeringsdesigner;-0.64;-0.086
flystrukturmekaniker;0.896;0.04
vaskerioperatør;-0.186;-0.081
maskinsjef;0.988;0.077
prosessingeniør;0.556;-0.001
kurator;-0.302;-0.148
rekvisitør;0.462;-0.053
musikkterapeut;-0.2;-0.186
musikkprodusent;0.536;-0.027
brønnoperatør for mekaniske kabeloperasjoner;0.824;0.152
allmennlege;0.216;-0.049
overstyrmann;0.938;0.101
hjemmehjelp;-0.78;-0.274
kaptein;0.98;0.032
personlig trener;-0.312;-0.081
fabrikksjef. fiske;0.954;0.09
produktutvikler fiskefôr;0.714;-0.079
fiskehelsebiolog;0.602;-0.006
it-administrator;0.614;-0.053
supportkonsulent;0.496;-0.092
nettverkstekniker;0.77;-0.042
fagoperatør i polymerkompositt / herdeplast;0.676;-0.013
miljørådgiver;-0.06;-0.107
adjunkt;-0.41;-0.097
pedagogisk-psykologisk rådgiver (pp-rådgiver);-0.796;-0.165
interaksjonsdesigner;0.36;-0.077
fagoperatør i produksjonsteknikk;0.57;-0.048
modellbygger;0.944;0.004
matteknolog;-0.304;-0.101
samfunnsplanlegger;-0.03;-0.051
arealplanlegger;-0.184;-0.025
gjenvinningsoperatør;0.826;-0.042
industriell overflatebehandler;0.928;-0.024
jobbveileder;-0.42;-0.106
advokatassistent;-0.846;-0.103
ndt-kontrollør;0.838;0.046
støper;0.892;0.06
bilpleier;0.66;-0.129
fagoperatør i plastfag;0.676;-0.095
