ATTRIBUTE;GOLD;PRED
kokk;0.184;0.03
advokat;0.02;0.044
advokatsekretær;-0.91;-0.077
afis-fullmektig;0.51;0.03
agronom;0.216;0.032
aksjemegler;0.368;0.076
aktivitør;-0.286;-0.07
aktuar;0.412;0.017
grunnskolelærer;-0.508;-0.031
ambulansearbeider;0.168;-0.007
anleggsgartner;0.608;0.075
anleggsmaskinfører;0.96;0.086
apoteker;-0.344;-0.015
apotektekniker;-0.912;-0.028
arkeolog;-0.412;0.011
arkitekt;-0.008;0.042
arkivar;-0.42;-0.02
art director;0.126;0.013
personlig assistent;-0.468;-0.029
astronom;0.57;0.071
audiograf;-0.45;-0.002
automatiker;0.892;0.061
avioniker;0.892;0.065
badevakt;0.012;0.026
baker;0.126;0.062
barne- og ungdomsarbeider;-0.63;-0.01
barnehageassistent;-0.698;-0.101
barnevernspedagog;-0.724;-0.07
bartender;-0.066;0.006
bibliotekar;-0.584;-0.037
billakkerer;0.842;0.093
bilmekaniker (lette kjøretøy);0.962;0.046
bilselger;0.886;0.063
bioingeniør;-0.658;-0.038
biokjemiker;-0.032;0.013
biolog;0.028;0.015
bioteknolog;-0.2;0.026
blikkenslager;0.972;0.108
blomsterdekoratør;-0.918;-0.056
brannkonstabel;0.896;0.036
brønnoperatør;0.93;0.066
bussjåfør;0.856;0.081
butikkmedarbeider;-0.258;-0.061
ferskvarehandler;-0.058;0.044
dansepedagog;-0.754;-0.068
danser;-0.288;-0.039
dataingeniør;0.638;0.041
diakon;-0.688;-0.025
dirigent;0.006;0.031
dommer;0.042;0.038
dykker;0.952;0.089
dyrepleier;-0.892;-0.059
tegnspråktolk;-0.866;-0.011
eiendomsmegler;0.33;0.054
elektriker;0.948;0.082
elektroingeniør;0.784;0.055
energimontør;0.936;0.057
ergoterapeut;-0.772;-0.054
klinisk ernæringsfysiolog;-0.904;-0.068
faglærer;0.016;-0.007
provisorfarmasøyt;-0.632;-0.108
brannforebygger;0.772;0.029
fengselsbetjent;0.162;0.036
fagoperatør akvakultur (fiskeoppdretter);0.656;0.011
flygeleder;0.514;0.059
flymotormekaniker;0.892;0.127
forfatter;-0.114;-0.013
forsikringsrådgiver;0.05;0.022
forsker;0.072;0.001
fotballspiller;0.754;0.09
fotballtrener;0.762;0.075
fotograf;0.332;0.024
fotojournalist;0.564;0.003
fotterapeut;-0.908;-0.087
