ATTRIBUTE;GOLD;PRED
kokk;0.184;-0.017
advokat;0.02;-0.002
advokatsekretær;-0.91;-0.005
afis-fullmektig;0.51;-0.005
agronom;0.216;-0.006
aksjemegler;0.368;0.005
aktivitør;-0.286;-0.017
aktuar;0.412;-0.004
grunnskolelærer;-0.508;-0.049
ambulansearbeider;0.168;-0.012
anleggsgartner;0.608;-0.008
anleggsmaskinfører;0.96;0.002
apoteker;-0.344;-0.021
apotektekniker;-0.912;-0.012
arkeolog;-0.412;-0.002
arkitekt;-0.008;-0.01
arkivar;-0.42;-0.015
art director;0.126;-0.032
personlig assistent;-0.468;-0.012
astronom;0.57;0.001
audiograf;-0.45;-0.012
automatiker;0.892;0.004
avioniker;0.892;0.002
badevakt;0.012;-0.018
baker;0.126;-0.03
barne- og ungdomsarbeider;-0.63;-0.03
barnehageassistent;-0.698;-0.081
barnevernspedagog;-0.724;-0.035
bartender;-0.066;-0.009
bibliotekar;-0.584;-0.023
billakkerer;0.842;-0.011
bilmekaniker (lette kjøretøy);0.962;-0.005
bilselger;0.886;-0.01
bioingeniør;-0.658;-0.008
biokjemiker;-0.032;-0.007
biolog;0.028;0.001
bioteknolog;-0.2;-0.001
blikkenslager;0.972;0.005
blomsterdekoratør;-0.918;-0.028
brannkonstabel;0.896;0.004
brønnoperatør;0.93;0.008
bussjåfør;0.856;-0.01
butikkmedarbeider;-0.258;-0.028
ferskvarehandler;-0.058;-0.001
dansepedagog;-0.754;-0.031
danser;-0.288;-0.031
dataingeniør;0.638;-0.002
diakon;-0.688;-0.014
dirigent;0.006;-0.01
dommer;0.042;-0.001
dykker;0.952;0.009
dyrepleier;-0.892;-0.038
tegnspråktolk;-0.866;-0.022
eiendomsmegler;0.33;0.001
elektriker;0.948;0.001
elektroingeniør;0.784;-0.006
energimontør;0.936;0.001
ergoterapeut;-0.772;-0.031
klinisk ernæringsfysiolog;-0.904;-0.043
faglærer;0.016;-0.017
provisorfarmasøyt;-0.632;0.009
brannforebygger;0.772;0.003
fengselsbetjent;0.162;-0.007
fagoperatør akvakultur (fiskeoppdretter);0.656;-0.001
flygeleder;0.514;0.002
flymotormekaniker;0.892;-0.007
forfatter;-0.114;-0.028
forsikringsrådgiver;0.05;-0.003
forsker;0.072;-0.005
fotballspiller;0.754;0.0
fotballtrener;0.762;-0.004
fotograf;0.332;-0.018
fotojournalist;0.564;-0.012
fotterapeut;-0.908;-0.01
frisør;-0.776;-0.034
fu-operatør;0.814;0.01
fysioterapeut;-0.526;-0.023
barnehagelærer;-0.812;-0.057
gartner;0.052;-0.012
geofysiker;0.33;0.008
geograf;-0.1;-0.005
geolog;0.338;0.002
glassblåser;0.426;-0.008
grafisk designer;-0.038;-0.021
guide;0.008;0.003
gullsmed;-0.16;-0.016
havforsker;0.292;0.006
heismontør;0.982;0.005
helsesekretær;-0.97;-0.017
helsesykepleier;-0.984;-0.037
helsefagarbeider;-0.678;-0.031
hms-ingeniør;0.17;-0.011
hotelldirektør;0.294;-0.001
hovmester;-0.126;0.003
hovslager;0.454;0.0
hudpleier;-0.986;-0.024
husøkonom;-0.672;-0.029
hydrolog;0.302;0.006
idrettskonsulent;0.278;-0.007
idrettstrener;0.036;-0.003
illustratør;-0.194;-0.022
industridesigner;0.408;-0.011
industrimaler;0.972;-0.005
industrimekaniker;0.908;-0.003
industrirørlegger;0.966;0.008
ingeniør;0.584;-0.005
inspisient;0.066;0.005
interiørarkitekt;-0.722;-0.027
interiørkonsulent;-0.718;-0.025
isolatør;0.976;0.007
it-konsulent;0.562;-0.003
jordmor;-0.998;-0.063
journalist;0.072;-0.012
jurist;-0.284;-0.011
kabinpersonale fly;-0.564;-0.005
karriereveileder;-0.418;-0.018
kateket;-0.444;-0.019
kirketjener;0.382;-0.002
kiropraktor;0.284;-0.016
kjemiingeniør;-0.134;-0.01
kjemiker;-0.134;-0.006
kjole- og draktsyer;-0.756;-0.02
klesdesigner;-0.74;-0.029
konditor;-0.44;-0.028
konduktør;0.136;0.003
konservator;-0.372;-0.006
service- og administrasjonsmedarbeider;-0.428;-0.009
kosmetolog;-0.946;-0.026
kostymesyer;-0.908;-0.022
kostøkonom;-0.186;-0.02
fagoperatør kran- og løfteoperasjoner (kranfører);0.94;0.005
kulde- og varmepumpetekniker;0.974;0.007
kunderådgiver i bank;-0.1;-0.005
kunsthåndverker;0.038;-0.031
kunstner;-0.034;-0.033
kystskipper;0.976;-0.0
laborant;-0.326;-0.009
landmåler;0.45;0.009
landskapsarkitekt;-0.326;-0.012
yrkessjåfør;0.91;0.001
leder;0.306;-0.003
lege;-0.086;-0.0
legemiddelkonsulent;-0.046;-0.022
lektor;-0.246;-0.025
logistikkoperatør;0.624;0.003
logoped;-0.862;-0.036
los;0.956;0.009
