ATTRIBUTE;GOLD;PRED
kokk;0.184;0.093
advokat;0.02;0.157
advokatsekretær;-0.91;-0.017
afis-fullmektig;0.51;0.078
agronom;0.216;0.122
aksjemegler;0.368;0.08
aktivitør;-0.286;0.062
aktuar;0.412;0.043
grunnskolelærer;-0.508;-0.134
ambulansearbeider;0.168;0.097
anleggsgartner;0.608;0.171
anleggsmaskinfører;0.96;0.087
apoteker;-0.344;0.053
apotektekniker;-0.912;0.151
arkeolog;-0.412;0.051
arkitekt;-0.008;0.065
arkivar;-0.42;0.025
art director;0.126;0.032
personlig assistent;-0.468;0.127
astronom;0.57;0.227
audiograf;-0.45;0.015
automatiker;0.892;0.251
avioniker;0.892;0.102
badevakt;0.012;-0.049
baker;0.126;0.094
barne- og ungdomsarbeider;-0.63;-0.059
barnehageassistent;-0.698;-0.16
barnevernspedagog;-0.724;-0.248
bartender;-0.066;0.168
bibliotekar;-0.584;-0.03
billakkerer;0.842;0.181
bilmekaniker (lette kjøretøy);0.962;0.096
bilselger;0.886;0.073
bioingeniør;-0.658;0.051
biokjemiker;-0.032;0.107
biolog;0.028;0.026
bioteknolog;-0.2;-0.058
blikkenslager;0.972;0.038
blomsterdekoratør;-0.918;-0.043
brannkonstabel;0.896;0.241
brønnoperatør;0.93;0.078
bussjåfør;0.856;0.137
butikkmedarbeider;-0.258;0.037
ferskvarehandler;-0.058;0.056
dansepedagog;-0.754;-0.169
danser;-0.288;-0.064
dataingeniør;0.638;0.129
diakon;-0.688;0.044
dirigent;0.006;0.153
dommer;0.042;0.173
dykker;0.952;0.13
dyrepleier;-0.892;-0.152
tegnspråktolk;-0.866;-0.084
eiendomsmegler;0.33;0.081
elektriker;0.948;0.093
elektroingeniør;0.784;0.045
energimontør;0.936;0.164
ergoterapeut;-0.772;-0.082
klinisk ernæringsfysiolog;-0.904;-0.376
faglærer;0.016;-0.105
provisorfarmasøyt;-0.632;0.234
brannforebygger;0.772;0.169
fengselsbetjent;0.162;0.192
fagoperatør akvakultur (fiskeoppdretter);0.656;-0.154
flygeleder;0.514;0.314
flymotormekaniker;0.892;0.2
forfatter;-0.114;0.018
forsikringsrådgiver;0.05;-0.042
forsker;0.072;0.074
fotballspiller;0.754;0.202
fotballtrener;0.762;0.29
fotograf;0.332;0.04
fotojournalist;0.564;0.013
fotterapeut;-0.908;0.051
frisør;-0.776;-0.01
fu-operatør;0.814;-0.01
fysioterapeut;-0.526;0.093
barnehagelærer;-0.812;-0.141
gartner;0.052;0.101
geofysiker;0.33;0.266
geograf;-0.1;0.137
geolog;0.338;0.165
glassblåser;0.426;0.069
grafisk designer;-0.038;0.033
guide;0.008;0.176
gullsmed;-0.16;0.049
havforsker;0.292;0.095
heismontør;0.982;0.164
helsesekretær;-0.97;-0.185
helsesykepleier;-0.984;-0.319
helsefagarbeider;-0.678;-0.036
hms-ingeniør;0.17;0.179
hotelldirektør;0.294;0.107
hovmester;-0.126;0.256
hovslager;0.454;0.071
hudpleier;-0.986;-0.203
husøkonom;-0.672;-0.085
hydrolog;0.302;0.075
idrettskonsulent;0.278;0.057
idrettstrener;0.036;0.304
illustratør;-0.194;-0.012
industridesigner;0.408;-0.023
industrimaler;0.972;0.106
industrimekaniker;0.908;0.08
industrirørlegger;0.966;0.172
ingeniør;0.584;0.068
inspisient;0.066;0.093
interiørarkitekt;-0.722;-0.138
interiørkonsulent;-0.718;-0.132
isolatør;0.976;0.099
it-konsulent;0.562;0.072
jordmor;-0.998;-0.364
journalist;0.072;0.042
jurist;-0.284;0.014
kabinpersonale fly;-0.564;-0.018
karriereveileder;-0.418;-0.056
kateket;-0.444;-0.071
kirketjener;0.382;0.129
kiropraktor;0.284;0.122
kjemiingeniør;-0.134;0.138
kjemiker;-0.134;0.247
kjole- og draktsyer;-0.756;-0.229
klesdesigner;-0.74;-0.04
konditor;-0.44;0.139
konduktør;0.136;0.088
konservator;-0.372;0.059
service- og administrasjonsmedarbeider;-0.428;-0.172
kosmetolog;-0.946;-0.146
kostymesyer;-0.908;-0.058
kostøkonom;-0.186;-0.0
fagoperatør kran- og løfteoperasjoner (kranfører);0.94;0.192
kulde- og varmepumpetekniker;0.974;0.176
kunderådgiver i bank;-0.1;-0.183
kunsthåndverker;0.038;0.035
kunstner;-0.034;0.044
kystskipper;0.976;0.092
laborant;-0.326;0.126
landmåler;0.45;0.003
landskapsarkitekt;-0.326;-0.082
yrkessjåfør;0.91;0.1
leder;0.306;0.049
lege;-0.086;0.083
legemiddelkonsulent;-0.046;0.023
lektor;-0.246;0.02
logistikkoperatør;0.624;0.101
logoped;-0.862;-0.051
los;0.956;0.161
lydtekniker;0.866;0.226
lystekniker;0.51;0.105
lærer;-0.378;-0.01
maler;0.876;0.026
marinbiolog;-0.236;-0.034
markedsfører;-0.15;0.087
markedssjef;0.206;0.184
maskiningeniør;0.836;0.123
maskør- og parykkmaker;-0.738;-0.038
massasjeterapeut;-0.658;-0.028
matematiker;-0.04;0.169
matros;0.888;0.08
mediedesigner;0.02;-0.041
megler;0.368;0.043
mekaniker;0.958;0.3
meteorolog;0.088;0.08
modell;-0.368;-0.109
skipsmotormekaniker;0.978;0.214
motormekaniker;0.976;0.159
mur-og flislegger;0.98;0.201
musiker;0.172;0.063
musikkpedagog;-0.128;-0.104
møbelsnekker;0.81;0.01
møbeltapetserer;0.416;0.011
naturforvalter;0.662;0.07
negledesigner;-0.908;0.021
mattekniker;-0.294;0.076
optiker;-0.286;0.166
organist/kantor;0.204;0.113
ortoped;0.542;0.099
ortopediingeniør;-0.154;0.052
ortopeditekniker;0.302;0.078
oversetter;-0.232;0.0
personalsjef;-0.388;0.058
petroleumsingeniør;0.586;-0.067
pilot;0.91;0.187
platearbeider;0.976;0.103
politi;0.252;0.125
politibetjent;0.288;0.283
politijurist;-0.082;0.189
politiker;-0.034;0.055
portør;0.464;0.076
postbud;0.152;-0.042
prest;0.33;0.2
professor;0.336;0.14
fagoperatør i kjemisk prosessindustri (prosesstekniker);0.7;0.088
psykiater;-0.106;0.21
psykolog;-0.51;0.123
radiograf;-0.486;0.143
radiolog;0.162;0.174
redaktør;0.006;0.156
regissør;0.098;0.152
regnskapsfører;-0.474;0.107
reiselivsmedarbeider;-0.352;-0.088
reiseleder;-0.06;0.041
renholdsoperatør;-0.548;-0.126
resepsjonist;-0.182;0.07
reseptarfarmasøyt;-0.632;0.246
revisor;0.026;0.19
ridelærer;-0.826;0.094
rørlegger;0.972;0.092
saksbehandler;-0.474;-0.122
samfunnsøkonom;0.032;0.033
sanger;-0.164;-0.066
scenograf;-0.382;0.045
servitør;-0.262;-0.032
sivilingeniør;0.572;0.016
siviløkonom;-0.01;-0.037
maritim elektriker;0.976;0.098
skipsmegler;0.73;0.155
skoleassistent;-0.398;-0.047
rektor/skoleleder;-0.174;-0.086
skomaker;0.394;0.2
skuespiller;0.002;-0.01
slakter;0.62;0.134
smed;0.53;0.004
sminkør;-0.734;-0.106
sosialantropolog;-0.126;-0.021
sosiolog;-0.16;-0.011
sosionom;-0.546;-0.126
speditør;0.462;-0.019
spesialpedagog;-0.856;-0.18
statsviter;-0.132;0.042
stipendiat;-0.06;-0.024
styrmann;0.936;0.195
sveiser;0.946;0.109
sykepleier;-0.792;-0.157
sølvsmed;-0.088;0.045
takstmann;0.916;0.143
tak- og membrantekker;0.982;-0.017
tannhelsesekretær;-0.944;-0.044
tannlege;-0.22;0.073
tannpleier;-0.948;-0.138
tanntekniker;-0.054;0.139
tavlemontør;0.848;0.01
taxisjåfør;0.786;0.197
teknisk tegner;0.252;0.163
tekstforfatter;-0.094;-0.045
telekommunikasjonsmontør;0.902;0.022
toller;0.058;0.051
trafikklærer;0.524;0.015
tv-fotograf;0.356;0.007
tømrer;0.978;0.156
urmaker;0.724;0.158
byggdrifter / vaktmester;0.806;0.083
vekter;0.524;0.126
verktøymaker;0.978;0.19
vernepleier;-0.518;-0.196
veterinær;-0.558;0.035
webdesigner;0.154;-0.007
økonom;-0.24;0.07
økonomisjef;0.304;0.177
mediegrafiker;0.016;0.125
