ATTRIBUTE;GOLD;PRED
kokk;0.184;0.013
advokat;0.02;0.019
advokatsekretær;-0.91;-0.017
afis-fullmektig;0.51;0.036
agronom;0.216;0.017
aksjemegler;0.368;0.04
aktivitør;-0.286;-0.005
aktuar;0.412;0.062
grunnskolelærer;-0.508;-0.026
ambulansearbeider;0.168;0.073
anleggsgartner;0.608;0.047
anleggsmaskinfører;0.96;0.072
apoteker;-0.344;0.011
apotektekniker;-0.912;0.021
arkeolog;-0.412;0.07
arkitekt;-0.008;0.019
arkivar;-0.42;0.087
art director;0.126;0.034
personlig assistent;-0.468;-0.006
astronom;0.57;0.125
audiograf;-0.45;-0.017
automatiker;0.892;0.028
avioniker;0.892;0.094
badevakt;0.012;-0.021
baker;0.126;0.048
barne- og ungdomsarbeider;-0.63;-0.024
barnehageassistent;-0.698;-0.063
barnevernspedagog;-0.724;-0.07
bartender;-0.066;0.017
bibliotekar;-0.584;0.073
billakkerer;0.842;0.032
bilmekaniker (lette kjøretøy);0.962;0.023
bilselger;0.886;0.036
bioingeniør;-0.658;0.019
biokjemiker;-0.032;0.027
biolog;0.028;0.028
bioteknolog;-0.2;0.012
blikkenslager;0.972;0.02
blomsterdekoratør;-0.918;-0.066
brannkonstabel;0.896;0.037
brønnoperatør;0.93;0.021
bussjåfør;0.856;0.066
butikkmedarbeider;-0.258;0.007
ferskvarehandler;-0.058;0.044
dansepedagog;-0.754;-0.094
danser;-0.288;-0.023
dataingeniør;0.638;0.019
diakon;-0.688;0.073
dirigent;0.006;0.058
dommer;0.042;0.034
dykker;0.952;0.029
dyrepleier;-0.892;-0.058
tegnspråktolk;-0.866;-0.031
eiendomsmegler;0.33;-0.026
elektriker;0.948;0.023
elektroingeniør;0.784;0.024
energimontør;0.936;0.014
ergoterapeut;-0.772;-0.023
klinisk ernæringsfysiolog;-0.904;-0.084
faglærer;0.016;-0.03
provisorfarmasøyt;-0.632;0.017
brannforebygger;0.772;0.074
fengselsbetjent;0.162;0.054
fagoperatør akvakultur (fiskeoppdretter);0.656;0.007
