ITERATION,LEN(HYP),SAMPLENR,RUNTIME
1,113,2,1.354
2,114,1,1.083
3,116,3,1.596
4,117,2,1.291
5,118,2,0.858
6,90,2,0.442
7,88,1,0.708
8,113,5,2.213
9,117,1,1.387
10,144,4,2.71
11,147,1,2.071
12,120,2,1.954
13,146,2,2.644
14,120,7,3.462
15,117,5,2.571
16,115,6,2.856
17,117,6,4.061
18,118,1,2.58
19,117,10,4.063
20,143,1,2.893
21,146,1,3.101
22,119,1,1.847
23,145,1,3.495
24,172,1,4.394
25,173,2,4.942
26,199,2,6.013
27,225,1,6.618
28,223,3,7.46
29,225,2,6.922
30,227,1,6.443
31,229,5,7.819
32,255,4,8.509
33,282,3,9.163
34,283,1,9.015
35,284,7,11.044
36,259,1,8.692
37,287,3,10.158
38,261,9,12.897
39,262,5,10.429
40,235,3,8.994
41,234,1,4.973
42,261,1,8.12
43,235,2,5.49
44,207,3,7.976
45,205,3,4.689
46,206,4,7.788
47,233,2,8.155
48,260,1,8.916
49,259,1,5.825
50,285,1,10.288
51,287,1,10.528
52,288,1,10.834
53,286,3,7.325
54,313,2,12.113
55,316,1,12.006
56,291,3,12.44
57,289,3,7.605
58,291,5,12.927
59,293,6,13.985
60,292,1,11.903
61,319,4,14.489
62,295,1,12.974
63,294,5,9.375
64,320,4,15.425
65,346,12,20.56
66,344,8,13.476
67,317,13,14.754
68,293,13,18.964
69,270,33,25.216
70,267,10,10.372
71,266,19,13.121
72,265,35,18.46
73,292,14,17.472
74,293,1,13.699
75,291,12,11.282
76,266,1,12.618
77,293,7,15.767
78,293,8,17.438
79,267,23,22.092
80,294,3,15.219
81,322,1,16.677
82,296,1,16.038
83,322,7,19.447
84,348,4,20.042
85,346,2,10.979
86,321,4,20.014
87,348,1,20.198
88,323,15,24.594
89,324,3,19.371
90,322,1,9.495
91,319,4,10.311
92,292,5,18.287
93,294,3,17.082
94,293,2,8.006
95,319,6,19.481
96,321,16,24.075
97,320,2,9.295
98,322,4,19.8
99,298,4,19.102
100,297,1,8.095
