COUNT;HORN RULES (filtered)
2/2;arkitekt & kvinne ---> FALSE
2/2;elektriker & kvinne ---> FALSE
2/2;kvinne & eldre enn 60 ---> FALSE
2/2;mellom 30 og 40 & kvinne ---> FALSE
2/2;politiker & kvinne ---> FALSE
2/2;yngre enn 20 & kvinne ---> FALSE
1/2;Bergen ---> mann
1/2;Europa & kvinne & mellom 50 og 60 ---> Kristiansand
1/2;Oslo & Afrika ---> mann
1/2;Oslo & Australia & kvinne ---> rørlegger
1/2;Stavanger & mellom 40 og 50 ---> Afrika
1/2;Stavanger & mellom 40 og 50 ---> kvinne
1/2;Stavanger & mellom 40 og 50 ---> sykepleier
1/2;kvinne & sykepleier ---> Afrika
1/2;mellom 50 og 60 & rørlegger ---> mann
1/2;sveiser & Kristiansand & Afrika & mann ---> mellom 20 og 30
1/2;sveiser & Stavanger ---> Asia
1/2;Ålesund & kvinne ---> Sør Amerika
1/2;Ålesund & kvinne ---> sveiser
1/2;Australia & kvinne & mellom 40 og 50 ---> FALSE
1/2;Australia & kvinne & mellom 50 og 60 ---> FALSE
1/2;Europa & kvinne & rørlegger ---> FALSE
1/2;Kristiansand & kvinne & rørlegger ---> FALSE
1/2;Nord Amerika & kvinne & mellom 50 og 60 ---> FALSE
1/2;Oslo & Nord Amerika & kvinne & mellom 40 og 50 ---> FALSE
1/2;Oslo & Nord Amerika & kvinne & rørlegger ---> FALSE
1/2;Stavanger & kvinne & psykolog ---> FALSE
1/2;Tromsø & Afrika & mann & psykolog ---> FALSE
1/2;Tromsø & Australia & kvinne ---> FALSE
1/2;Tromsø & Sør Amerika & kvinne & mellom 40 og 50 & frisør ---> FALSE
1/2;Tromsø & Sør Amerika & kvinne & mellom 50 og 60 ---> FALSE
1/2;Trondheim & Asia & kvinne & frisør ---> FALSE
1/2;Trondheim & kvinne & mellom 40 og 50 ---> FALSE
1/2;Trondheim & kvinne & mellom 50 og 60 ---> FALSE
1/2;Trondheim & kvinne & rørlegger ---> FALSE
1/2;kvinne & mellom 50 og 60 & psykolog ---> FALSE
1/2;mellom 20 og 30 & sveiser & Asia & kvinne ---> FALSE
1/2;sveiser & Oslo & kvinne ---> FALSE
1/2;sveiser & kvinne & mellom 50 og 60 ---> FALSE
1/2;Asia & frisør ---> mann
1/2;Asia & kvinne ---> sveiser
1/2;Bodø ---> mann
1/2;Europa & mann & frisør ---> mellom 20 og 30
1/2;Kristiansand & Afrika & mann ---> mellom 20 og 30
1/2;Kristiansand & Afrika & mann ---> rørlegger
1/2;Oslo & kvinne ---> Australia
1/2;Oslo & kvinne ---> sykepleier
1/2;Stavanger & Afrika ---> kvinne
1/2;kvinne & frisør ---> Europa
1/2;kvinne & mellom 40 og 50 & psykolog ---> Europa
1/2;kvinne & mellom 40 og 50 & psykolog ---> Kristiansand
1/2;mellom 20 og 30 & kvinne ---> Europa
1/2;mellom 20 og 30 & kvinne ---> Kristiansand
1/2;mellom 50 og 60 & sykepleier ---> Afrika
1/2;mellom 50 og 60 & sykepleier ---> kvinne
1/2;sveiser & Europa ---> mann
1/2;sveiser & Stavanger & kvinne ---> Australia
1/2;sveiser & Trondheim ---> Afrika
1/2;sveiser & Trondheim ---> kvinne
1/2;sveiser & Ålesund & Asia & mann ---> yngre enn 20
1/2;Kristiansand & Nord Amerika & kvinne & mellom 50 og 60 & psykolog ---> FALSE
1/2;Stavanger & Europa & kvinne & rørlegger ---> FALSE
1/2;Sør Amerika & kvinne & mellom 50 og 60 ---> FALSE
1/2;Tromsø & Europa & kvinne & sykepleier ---> FALSE
1/2;sveiser & Bergen & kvinne & mellom 40 og 50 ---> FALSE
1/2;Ålesund & Afrika & kvinne & mellom 50 og 60 ---> FALSE
