COUNT;EXTRACTED HORN RULES
10/10;arkitekt & kvinne ---> FALSE
10/10;elektriker & kvinne ---> FALSE
10/10;kvinne & eldre enn 60 ---> FALSE
10/10;politiker & kvinne ---> FALSE
10/10;yngre enn 20 & kvinne ---> FALSE
7/10;mellom 30 og 40 & kvinne ---> FALSE
5/10;Tromsø & Australia & kvinne ---> FALSE
5/10;Trondheim & kvinne & mellom 40 og 50 ---> FALSE
5/10;Trondheim & kvinne & rørlegger ---> FALSE
5/10;sveiser & Europa ---> mann
4/10;Trondheim & mann ---> mellom 30 og 40
4/10;Sør Amerika & kvinne & sykepleier ---> FALSE
4/10;Nord Amerika & kvinne & sykepleier ---> FALSE
3/10;Sør Amerika & kvinne & mellom 50 og 60 ---> FALSE
3/10;Australia & kvinne & sykepleier ---> Oslo
3/10;Bergen & kvinne ---> Asia
3/10;Bergen & kvinne ---> sveiser
3/10;Kristiansand & Afrika & mann & sykepleier ---> mellom 20 og 30
3/10;Kristiansand & Europa & mann & mellom 50 og 60 ---> rørlegger
3/10;Oslo & Australia & kvinne ---> sykepleier
3/10;Stavanger & kvinne & mellom 40 og 50 & sykepleier ---> Afrika
3/10;Sør Amerika & psykolog ---> kvinne
3/10;Tromsø & kvinne & psykolog ---> Afrika
3/10;Trondheim & mann ---> Europa
3/10;kvinne & mellom 50 og 60 ---> Europa
3/10;kvinne & mellom 50 og 60 ---> Kristiansand
3/10;kvinne & mellom 50 og 60 ---> psykolog
3/10;sveiser & Nord Amerika ---> mann
3/10;sveiser & Tromsø ---> kvinne
3/10;Asia & kvinne & mellom 40 og 50 ---> FALSE
3/10;Bodø & Australia & kvinne & mellom 40 og 50 & rørlegger ---> FALSE
3/10;Europa & kvinne & mellom 40 og 50 & frisør ---> FALSE
3/10;Kristiansand & kvinne & frisør ---> FALSE
3/10;Nord Amerika & kvinne & frisør ---> FALSE
3/10;Nord Amerika & kvinne & psykolog ---> FALSE
3/10;Oslo & Afrika & mann & rørlegger ---> FALSE
3/10;Oslo & kvinne & psykolog ---> FALSE
3/10;Oslo & mellom 30 og 40 & kvinne & sykepleier ---> FALSE
3/10;Stavanger & Sør Amerika & kvinne & rørlegger ---> FALSE
3/10;Sør Amerika & kvinne & mellom 40 og 50 ---> FALSE
3/10;Tromsø & Asia & kvinne & rørlegger ---> FALSE
3/10;Tromsø & kvinne & frisør ---> FALSE
3/10;mellom 20 og 30 & Afrika & kvinne ---> FALSE
3/10;mellom 20 og 30 & Australia & kvinne ---> FALSE
3/10;mellom 20 og 30 & Bodø & kvinne ---> FALSE
3/10;mellom 20 og 30 & Nord Amerika & kvinne ---> FALSE
3/10;mellom 20 og 30 & Sør Amerika & kvinne ---> FALSE
3/10;mellom 20 og 30 & Trondheim & kvinne ---> FALSE
3/10;mellom 20 og 30 & kvinne & frisør ---> FALSE
3/10;mellom 20 og 30 & kvinne & psykolog ---> FALSE
3/10;mellom 20 og 30 & Ålesund & kvinne ---> FALSE
3/10;sveiser & Stavanger & mellom 30 og 40 & kvinne ---> FALSE
3/10;sveiser & Ålesund & kvinne ---> FALSE
3/10;Ålesund & kvinne & frisør ---> FALSE
3/10;Ålesund & kvinne & psykolog ---> FALSE
3/10;Ålesund & mellom 30 og 40 & Asia & kvinne ---> FALSE
2/10;Bodø & kvinne ---> FALSE
2/10;kvinne & mellom 50 og 60 ---> FALSE
2/10;mellom 20 og 30 & kvinne ---> FALSE
2/10;Bergen ---> mann
2/10;Europa & kvinne & mellom 50 og 60 ---> Kristiansand
2/10;Oslo & Afrika ---> mann
2/10;Oslo & Australia & kvinne ---> rørlegger
2/10;Stavanger & mellom 40 og 50 ---> Afrika
2/10;Stavanger & mellom 40 og 50 ---> kvinne
2/10;Stavanger & mellom 40 og 50 ---> sykepleier
2/10;kvinne & sykepleier ---> Afrika
2/10;mellom 50 og 60 & rørlegger ---> mann
2/10;sveiser & Kristiansand & Afrika & mann ---> mellom 20 og 30
2/10;sveiser & Stavanger ---> Asia
2/10;Ålesund & kvinne ---> Sør Amerika
2/10;Ålesund & kvinne ---> sveiser
2/10;Australia & kvinne & mellom 40 og 50 ---> FALSE
2/10;Australia & kvinne & mellom 50 og 60 ---> FALSE
2/10;Europa & kvinne & rørlegger ---> FALSE
2/10;Kristiansand & kvinne & rørlegger ---> FALSE
2/10;Nord Amerika & kvinne & mellom 50 og 60 ---> FALSE
2/10;Oslo & Nord Amerika & kvinne & mellom 40 og 50 ---> FALSE
2/10;Oslo & Nord Amerika & kvinne & rørlegger ---> FALSE
2/10;Stavanger & kvinne & psykolog ---> FALSE
2/10;Tromsø & Afrika & mann & psykolog ---> FALSE
2/10;Tromsø & Sør Amerika & kvinne & mellom 40 og 50 & frisør ---> FALSE
2/10;Tromsø & Sør Amerika & kvinne & mellom 50 og 60 ---> FALSE
2/10;Trondheim & Asia & kvinne & frisør ---> FALSE
2/10;Trondheim & kvinne & mellom 50 og 60 ---> FALSE
2/10;kvinne & mellom 50 og 60 & psykolog ---> FALSE
2/10;mellom 20 og 30 & sveiser & Asia & kvinne ---> FALSE
2/10;sveiser & Oslo & kvinne ---> FALSE
2/10;sveiser & kvinne & mellom 50 og 60 ---> FALSE
2/10;Asia & frisør ---> mann
2/10;Asia & kvinne ---> sveiser
2/10;Bodø ---> mann
2/10;Europa & mann & frisør ---> mellom 20 og 30
2/10;Kristiansand & Afrika & mann ---> mellom 20 og 30
2/10;Kristiansand & Afrika & mann ---> rørlegger
2/10;Oslo & kvinne ---> Australia
2/10;Oslo & kvinne ---> sykepleier
2/10;Stavanger & Afrika ---> kvinne
2/10;kvinne & frisør ---> Europa
2/10;kvinne & mellom 40 og 50 & psykolog ---> Europa
2/10;kvinne & mellom 40 og 50 & psykolog ---> Kristiansand
2/10;mellom 20 og 30 & kvinne ---> Europa
2/10;mellom 20 og 30 & kvinne ---> Kristiansand
2/10;mellom 50 og 60 & sykepleier ---> Afrika
2/10;mellom 50 og 60 & sykepleier ---> kvinne
2/10;sveiser & Stavanger & kvinne ---> Australia
2/10;sveiser & Trondheim ---> Afrika
2/10;sveiser & Trondheim ---> kvinne
