COUNT;HORN RULES (filtered)
2/2;elektriker & Nord Amerika & kvinne ---> FALSE
2/2;elektriker & Tromsø & kvinne ---> FALSE
2/2;kvinne & rørlegger ---> FALSE
2/2;mann & sykepleier ---> FALSE
2/2;mellom 20 og 30 & politiker & kvinne ---> FALSE
2/2;sveiser & kvinne ---> FALSE
1/2;Australia & mellom 40 og 50 ---> mann
1/2;Kristiansand & Australia ---> mann
1/2;Kristiansand & Australia ---> mellom 40 og 50
1/2;Kristiansand & psykolog ---> Nord Amerika
1/2;Kristiansand & psykolog ---> kvinne
1/2;Kristiansand & psykolog ---> mellom 40 og 50
1/2;Oslo & Europa & mann ---> eldre enn 60
1/2;Oslo & Europa & mann ---> elektriker
1/2;Oslo & kvinne & mellom 40 og 50 ---> frisør
1/2;Sør Amerika & mann & psykolog ---> yngre enn 20
1/2;Trondheim & psykolog ---> mann
1/2;arkitekt & Trondheim ---> Sør Amerika
1/2;arkitekt & Trondheim ---> mann
1/2;arkitekt & Trondheim ---> mellom 50 og 60
1/2;frisør ---> kvinne
1/2;mellom 30 og 40 ---> mann
1/2;politiker & mellom 50 og 60 ---> mann
1/2;yngre enn 20 & Bodø & kvinne ---> Afrika
1/2;yngre enn 20 & Bodø & kvinne ---> sykepleier
1/2;yngre enn 20 & politiker ---> Kristiansand
1/2;yngre enn 20 & politiker ---> kvinne
1/2;Bergen & kvinne & mellom 50 og 60 ---> FALSE
1/2;Bergen & mellom 30 og 40 & Australia & kvinne ---> FALSE
1/2;Europa & kvinne & eldre enn 60 & psykolog ---> FALSE
1/2;Kristiansand & kvinne & mellom 50 og 60 ---> FALSE
1/2;Oslo & kvinne & mellom 50 og 60 ---> FALSE
1/2;Tromsø & Australia & kvinne & eldre enn 60 & psykolog ---> FALSE
1/2;arkitekt & Sør Amerika & kvinne ---> FALSE
1/2;arkitekt & Tromsø & Asia & kvinne & eldre enn 60 ---> FALSE
1/2;arkitekt & Ålesund & Afrika & kvinne ---> FALSE
1/2;elektriker & Bodø & kvinne ---> FALSE
1/2;elektriker & Ålesund & Sør Amerika & kvinne ---> FALSE
1/2;mellom 20 og 30 & Bergen & Australia & kvinne ---> FALSE
1/2;mellom 20 og 30 & Bodø & kvinne ---> FALSE
1/2;mellom 20 og 30 & Kristiansand & kvinne ---> FALSE
1/2;mellom 20 og 30 & Tromsø & Asia & kvinne & psykolog ---> FALSE
1/2;mellom 20 og 30 & Trondheim & Nord Amerika & kvinne ---> FALSE
1/2;mellom 20 og 30 & arkitekt & Oslo & Australia & kvinne ---> FALSE
1/2;mellom 30 og 40 & Afrika & kvinne & psykolog ---> FALSE
1/2;politiker & Oslo & Afrika & kvinne & eldre enn 60 ---> FALSE
1/2;politiker & Stavanger & Nord Amerika & kvinne ---> FALSE
1/2;yngre enn 20 & Bergen & Nord Amerika & kvinne & psykolog ---> FALSE
1/2;yngre enn 20 & Stavanger & Asia & kvinne & psykolog ---> FALSE
1/2;Ålesund & Nord Amerika & kvinne & eldre enn 60 ---> FALSE
1/2;Bergen & Nord Amerika ---> mann
1/2;Bergen & Nord Amerika ---> yngre enn 20
1/2;Kristiansand & Nord Amerika & mann ---> mellom 20 og 30
1/2;Kristiansand & Nord Amerika & mann ---> sveiser
1/2;Stavanger & Sør Amerika ---> mann
1/2;Sør Amerika & kvinne & mellom 40 og 50 ---> frisør
1/2;Sør Amerika & kvinne & mellom 40 og 50 ---> Ålesund
1/2;Tromsø & kvinne & mellom 50 og 60 ---> Europa
1/2;Tromsø & kvinne & mellom 50 og 60 ---> sykepleier
1/2;arkitekt & Sør Amerika ---> Tromsø
1/2;arkitekt & Sør Amerika ---> kvinne
1/2;mann & frisør ---> Australia
1/2;mann & frisør ---> Kristiansand
1/2;mann & frisør ---> yngre enn 20
1/2;politiker & Kristiansand & Europa ---> mann
1/2;politiker & Kristiansand & Europa ---> mellom 20 og 30
1/2;politiker & eldre enn 60 ---> mann
1/2;yngre enn 20 & Sør Amerika ---> Stavanger
1/2;yngre enn 20 & Sør Amerika ---> mann
1/2;yngre enn 20 & Sør Amerika ---> psykolog
1/2;Bergen & Europa & kvinne & eldre enn 60 & psykolog ---> FALSE
1/2;Bodø & Asia & kvinne & mellom 50 og 60 & psykolog ---> FALSE
1/2;Bodø & Nord Amerika & kvinne & eldre enn 60 & psykolog ---> FALSE
1/2;Bodø & kvinne & mellom 40 og 50 ---> FALSE
1/2;Kristiansand & mellom 30 og 40 & kvinne ---> FALSE
1/2;Stavanger & mellom 30 og 40 & kvinne ---> FALSE
1/2;Tromsø & Afrika ---> FALSE
1/2;Trondheim & Afrika & kvinne & eldre enn 60 & psykolog ---> FALSE
1/2;arkitekt & Bergen & Afrika & kvinne ---> FALSE
1/2;arkitekt & kvinne & eldre enn 60 ---> FALSE
1/2;arkitekt & kvinne & mellom 50 og 60 ---> FALSE
1/2;arkitekt & mellom 30 og 40 & kvinne ---> FALSE
1/2;elektriker & Afrika & kvinne ---> FALSE
1/2;elektriker & Kristiansand & kvinne ---> FALSE
1/2;elektriker & Sør Amerika & kvinne ---> FALSE
1/2;elektriker & kvinne & eldre enn 60 ---> FALSE
1/2;elektriker & kvinne & mellom 50 og 60 ---> FALSE
1/2;mellom 20 og 30 & Asia & kvinne ---> FALSE
1/2;mellom 20 og 30 & arkitekt & kvinne ---> FALSE
1/2;mellom 30 og 40 & Bodø & Australia & kvinne & psykolog ---> FALSE
1/2;mellom 30 og 40 & Tromsø & kvinne ---> FALSE
1/2;politiker & kvinne & mellom 40 og 50 ---> FALSE
1/2;politiker & kvinne & mellom 50 og 60 ---> FALSE
