COUNT;EXTRACTED HORN RULES
10/10;sveiser & kvinne ---> FALSE
9/10;kvinne & rørlegger ---> FALSE
8/10;mellom 20 og 30 & politiker & kvinne ---> FALSE
7/10;elektriker & kvinne & mellom 50 og 60 ---> FALSE
7/10;elektriker & Nord Amerika & kvinne ---> FALSE
7/10;elektriker & Tromsø & kvinne ---> FALSE
7/10;mann & sykepleier ---> FALSE
5/10;elektriker & kvinne & mellom 40 og 50 ---> FALSE
5/10;frisør ---> kvinne
5/10;elektriker & Bodø & kvinne ---> FALSE
5/10;politiker & eldre enn 60 ---> mann
5/10;arkitekt & kvinne & eldre enn 60 ---> FALSE
5/10;arkitekt & kvinne & mellom 50 og 60 ---> FALSE
5/10;elektriker & Afrika & kvinne ---> FALSE
5/10;elektriker & kvinne & eldre enn 60 ---> FALSE
5/10;mellom 20 og 30 & arkitekt & kvinne ---> FALSE
5/10;politiker & kvinne & mellom 50 og 60 ---> FALSE
4/10;Sør Amerika & kvinne & mellom 40 og 50 ---> FALSE
4/10;politiker & mellom 30 og 40 & kvinne ---> FALSE
3/10;yngre enn 20 & Stavanger & Asia & kvinne & psykolog ---> FALSE
3/10;Oslo & kvinne & mellom 50 og 60 ---> FALSE
3/10;yngre enn 20 & Bodø & kvinne ---> FALSE
3/10;Bergen & kvinne & mellom 50 og 60 ---> frisør
3/10;Europa & psykolog ---> mann
3/10;Oslo & psykolog ---> Europa
3/10;Oslo & psykolog ---> mann
3/10;Oslo & psykolog ---> mellom 20 og 30
3/10;Stavanger & mellom 30 og 40 & kvinne ---> Afrika
3/10;Stavanger & mellom 30 og 40 & kvinne ---> sykepleier
3/10;Tromsø & psykolog ---> mann
3/10;Trondheim & kvinne & mellom 40 og 50 ---> sykepleier
3/10;Trondheim & kvinne & mellom 50 og 60 ---> Asia
3/10;Trondheim & kvinne & mellom 50 og 60 ---> sykepleier
3/10;mellom 20 og 30 & Afrika & kvinne ---> Bergen
3/10;mellom 20 og 30 & Afrika & kvinne ---> frisør
3/10;mellom 20 og 30 & Bergen & kvinne & psykolog ---> Sør Amerika
3/10;mellom 20 og 30 & Europa & kvinne ---> sykepleier
3/10;mellom 20 og 30 & Trondheim & kvinne ---> sykepleier
3/10;mellom 20 og 30 & Ålesund & kvinne ---> Asia
3/10;mellom 20 og 30 & Ålesund & kvinne ---> sykepleier
3/10;mellom 30 og 40 & Afrika & kvinne ---> Stavanger
3/10;mellom 30 og 40 & Afrika & kvinne ---> sykepleier
3/10;mellom 30 og 40 & Nord Amerika & kvinne ---> sykepleier
3/10;mellom 30 og 40 & Nord Amerika & kvinne ---> Ålesund
3/10;politiker & Asia ---> mann
3/10;politiker & eldre enn 60 ---> Stavanger
3/10;politiker & eldre enn 60 ---> Sør Amerika
3/10;yngre enn 20 & politiker ---> mann
3/10;Ålesund & mellom 30 og 40 & kvinne ---> sykepleier
3/10;Australia & kvinne & mellom 40 og 50 ---> FALSE
3/10;Bergen & Europa & mann & eldre enn 60 ---> FALSE
3/10;Kristiansand & Asia & kvinne & mellom 40 og 50 & psykolog ---> FALSE
3/10;Kristiansand & Europa ---> FALSE
3/10;Oslo & Afrika & kvinne & mellom 50 og 60 ---> FALSE
3/10;Oslo & Asia ---> FALSE
3/10;Oslo & kvinne & mellom 40 og 50 ---> FALSE
3/10;Tromsø & Australia & kvinne & mellom 50 og 60 ---> FALSE
3/10;Trondheim & mellom 30 og 40 & kvinne ---> FALSE
3/10;arkitekt & Kristiansand & Afrika & kvinne ---> FALSE
3/10;arkitekt & kvinne & mellom 40 og 50 ---> FALSE
3/10;elektriker & Asia & kvinne ---> FALSE
3/10;elektriker & Trondheim & Sør Amerika & kvinne ---> FALSE
3/10;mellom 20 og 30 & Bodø & Sør Amerika & kvinne ---> FALSE
3/10;mellom 30 og 40 & Bodø & kvinne & psykolog ---> FALSE
3/10;politiker & Oslo & Nord Amerika & kvinne ---> FALSE
3/10;yngre enn 20 & Stavanger & Sør Amerika & kvinne & psykolog ---> FALSE
3/10;yngre enn 20 & arkitekt & Bodø & kvinne ---> FALSE
