COUNT;EXTRACTED HORN RULES
10/10;kvinne & psykolog ---> FALSE
10/10;politiker & kvinne ---> FALSE
9/10;arkitekt & kvinne ---> FALSE
9/10;elektriker & kvinne ---> FALSE
9/10;kvinne & rørlegger ---> FALSE
8/10;sveiser & kvinne ---> FALSE
5/10;Australia & mann & sykepleier ---> FALSE
3/10;Bodø & kvinne ---> frisør
3/10;Kristiansand & Europa & mann & mellom 40 og 50 & frisør ---> FALSE
3/10;Afrika & kvinne & mellom 40 og 50 ---> Kristiansand
3/10;Afrika & kvinne & mellom 40 og 50 ---> sykepleier
3/10;Afrika & mann & sykepleier ---> yngre enn 20
3/10;Asia & mann & sykepleier ---> Stavanger
3/10;Asia & mann & sykepleier ---> eldre enn 60
3/10;Bergen & kvinne & mellom 50 og 60 ---> Europa
3/10;Bergen & kvinne & mellom 50 og 60 ---> frisør
3/10;Bodø & Sør Amerika ---> mann
3/10;Kristiansand & Nord Amerika ---> mann
3/10;Kristiansand & kvinne & mellom 40 og 50 ---> Afrika
3/10;Kristiansand & kvinne & mellom 40 og 50 ---> sykepleier
3/10;Nord Amerika & kvinne & mellom 40 og 50 ---> Bergen
3/10;Nord Amerika & kvinne & mellom 40 og 50 ---> sykepleier
3/10;Nord Amerika & mellom 50 og 60 ---> frisør
3/10;Nord Amerika & mellom 50 og 60 ---> kvinne
3/10;Nord Amerika & mellom 50 og 60 ---> Ålesund
3/10;Oslo & kvinne & mellom 50 og 60 & sykepleier ---> Afrika
3/10;Stavanger & mann & sykepleier ---> eldre enn 60
3/10;Tromsø & Sør Amerika ---> frisør
3/10;Tromsø & Sør Amerika ---> kvinne
3/10;Tromsø & Sør Amerika ---> mellom 40 og 50
3/10;eldre enn 60 & frisør ---> Bodø
3/10;eldre enn 60 & frisør ---> mann
3/10;mellom 20 og 30 & frisør ---> kvinne
3/10;Bergen & Asia & mann & mellom 50 og 60 & frisør ---> FALSE
3/10;Bergen & Australia & mann & frisør ---> FALSE
3/10;Europa & mann & sykepleier ---> FALSE
3/10;Kristiansand & Afrika & mann & frisør ---> FALSE
3/10;Kristiansand & mellom 30 og 40 & Australia & mann & frisør ---> FALSE
3/10;Oslo & Europa & mann & mellom 40 og 50 & frisør ---> FALSE
3/10;Tromsø & Asia & kvinne ---> FALSE
3/10;Tromsø & Australia & mann & mellom 50 og 60 & frisør ---> FALSE
3/10;mellom 20 og 30 & Bergen & Sør Amerika & kvinne ---> FALSE
3/10;mellom 20 og 30 & Stavanger & Nord Amerika & kvinne ---> FALSE
