COUNT;HORN RULES (filtered)
10/10;arkitekt & kvinne ---> FALSE
10/10;kvinne & rørlegger ---> FALSE
8/10;sveiser & kvinne ---> FALSE
8/10;politiker & kvinne ---> FALSE
7/10;kvinne & psykolog ---> FALSE
7/10;Ålesund & kvinne ---> sykepleier
7/10;elektriker & kvinne ---> FALSE
6/10;Asia & kvinne ---> sykepleier
5/10;Ålesund & kvinne ---> Australia
5/10;Ålesund & kvinne ---> eldre enn 60
5/10;kvinne & mellom 50 og 60 & frisør ---> FALSE
4/10;Bodø & kvinne ---> sykepleier
4/10;Kristiansand & kvinne ---> sykepleier
4/10;Tromsø & kvinne ---> sykepleier
4/10;mellom 30 og 40 & kvinne ---> sykepleier
4/10;yngre enn 20 & kvinne ---> sykepleier
4/10;Stavanger & Asia & mann & sykepleier ---> FALSE
3/10;Asia & sykepleier ---> kvinne
3/10;kvinne & mellom 50 og 60 ---> sykepleier
3/10;Afrika & kvinne ---> sykepleier
3/10;kvinne & eldre enn 60 ---> sykepleier
3/10;mellom 30 og 40 & kvinne ---> Bodø
3/10;Australia & frisør ---> mann
3/10;Europa & kvinne & eldre enn 60 ---> sykepleier
3/10;Kristiansand & kvinne & mellom 50 og 60 ---> Asia
3/10;Kristiansand & kvinne & mellom 50 og 60 ---> sykepleier
3/10;Nord Amerika & kvinne & mellom 40 og 50 ---> sykepleier
3/10;Nord Amerika & mann & sykepleier ---> mellom 30 og 40
3/10;Oslo & Afrika ---> mann
3/10;mellom 20 og 30 & Asia & mann & sykepleier ---> Bergen
3/10;mellom 20 og 30 & Tromsø & kvinne ---> Asia
3/10;mellom 20 og 30 & Tromsø & kvinne ---> sykepleier
3/10;mellom 20 og 30 & kvinne & sykepleier ---> Asia
3/10;mellom 30 og 40 & Europa & kvinne ---> Bodø
3/10;mellom 30 og 40 & Europa & kvinne ---> sykepleier
3/10;Ålesund & Sør Amerika & mann & sykepleier ---> mellom 20 og 30
3/10;Bergen & Australia & mann & sykepleier ---> FALSE
3/10;Bergen & kvinne & mellom 40 og 50 ---> FALSE
3/10;Bodø & Australia & kvinne & eldre enn 60 ---> FALSE
3/10;Bodø & Sør Amerika & kvinne ---> FALSE
3/10;Bodø & kvinne & mellom 50 og 60 ---> FALSE
3/10;Kristiansand & Afrika & kvinne & eldre enn 60 ---> FALSE
