COUNT;HORN RULES (filtered)
3/3;elektriker & kvinne ---> FALSE
3/3;kvinne & rørlegger ---> FALSE
3/3;mann & frisør ---> FALSE
3/3;politiker & kvinne ---> FALSE
2/3;mellom 20 og 30 & kvinne ---> frisør
2/3;mellom 30 og 40 & kvinne ---> frisør
2/3;yngre enn 20 & mann & psykolog ---> Oslo
2/3;yngre enn 20 & mann & psykolog ---> Sør Amerika
2/3;arkitekt & kvinne ---> FALSE
2/3;sveiser & kvinne ---> FALSE
1/3;Asia & kvinne ---> frisør
1/3;mellom 40 og 50 ---> mann
1/3;Ålesund & kvinne ---> frisør
1/3;Tromsø & Sør Amerika & kvinne & mellom 50 og 60 ---> FALSE
1/3;arkitekt & Bergen & Afrika & kvinne ---> FALSE
1/3;kvinne & sykepleier ---> FALSE
1/3;Stavanger & Nord Amerika & kvinne ---> frisør
1/3;Stavanger & Nord Amerika & kvinne ---> mellom 50 og 60
1/3;eldre enn 60 & psykolog ---> kvinne
1/3;kvinne & sykepleier ---> Afrika
1/3;kvinne & sykepleier ---> Trondheim
1/3;kvinne & sykepleier ---> mellom 40 og 50
1/3;mellom 30 og 40 & kvinne ---> Asia
1/3;mellom 30 og 40 & kvinne ---> Ålesund
1/3;mellom 30 og 40 & psykolog ---> mann
1/3;Stavanger & Sør Amerika & kvinne & psykolog ---> FALSE
1/3;kvinne & mellom 40 og 50 & psykolog ---> FALSE
1/3;Ålesund & Afrika & kvinne & mellom 50 og 60 ---> FALSE
1/3;Asia & kvinne ---> psykolog
1/3;Asia & kvinne ---> yngre enn 20
1/3;Asia & kvinne ---> Ålesund
1/3;Australia & psykolog ---> kvinne
1/3;Europa & kvinne ---> frisør
1/3;kvinne & mellom 40 og 50 ---> Afrika
1/3;Oslo & Australia & kvinne & eldre enn 60 & sykepleier ---> FALSE
1/3;Tromsø & Afrika & kvinne & mellom 50 og 60 ---> FALSE
1/3;mellom 30 og 40 & Bodø & kvinne & psykolog ---> FALSE
1/3;yngre enn 20 & Afrika & kvinne ---> FALSE
1/3;yngre enn 20 & Ålesund & Australia & kvinne ---> FALSE
