COUNT;EXTRACTED HORN RULES
10/10;elektriker & kvinne ---> FALSE
10/10;kvinne & rørlegger ---> FALSE
10/10;mann & frisør ---> FALSE
10/10;politiker & kvinne ---> FALSE
9/10;mellom 20 og 30 & kvinne ---> frisør
9/10;arkitekt & kvinne ---> FALSE
5/10;sveiser & kvinne ---> FALSE
5/10;Stavanger & kvinne ---> frisør
5/10;Ålesund & kvinne & sykepleier ---> FALSE
4/10;mellom 30 og 40 & kvinne ---> frisør
3/10;Afrika & kvinne & mellom 50 og 60 ---> Bodø
3/10;Afrika & kvinne & mellom 50 og 60 ---> frisør
3/10;Afrika & kvinne & sykepleier ---> yngre enn 20
3/10;Asia & kvinne & mellom 40 og 50 ---> Bodø
3/10;Asia & kvinne & mellom 40 og 50 ---> psykolog
3/10;Bergen & Australia & kvinne ---> frisør
3/10;Bergen & Australia & kvinne ---> mellom 20 og 30
3/10;Bodø & Europa ---> mann
3/10;Bodø & Europa ---> mellom 40 og 50
3/10;Bodø & Europa ---> psykolog
3/10;Kristiansand & kvinne & mellom 50 og 60 ---> Australia
3/10;Kristiansand & kvinne & mellom 50 og 60 ---> psykolog
3/10;Nord Amerika & kvinne & mellom 50 og 60 ---> frisør
3/10;Nord Amerika & kvinne & mellom 50 og 60 ---> Ålesund
3/10;Oslo & Australia & kvinne ---> frisør
3/10;Oslo & Nord Amerika & kvinne ---> psykolog
3/10;Oslo & kvinne & sykepleier ---> Afrika
3/10;Oslo & kvinne & sykepleier ---> yngre enn 20
3/10;Sør Amerika & kvinne ---> frisør
3/10;Tromsø & kvinne ---> frisør
3/10;Trondheim & mann & psykolog ---> mellom 30 og 40
3/10;yngre enn 20 & Australia & kvinne ---> Bodø
3/10;yngre enn 20 & Australia & kvinne ---> psykolog
3/10;yngre enn 20 & Ålesund & kvinne ---> Asia
3/10;yngre enn 20 & Ålesund & kvinne ---> psykolog
3/10;Ålesund & mellom 30 og 40 & kvinne ---> Asia
3/10;Ålesund & mellom 30 og 40 & kvinne ---> frisør
3/10;Afrika & kvinne & mellom 40 og 50 ---> FALSE
3/10;Bergen & kvinne & sykepleier ---> FALSE
3/10;Bergen & mellom 30 og 40 & kvinne ---> FALSE
3/10;Bodø & Australia & mann & mellom 40 og 50 & psykolog ---> FALSE
3/10;Bodø & kvinne & sykepleier ---> FALSE
3/10;Europa & kvinne & mellom 50 og 60 ---> FALSE
3/10;Kristiansand & Australia & kvinne & eldre enn 60 ---> FALSE
3/10;Kristiansand & Europa & kvinne ---> FALSE
3/10;Nord Amerika & kvinne & sykepleier ---> FALSE
3/10;Tromsø & mann & eldre enn 60 & psykolog ---> FALSE
3/10;Trondheim & Nord Amerika & kvinne & eldre enn 60 ---> FALSE
3/10;mellom 30 og 40 & kvinne & sykepleier ---> FALSE
3/10;yngre enn 20 & Bergen & Afrika & kvinne ---> FALSE
3/10;yngre enn 20 & Kristiansand & Asia & kvinne & sykepleier ---> FALSE
3/10;Ålesund & kvinne & eldre enn 60 ---> FALSE
2/10;yngre enn 20 & mann & psykolog ---> Oslo
2/10;yngre enn 20 & mann & psykolog ---> Sør Amerika
2/10;Asia & psykolog ---> Bodø
2/10;Asia & psykolog ---> kvinne
2/10;Bergen & kvinne ---> frisør
2/10;Europa & kvinne & mellom 40 og 50 ---> Kristiansand
2/10;Europa & kvinne & mellom 40 og 50 ---> psykolog
2/10;Kristiansand & kvinne ---> Europa
2/10;Kristiansand & kvinne ---> mellom 40 og 50
2/10;Kristiansand & kvinne ---> psykolog
2/10;Nord Amerika & kvinne & mellom 40 og 50 ---> Stavanger
2/10;Nord Amerika & kvinne & mellom 40 og 50 ---> frisør
2/10;Trondheim & Asia ---> mann
2/10;Trondheim & psykolog ---> kvinne
2/10;Trondheim & kvinne & mellom 50 og 60 & sykepleier ---> FALSE
2/10;mellom 30 og 40 & Bodø ---> FALSE
2/10;sveiser & Nord Amerika & kvinne ---> FALSE
2/10;sveiser & Ålesund & kvinne & eldre enn 60 ---> FALSE
2/10;yngre enn 20 & Bergen & Europa & mann & psykolog ---> FALSE
2/10;yngre enn 20 & Trondheim & Australia & kvinne ---> FALSE
2/10;Australia & kvinne & psykolog ---> Oslo
2/10;Australia & kvinne & psykolog ---> mellom 40 og 50
2/10;Bergen & Nord Amerika & kvinne ---> frisør
2/10;Oslo & Afrika ---> kvinne
2/10;Sør Amerika & kvinne & psykolog ---> Oslo
2/10;Tromsø & Asia & kvinne & mellom 50 og 60 ---> frisør
2/10;kvinne & sykepleier ---> Oslo
2/10;kvinne & sykepleier ---> eldre enn 60
2/10;sveiser & kvinne ---> Ålesund
2/10;yngre enn 20 & Trondheim & Asia & kvinne ---> psykolog
2/10;Bergen & Afrika & mann & psykolog ---> FALSE
2/10;Bodø & Afrika & mann & psykolog ---> FALSE
2/10;Oslo & Europa ---> FALSE
2/10;Stavanger & Afrika & kvinne & eldre enn 60 & sykepleier ---> FALSE
2/10;Trondheim & Sør Amerika & kvinne ---> FALSE
2/10;sveiser & Ålesund & Australia & mann ---> FALSE
2/10;Ålesund & Sør Amerika & kvinne ---> FALSE
1/10;Asia & kvinne ---> frisør
1/10;mellom 40 og 50 ---> mann
1/10;Ålesund & kvinne ---> frisør
1/10;Tromsø & Sør Amerika & kvinne & mellom 50 og 60 ---> FALSE
1/10;arkitekt & Bergen & Afrika & kvinne ---> FALSE
1/10;kvinne & sykepleier ---> FALSE
1/10;Stavanger & Nord Amerika & kvinne ---> frisør
1/10;Stavanger & Nord Amerika & kvinne ---> mellom 50 og 60
1/10;eldre enn 60 & psykolog ---> kvinne
