COUNT;HORN RULES (filtered)
1/1;Asia & kvinne & eldre enn 60 ---> frisør
1/1;Kristiansand & mellom 50 og 60 ---> kvinne
1/1;Oslo & Asia & kvinne ---> eldre enn 60
1/1;Oslo & Asia & kvinne ---> frisør
1/1;Oslo & Nord Amerika & kvinne ---> frisør
1/1;Stavanger & Sør Amerika & kvinne ---> psykolog
1/1;Stavanger & Sør Amerika & kvinne ---> yngre enn 20
1/1;Stavanger & mellom 30 og 40 & Nord Amerika & kvinne ---> sykepleier
1/1;Trondheim & Afrika ---> mann
1/1;Trondheim & Afrika ---> mellom 20 og 30
1/1;Trondheim & Afrika ---> sveiser
1/1;Trondheim & Asia & kvinne ---> frisør
1/1;Trondheim & Asia & kvinne ---> yngre enn 20
1/1;Trondheim & kvinne & mellom 50 og 60 ---> psykolog
1/1;frisør ---> kvinne
1/1;mellom 20 og 30 & mann & psykolog ---> Asia
1/1;mellom 20 og 30 & mann & psykolog ---> Stavanger
1/1;Ålesund & Sør Amerika ---> eldre enn 60
1/1;Ålesund & Sør Amerika ---> frisør
1/1;Ålesund & Sør Amerika ---> kvinne
1/1;Ålesund & psykolog ---> Australia
1/1;Ålesund & psykolog ---> mann
1/1;Afrika & mann & psykolog ---> FALSE
1/1;Bergen & Afrika & kvinne & eldre enn 60 ---> FALSE
1/1;Bodø & Australia & kvinne & mellom 50 og 60 ---> FALSE
1/1;Bodø & Europa & kvinne ---> FALSE
1/1;Bodø & Nord Amerika & mann & psykolog ---> FALSE
1/1;Bodø & Sør Amerika & kvinne & eldre enn 60 & psykolog ---> FALSE
1/1;Sør Amerika & mann & mellom 40 og 50 ---> FALSE
1/1;Sør Amerika & mann & psykolog ---> FALSE
1/1;Tromsø & Afrika & kvinne & mellom 50 og 60 ---> FALSE
1/1;Tromsø & kvinne & mellom 40 og 50 ---> FALSE
1/1;Trondheim & Nord Amerika & kvinne & mellom 40 og 50 ---> FALSE
1/1;elektriker & kvinne ---> FALSE
1/1;kvinne & rørlegger ---> FALSE
1/1;mann & mellom 40 og 50 & psykolog ---> FALSE
1/1;mann & sykepleier ---> FALSE
1/1;mellom 20 og 30 & Bodø & Afrika & kvinne ---> FALSE
1/1;mellom 30 og 40 & Europa ---> FALSE
1/1;mellom 30 og 40 & mann & psykolog ---> FALSE
1/1;politiker & Bergen & kvinne ---> FALSE
1/1;politiker & Bodø & kvinne ---> FALSE
1/1;politiker & Kristiansand & kvinne ---> FALSE
1/1;politiker & Oslo & kvinne ---> FALSE
1/1;politiker & Stavanger & kvinne ---> FALSE
1/1;politiker & Tromsø & kvinne ---> FALSE
1/1;politiker & Ålesund & kvinne ---> FALSE
1/1;sveiser & kvinne ---> FALSE
1/1;yngre enn 20 & Nord Amerika & kvinne ---> FALSE
