COUNT;EXTRACTED HORN RULES
8/10;kvinne & rørlegger ---> Afrika
8/10;kvinne & rørlegger ---> Asia
8/10;kvinne & rørlegger ---> Australia
8/10;kvinne & rørlegger ---> Bergen
8/10;kvinne & rørlegger ---> Bodø
8/10;kvinne & rørlegger ---> Europa
8/10;kvinne & rørlegger ---> Kristiansand
8/10;kvinne & rørlegger ---> Nord Amerika
8/10;kvinne & rørlegger ---> Oslo
8/10;kvinne & rørlegger ---> Stavanger
8/10;kvinne & rørlegger ---> Sør Amerika
8/10;kvinne & rørlegger ---> Tromsø
8/10;kvinne & rørlegger ---> Trondheim
8/10;kvinne & rørlegger ---> arkitekt
8/10;kvinne & rørlegger ---> eldre enn 60
8/10;kvinne & rørlegger ---> elektriker
8/10;kvinne & rørlegger ---> frisør
8/10;kvinne & rørlegger ---> mann
8/10;kvinne & rørlegger ---> mellom 20 og 30
8/10;kvinne & rørlegger ---> mellom 30 og 40
8/10;kvinne & rørlegger ---> mellom 40 og 50
8/10;kvinne & rørlegger ---> mellom 50 og 60
8/10;kvinne & rørlegger ---> politiker
8/10;kvinne & rørlegger ---> psykolog
8/10;kvinne & rørlegger ---> sveiser
8/10;kvinne & rørlegger ---> sykepleier
8/10;kvinne & rørlegger ---> yngre enn 20
8/10;kvinne & rørlegger ---> Ålesund
8/10;not (kvinne & rørlegger)
8/10;kvinne & psykolog ---> Afrika
8/10;kvinne & psykolog ---> Asia
8/10;kvinne & psykolog ---> Australia
8/10;kvinne & psykolog ---> Bergen
8/10;kvinne & psykolog ---> Bodø
8/10;kvinne & psykolog ---> Europa
8/10;kvinne & psykolog ---> Kristiansand
8/10;kvinne & psykolog ---> Nord Amerika
8/10;kvinne & psykolog ---> Oslo
8/10;kvinne & psykolog ---> Stavanger
8/10;kvinne & psykolog ---> Sør Amerika
8/10;kvinne & psykolog ---> Tromsø
8/10;kvinne & psykolog ---> Trondheim
8/10;kvinne & psykolog ---> arkitekt
8/10;kvinne & psykolog ---> eldre enn 60
8/10;kvinne & psykolog ---> elektriker
8/10;kvinne & psykolog ---> frisør
8/10;kvinne & psykolog ---> mann
8/10;kvinne & psykolog ---> mellom 20 og 30
8/10;kvinne & psykolog ---> mellom 30 og 40
8/10;kvinne & psykolog ---> mellom 40 og 50
8/10;kvinne & psykolog ---> mellom 50 og 60
8/10;kvinne & psykolog ---> politiker
8/10;kvinne & psykolog ---> rørlegger
8/10;kvinne & psykolog ---> sveiser
8/10;kvinne & psykolog ---> sykepleier
8/10;kvinne & psykolog ---> yngre enn 20
8/10;kvinne & psykolog ---> Ålesund
8/10;not (kvinne & psykolog)
8/10;not (politiker & kvinne)
8/10;politiker & kvinne ---> Afrika
8/10;politiker & kvinne ---> Asia
8/10;politiker & kvinne ---> Australia
8/10;politiker & kvinne ---> Bergen
8/10;politiker & kvinne ---> Bodø
8/10;politiker & kvinne ---> Europa
8/10;politiker & kvinne ---> Kristiansand
8/10;politiker & kvinne ---> Nord Amerika
8/10;politiker & kvinne ---> Oslo
8/10;politiker & kvinne ---> Stavanger
8/10;politiker & kvinne ---> Sør Amerika
8/10;politiker & kvinne ---> Tromsø
8/10;politiker & kvinne ---> Trondheim
8/10;politiker & kvinne ---> arkitekt
8/10;politiker & kvinne ---> eldre enn 60
8/10;politiker & kvinne ---> elektriker
8/10;politiker & kvinne ---> frisør
8/10;politiker & kvinne ---> mann
8/10;politiker & kvinne ---> mellom 20 og 30
8/10;politiker & kvinne ---> mellom 30 og 40
