ITERATION,LEN(HYP),SAMPLENR,RUNTIME
1,114,3,1.455
2,117,4,1.863
3,91,8,2.938
4,92,7,2.586
5,88,1,0.627
6,87,3,0.989
7,114,3,2.388
8,90,6,2.935
9,91,1,1.306
10,88,23,6.59
11,114,1,1.779
12,115,7,4.208
13,117,2,2.274
14,88,6,3.116
15,114,2,2.041
16,142,3,2.97
17,168,1,3.138
18,171,1,4.074
19,198,5,5.396
20,224,2,5.447
21,252,5,8.194
22,279,2,7.893
23,282,3,9.401
24,311,3,10.265
25,288,7,12.734
26,287,2,7.728
27,289,4,11.491
28,316,2,11.695
29,317,1,11.375
30,263,15,15.943
31,264,9,14.151
32,266,11,14.922
33,240,1,6.801
34,213,1,6.464
35,187,8,7.967
36,186,5,6.879
37,184,1,4.765
38,211,10,13.054
39,209,19,13.071
40,208,9,8.723
41,211,3,10.962
42,238,5,12.592
43,212,1,5.874
44,209,6,7.853
45,208,2,10.73
46,209,2,10.741
47,182,2,9.786
48,183,4,10.614
49,179,2,4.944
50,181,4,10.349
51,206,1,9.269
52,234,9,14.757
53,207,3,11.63
54,211,2,11.063
55,238,5,12.776
56,212,3,7.412
57,209,2,6.166
58,208,1,6.127
59,236,6,14.424
60,209,3,13.553
61,236,21,21.697
62,237,22,23.457
63,214,2,13.909
64,215,7,15.41
65,210,4,7.439
66,208,9,9.222
67,206,5,6.808
68,233,4,13.594
69,209,8,15.392
70,236,10,17.715
71,237,19,22.659
72,263,7,18.241
73,239,5,17.083
74,267,13,21.874
75,268,11,21.944
76,294,5,19.941
77,295,2,19.025
78,294,2,18.781
79,297,2,17.682
80,323,6,22.325
81,321,1,10.727
82,296,1,18.224
83,297,18,25.763
84,295,34,25.172
85,321,8,21.948
86,349,6,23.382
87,352,11,27.88
88,355,5,24.436
89,382,8,27.808
90,357,1,24.764
91,383,25,38.753
92,382,2,26.551
93,383,8,29.111
94,380,9,18.591
95,379,12,31.614
96,380,7,28.266
97,378,15,22.374
98,380,24,38.741
99,406,8,31.852
100,433,3,32.196
