EXTRACTED HORN RULES
not (mekaniker & sveiser)
not (Trondheim & Bodø)
not (elektriker & adjunkt)
not (mellom 30 og 40 & eldre enn 60)
not (Oslo & Kristiansand)
not (Oslo & Ålesund)
not (Sør Amerika & Australia)
not (mellom 20 og 30 & mellom 30 og 40)
not (Bergen & Ålesund)
not (Afrika & Nord Amerika)
not (yngre enn 20 & mellom 40 og 50)
not (mellom 40 og 50 & mellom 50 og 60)
not (betongfagarbeider & sykepleier)
not (yngre enn 20 & mellom 50 og 60)
not (Asia & Afrika)
not (kvinne & mann)
not (betongfagarbeider & helsefagarbeider)
not (sykepleier & helsefagarbeider)
not (mellom 30 og 40 & mellom 40 og 50)
not (Ålesund & Tromsø)
not (Nord Amerika & Australia)
not (Kristiansand & Bergen)
not (elektriker & sveiser)
not (Oslo & Stavanger)
elektriker
not (adjunkt & barnehagelærer)
not (mellom 50 og 60 & eldre enn 60)
mann
not (betongfagarbeider & barnehagelærer)
not (Asia & Nord Amerika)
not (sykepleier & barnehagelærer)
not (Ålesund & Bodø)
not (mekaniker & sykepleier)
not (sykepleier & adjunkt)
not (elektriker & betongfagarbeider)
not (mellom 30 og 40 & mellom 50 og 60)
not (Trondheim & Tromsø)
not (Afrika & Europa)
not (mellom 20 og 30 & eldre enn 60)
not (Kristiansand & Tromsø)
Asia
not (Stavanger & Tromsø)
not (Nord Amerika & Sør Amerika)
not (Afrika & Sør Amerika)
not (Bodø & Tromsø)
not (helsefagarbeider & adjunkt)
not (Europa & Australia)
not (Kristiansand & Ålesund)
not (mekaniker & barnehagelærer)
not (mekaniker & helsefagarbeider)
not (Afrika & Australia)
not (sveiser & sykepleier)
not (Stavanger & Bodø)
not (yngre enn 20 & mellom 30 og 40)
not (mellom 20 og 30 & mellom 40 og 50)
not (Stavanger & Bergen)
not (betongfagarbeider & sveiser)
not (Asia & Europa)
not (Oslo & Tromsø)
not (elektriker & sykepleier)
not (Bergen & Tromsø)
not (Ålesund & Trondheim)
not (mekaniker & betongfagarbeider)
not (Kristiansand & Bodø)
not (yngre enn 20 & mellom 20 og 30)
not (Kristiansand & Stavanger)
not (Stavanger & Trondheim)
not (mellom 40 og 50 & eldre enn 60)
not (sveiser & helsefagarbeider)
not (Oslo & Bodø)
not (mekaniker & adjunkt)
not (Sør Amerika & Europa)
not (yngre enn 20 & eldre enn 60)
not (Bergen & Bodø)
not (mekaniker & elektriker)
not (mellom 20 og 30 & mellom 50 og 60)
not (Oslo & Bergen)
not (elektriker & helsefagarbeider)
not (betongfagarbeider & adjunkt)
not (Kristiansand & Trondheim)
not (Asia & Sør Amerika)
not (sveiser & barnehagelærer)
not (Stavanger & Ålesund)
not (helsefagarbeider & barnehagelærer)
not (Asia & Australia)
not (Oslo & Trondheim)
not (Nord Amerika & Europa)
not (elektriker & barnehagelærer)
not (Bergen & Trondheim)
not (sveiser & adjunkt)
