EXTRACTED HORN RULES
not (mekaniker & barnehagelærer)
not (Ålesund & Bodø)
not (Bergen & Bodø)
not (Bergen & Ålesund)
not (Oslo & Trondheim)
not (mellom 30 og 40 & mellom 50 og 60)
not (Sør Amerika & Europa)
not (elektriker & helsefagarbeider)
not (Sør Amerika & Australia)
not (betongfagarbeider & helsefagarbeider)
not (elektriker & barnehagelærer)
not (Stavanger & Bodø)
not (Stavanger & Trondheim)
not (betongfagarbeider & barnehagelærer)
not (Ålesund & Trondheim)
not (Oslo & Tromsø)
not (Oslo & Bergen)
not (yngre enn 20 & mellom 30 og 40)
not (elektriker & sykepleier)
not (Asia & Sør Amerika)
not (Bodø & Tromsø)
not (Ålesund & Tromsø)
not (betongfagarbeider & sveiser)
not (mekaniker & elektriker)
not (Oslo & Kristiansand)
not (Trondheim & Bodø)
not (yngre enn 20 & mellom 50 og 60)
not (helsefagarbeider & barnehagelærer)
not (yngre enn 20 & eldre enn 60)
not (Afrika & Nord Amerika)
not (mellom 20 og 30 & mellom 30 og 40)
not (mellom 40 og 50 & eldre enn 60)
not (Oslo & Stavanger)
not (Nord Amerika & Sør Amerika)
not (Oslo & Bodø)
not (sveiser & helsefagarbeider)
not (Stavanger & Ålesund)
not (Stavanger & Tromsø)
not (betongfagarbeider & sykepleier)
not (Kristiansand & Trondheim)
not (sveiser & adjunkt)
not (Kristiansand & Bodø)
not (Nord Amerika & Australia)
not (mellom 40 og 50 & mellom 50 og 60)
not (adjunkt & barnehagelærer)
mann
not (sveiser & sykepleier)
not (mellom 20 og 30 & eldre enn 60)
not (Asia & Afrika)
not (Europa & Australia)
not (yngre enn 20 & mellom 40 og 50)
not (Trondheim & Tromsø)
not (Kristiansand & Bergen)
not (elektriker & betongfagarbeider)
not (Oslo & Ålesund)
not (mellom 20 og 30 & mellom 50 og 60)
not (mekaniker & adjunkt)
not (Afrika & Europa)
not (Asia & Europa)
not (Afrika & Australia)
not (Asia & Australia)
not (Kristiansand & Ålesund)
not (sykepleier & helsefagarbeider)
not (Kristiansand & Tromsø)
not (mekaniker & sykepleier)
not (sykepleier & barnehagelærer)
not (Bergen & Tromsø)
not (mellom 50 og 60 & eldre enn 60)
not (mekaniker & sveiser)
not (Afrika & Sør Amerika)
not (elektriker & sveiser)
not (Nord Amerika & Europa)
not (elektriker & adjunkt)
not (yngre enn 20 & mellom 20 og 30)
not (sveiser & barnehagelærer)
not (betongfagarbeider & adjunkt)
not (kvinne & mann)
not (Asia & Nord Amerika)
not (mellom 30 og 40 & mellom 40 og 50)
not (sykepleier & adjunkt)
not (mellom 20 og 30 & mellom 40 og 50)
not (Kristiansand & Stavanger)
not (mekaniker & betongfagarbeider)
not (mekaniker & helsefagarbeider)
not (Bergen & Trondheim)
not (helsefagarbeider & adjunkt)
not (Stavanger & Bergen)
not (mellom 30 og 40 & eldre enn 60)
