EXTRACTED HORN RULES
not (sykepleier & helsefagarbeider)
not (Asia & Afrika)
not (Nord Amerika & Europa)
not (Nord Amerika & Australia)
not (Ålesund & Bodø)
not (elektriker & sveiser)
not (mellom 30 og 40 & mellom 50 og 60)
not (Stavanger & Bergen)
not (betongfagarbeider & sveiser)
not (Oslo & Trondheim)
not (Oslo & Tromsø)
not (Ålesund & Tromsø)
not (Ålesund & Trondheim)
not (helsefagarbeider & barnehagelærer)
not (Asia & Sør Amerika)
not (Bergen & Ålesund)
not (yngre enn 20 & mellom 40 og 50)
not (mellom 20 og 30 & mellom 30 og 40)
not (Bodø & Tromsø)
not (helsefagarbeider & adjunkt)
not (adjunkt & barnehagelærer)
not (mellom 40 og 50 & mellom 50 og 60)
not (Stavanger & Tromsø)
not (elektriker & sykepleier)
not (Sør Amerika & Europa)
not (Trondheim & Tromsø)
not (Bergen & Trondheim)
not (sveiser & helsefagarbeider)
not (mellom 30 og 40 & mellom 40 og 50)
not (yngre enn 20 & mellom 20 og 30)
not (mekaniker & helsefagarbeider)
not (mekaniker & betongfagarbeider)
not (elektriker & barnehagelærer)
not (kvinne & mann)
not (betongfagarbeider & barnehagelærer)
not (Kristiansand & Ålesund)
not (Stavanger & Ålesund)
not (betongfagarbeider & sykepleier)
not (elektriker & adjunkt)
not (betongfagarbeider & adjunkt)
not (Bergen & Tromsø)
not (Oslo & Kristiansand)
not (Stavanger & Bodø)
not (mekaniker & sveiser)
not (sykepleier & barnehagelærer)
not (Oslo & Bodø)
not (mellom 30 og 40 & eldre enn 60)
not (Trondheim & Bodø)
not (yngre enn 20 & eldre enn 60)
not (Kristiansand & Bergen)
not (Stavanger & Trondheim)
not (Kristiansand & Stavanger)
not (sykepleier & adjunkt)
not (mellom 20 og 30 & mellom 40 og 50)
not (Europa & Australia)
not (Asia & Europa)
not (Asia & Australia)
not (Kristiansand & Trondheim)
not (Kristiansand & Tromsø)
not (Bergen & Bodø)
not (Afrika & Europa)
not (Afrika & Sør Amerika)
not (mekaniker & sykepleier)
not (elektriker & helsefagarbeider)
not (Afrika & Australia)
not (Sør Amerika & Australia)
not (sveiser & barnehagelærer)
not (mellom 20 og 30 & eldre enn 60)
not (Oslo & Ålesund)
not (mekaniker & barnehagelærer)
not (sveiser & sykepleier)
not (Asia & Nord Amerika)
not (mellom 40 og 50 & eldre enn 60)
not (sveiser & adjunkt)
not (mellom 50 og 60 & eldre enn 60)
not (mekaniker & elektriker)
not (mellom 20 og 30 & mellom 50 og 60)
not (Afrika & Nord Amerika)
not (mekaniker & adjunkt)
not (betongfagarbeider & helsefagarbeider)
not (yngre enn 20 & mellom 30 og 40)
not (elektriker & betongfagarbeider)
not (yngre enn 20 & mellom 50 og 60)
not (Oslo & Bergen)
not (Oslo & Stavanger)
not (Kristiansand & Bodø)
mellom 40 og 50
not (Nord Amerika & Sør Amerika)
