EXTRACTED HORN RULES
not (elektriker & betongfagarbeider)
not (Bodø & Tromsø)
not (Kristiansand & Bergen)
not (mekaniker & adjunkt)
not (Bergen & Bodø)
not (mekaniker & elektriker)
not (sveiser & sykepleier)
not (Europa & Australia)
not (Stavanger & Ålesund)
not (Bergen & Trondheim)
not (helsefagarbeider & adjunkt)
not (betongfagarbeider & sveiser)
not (Oslo & Bodø)
not (Bergen & Tromsø)
not (Asia & Sør Amerika)
not (Nord Amerika & Europa)
not (yngre enn 20 & eldre enn 60)
not (Afrika & Australia)
not (Kristiansand & Ålesund)
not (betongfagarbeider & barnehagelærer)
not (elektriker & sveiser)
mellom 30 og 40
not (Oslo & Trondheim)
not (betongfagarbeider & adjunkt)
not (Sør Amerika & Australia)
not (Oslo & Stavanger)
not (mekaniker & helsefagarbeider)
not (Oslo & Tromsø)
not (Afrika & Nord Amerika)
not (Stavanger & Trondheim)
not (mekaniker & betongfagarbeider)
not (adjunkt & barnehagelærer)
not (mellom 30 og 40 & mellom 50 og 60)
not (betongfagarbeider & helsefagarbeider)
not (mellom 40 og 50 & mellom 50 og 60)
not (kvinne & mann)
Sør Amerika
not (sykepleier & adjunkt)
not (elektriker & adjunkt)
not (yngre enn 20 & mellom 40 og 50)
not (Stavanger & Tromsø)
not (mekaniker & sykepleier)
not (Stavanger & Bodø)
not (Kristiansand & Trondheim)
not (mellom 20 og 30 & mellom 40 og 50)
not (Ålesund & Trondheim)
not (betongfagarbeider & sykepleier)
not (Nord Amerika & Sør Amerika)
not (Kristiansand & Stavanger)
not (Kristiansand & Tromsø)
not (Asia & Europa)
not (Stavanger & Bergen)
not (Kristiansand & Bodø)
not (yngre enn 20 & mellom 50 og 60)
not (Oslo & Kristiansand)
barnehagelærer
not (Ålesund & Bodø)
not (Asia & Afrika)
not (Afrika & Sør Amerika)
not (mellom 20 og 30 & mellom 50 og 60)
not (mellom 30 og 40 & eldre enn 60)
not (Nord Amerika & Australia)
not (helsefagarbeider & barnehagelærer)
not (mekaniker & sveiser)
not (Ålesund & Tromsø)
not (yngre enn 20 & mellom 30 og 40)
not (Asia & Australia)
not (Trondheim & Bodø)
not (sveiser & barnehagelærer)
not (mellom 20 og 30 & mellom 30 og 40)
not (yngre enn 20 & mellom 20 og 30)
not (sykepleier & barnehagelærer)
not (elektriker & barnehagelærer)
not (Trondheim & Tromsø)
not (mellom 20 og 30 & eldre enn 60)
not (Afrika & Europa)
not (sykepleier & helsefagarbeider)
not (elektriker & helsefagarbeider)
not (Oslo & Bergen)
not (mellom 40 og 50 & eldre enn 60)
not (Bergen & Ålesund)
not (sveiser & adjunkt)
not (Asia & Nord Amerika)
not (sveiser & helsefagarbeider)
mann
not (elektriker & sykepleier)
not (mellom 50 og 60 & eldre enn 60)
not (mekaniker & barnehagelærer)
not (mellom 30 og 40 & mellom 40 og 50)
not (Oslo & Ålesund)
not (Sør Amerika & Europa)
