Occupations;female;male
Kokk;40,8;59,2
Advokat;49;51
Advokatsekretær;95,5;4,5
AFIS-fullmektig;24,5;75,5
Agronom;39,2;60,8
Aksjemegler;31,6;68,4
Aktivitør;64,3;35,7
Aktuar;29,4;70,6
Grunnskolelærer;75,4;24,6
Ambulansearbeider;41,6;58,4
Anleggsgartner;19,6;80,4
Anleggsmaskinfører;2;98
Apoteker;67,2;32,8
Apotektekniker;95,6;4,4
Arkeolog;70,6;29,4
Arkitekt;50,4;49,6
Arkivar;71;29
Art director;43,7;56,3
Personlig assistent;73,4;26,6
Astronom;21,5;78,5
Audiograf;72,5;27,5
Automatiker;5,4;94,6
Avioniker;5,4;94,6
Badevakt;49,4;50,6
Baker;43,7;56,3
Barne- og ungdomsarbeider;81,5;18,5
Barnehageassistent;84,9;15,1
Barnevernspedagog;86,2;13,8
Bartender;53,3;46,7
Bibliotekar;79,2;20,8
Billakkerer;7,9;92,1
Bilmekaniker (lette kjøretøy);1,9;98,1
Bilselger;5,7;94,3
Bioingeniør;82,9;17,1
Biokjemiker;51,6;48,4
Biolog;48,6;51,4
Bioteknolog;60;40
Blikkenslager;1,4;98,6
Blomsterdekoratør;95,9;4,1
Brannkonstabel;5,2;94,8
Brønnoperatør;3,5;96,5
Bussjåfør;7,2;92,8
Butikkmedarbeider;62,9;37,1
Ferskvarehandler;52,9;47,1
Dansepedagog;87,7;12,3
Danser;64,4;35,6
Dataingeniør;18,1;81,9
Diakon;84,4;15,6
Dirigent;49,7;50,3
Dommer;47,9;52,1
Dykker;2,4;97,6
Dyrepleier;94,6;5,4
Tegnspråktolk;93,3;6,7
Eiendomsmegler;33,5;66,5
Elektriker;2,6;97,4
Elektroingeniør;10,8;89,2
Energimontør;3,2;96,8
Ergoterapeut;88,6;11,4
Klinisk ernæringsfysiolog;95,2;4,8
Faglærer;49,2;50,8
Provisorfarmasøyt;81,6;18,4
Brannforebygger;11,4;88,6
Fengselsbetjent;41,9;58,1
Fagoperatør akvakultur (fiskeoppdretter);17,2;82,8
Flygeleder;24,3;75,7
Flymotormekaniker;5,4;94,6
Forfatter;55,7;44,3
Forsikringsrådgiver;47,5;52,5
Forsker;46,4;53,6
Fotballspiller;12,3;87,7
Fotballtrener;11,9;88,1
Fotograf;33,4;66,6
Fotojournalist;21,8;78,2
Fotterapeut;95,4;4,6
Frisør;88,8;11,2
