RUN;RUNTIME
xlmRBase_i100_r0;24.770
xlmRBase_i100_r1;15.047
xlmRBase_i100_r2;21.572
xlmRBase_i200_r0;37.831
xlmRBase_i200_r1;25.644
xlmRBase_i300_r0;67.781
xlmRLarge_i100_r0;15.623
xlmRLarge_i100_r1;14.004
xlmRLarge_i100_r2;16.062
xlmRLarge_i200_r0;27.626
xlmRLarge_i200_r1;40.841
xlmRLarge_i300_r0;89.157
mBertUncased_i100_r0;14.102
mBertUncased_i100_r1;14.766
mBertUncased_i100_r2;13.226
mBertUncased_i200_r0;40.371
mBertUncased_i200_r1;29.469
mBertUncased_i300_r0;37.053
mBertCased_i100_r0;14.900
mBertCased_i100_r1;5.496
mBertCased_i100_r2;5.040
mBertCased_i200_r0;30.900
mBertCased_i200_r1;32.027
mBertCased_i300_r0;50.723
nbBertBase_i100_r0;13.388
nbBertBase_i100_r1;19.888
nbBertBase_i100_r2;17.648
nbBertBase_i200_r0;49.028
nbBertBase_i200_r1;35.591
nbBertBase_i300_r0;26.138
nbBertLarge_i100_r0;9.446
nbBertLarge_i100_r1;16.817
nbBertLarge_i100_r2;23.090
nbBertLarge_i200_r0;51.718
nbBertLarge_i200_r1;44.821
nbBertLarge_i300_r0;44.394
norbert_i100_r0;15.802
norbert_i100_r1;4.249
norbert_i100_r2;19.970
norbert_i200_r0;37.254
norbert_i200_r1;15.664
norbert_i300_r0;57.911
norbert2_i100_r0;9.737
norbert2_i100_r1;14.250
norbert2_i100_r2;23.546
norbert2_i200_r0;42.236
norbert2_i200_r1;21.677
norbert2_i300_r0;26.432
