ITERATION;LEN(HYP);SAMPLENR;RUNTIME(sample)
1;88;1;0.943
2;116;1;1.163
3;118;1;0.940
4;92;1;0.529
5;89;1;0.777
6;88;2;1.208
7;88;4;2.543
8;102;2;1.977
9;103;2;1.949
10;123;1;1.926
11;131;2;2.510
12;137;2;2.657
13;111;1;1.302
14;108;1;1.132
15;109;1;1.811
16;110;2;2.601
17;111;3;2.941
18;112;2;2.711
19;124;1;2.679
20;132;1;2.818
21;152;2;3.545
22;165;4;4.723
23;166;1;3.611
24;168;1;4.122
25;190;1;4.200
26;191;2;4.864
27;200;5;6.720
28;214;2;5.915
29;222;2;6.264
30;237;4;7.667
31;217;3;5.453
32;215;9;8.396
33;195;10;8.555
34;194;2;4.317
35;190;1;3.530
36;204;3;7.291
37;211;5;8.527
38;212;3;7.646
39;220;7;10.262
40;242;2;8.234
41;249;2;8.654
42;250;4;10.084
43;230;3;6.511
44;238;2;9.294
45;240;5;11.147
46;256;2;9.758
47;217;2;5.735
48;216;3;10.178
49;238;1;9.100
50;217;12;11.174
51;218;4;10.736
52;199;1;9.262
53;198;4;10.020
54;195;2;4.775
55;204;3;9.741
56;201;3;5.702
57;199;1;4.705
58;205;1;9.170
59;215;9;13.837
60;212;4;6.204
61;225;1;9.077
62;205;1;4.515
63;186;1;4.214
64;183;3;5.009
65;170;1;8.828
66;170;20;18.311
67;177;1;8.867
68;178;1;8.942
69;167;9;13.073
70;169;6;11.644
71;163;1;9.349
72;144;2;9.498
73;144;1;8.967
74;143;4;10.021
75;142;5;5.528
76;143;2;8.781
77;158;4;10.487
78;157;1;4.141
79;155;5;10.906
80;156;3;9.470
81;158;1;9.281
82;157;6;6.153
83;158;7;12.197
84;164;9;13.099
85;165;1;9.768
86;164;3;4.764
87;161;2;3.985
88;156;5;5.171
89;165;3;8.993
90;156;2;8.623
91;171;7;11.046
92;172;2;9.210
93;173;2;8.950
94;180;5;11.117
95;188;4;11.074
96;202;1;10.196
97;211;1;11.298
98;211;2;12.325
99;196;1;10.508
100;194;1;4.039
101;194;1;10.112
102;193;7;6.858
103;202;5;11.576
104;194;1;10.060
105;195;2;10.266
106;189;5;12.042
107;171;2;4.286
108;187;1;10.358
109;200;5;13.464
110;209;7;14.758
111;192;2;12.320
112;207;1;11.585
113;208;2;12.506
114;195;1;4.860
115;188;6;14.477
116;175;7;14.635
117;173;2;4.828
118;171;3;12.014
119;159;1;9.958
120;176;1;10.783
121;175;2;4.687
122;195;2;12.378
123;194;3;12.864
124;193;5;6.301
125;200;1;11.783
126;207;3;13.617
127;192;2;12.468
128;189;1;4.157
129;184;2;11.409
130;183;3;11.594
131;184;5;12.632
132;182;5;12.951
133;183;6;13.010
134;181;5;5.800
135;188;16;18.559
136;187;3;5.227
137;186;8;7.519
138;202;3;12.901
139;211;1;12.393
140;220;5;15.597
141;206;5;7.045
142;200;1;13.323
143;192;3;14.534
144;191;2;5.058
145;192;3;14.875
146;193;4;15.898
147;192;1;13.729
148;193;1;13.471
149;194;1;14.658
150;193;1;5.385
151;192;4;6.627
152;194;1;13.743
153;195;2;14.588
154;210;5;17.000
155;195;3;6.808
156;205;13;21.752
157;204;4;7.286
158;205;4;17.738
159;183;9;18.782
160;199;1;15.193
161;200;9;20.430
162;200;5;17.949
163;200;2;16.486
164;202;1;16.164
165;203;1;16.960
166;204;3;17.593
167;205;3;18.788
168;203;2;17.500
169;218;3;18.125
170;219;5;19.684
171;228;3;20.520
172;226;1;6.970
173;233;5;22.623
174;242;2;20.458
175;244;13;27.684
176;245;1;22.100
177;246;7;25.934
178;253;1;23.766
179;262;3;23.449
180;248;1;9.214
181;260;2;24.309
182;269;8;27.548
183;276;3;28.483
184;290;3;27.610
185;288;4;13.087
186;304;4;28.937
187;312;8;31.962
188;319;2;32.103
189;306;6;15.532
190;291;5;14.304
191;290;2;29.485
192;296;4;30.688
193;289;10;33.526
194;295;9;34.642
195;311;10;34.276
196;310;3;32.151
197;306;2;29.701
198;313;1;31.779
199;306;5;31.936
200;307;3;30.900
