ITERATION;LEN(HYP);SAMPLENR;RUNTIME(sample)
1;88;1;0.903
2;116;1;1.182
3;91;2;1.354
4;87;1;0.803
5;94;2;1.539
6;95;2;2.030
7;94;1;1.004
8;95;2;1.857
9;102;1;1.685
10;98;1;1.969
11;120;2;2.516
12;115;1;2.159
13;122;3;2.974
14;138;4;3.754
15;145;6;4.797
16;126;1;1.841
17;127;2;3.204
18;107;1;1.705
19;116;3;3.674
20;112;1;1.868
21;121;5;4.729
22;131;1;3.477
23;118;2;3.931
24;114;1;1.887
25;123;6;5.608
26;135;1;3.659
27;149;6;6.136
28;150;1;4.177
29;147;2;2.973
30;146;6;4.915
31;152;1;4.249
32;160;1;4.352
33;174;3;5.597
34;176;5;6.553
35;155;2;2.909
36;153;3;3.216
37;162;5;6.772
38;164;1;4.938
39;162;1;2.452
40;177;3;5.722
41;178;3;6.046
42;185;4;7.196
43;171;4;7.069
44;183;1;5.798
45;185;1;6.055
46;200;4;7.767
47;206;2;7.365
48;213;4;9.034
49;214;6;9.645
50;196;3;5.347
51;174;1;4.114
52;171;7;6.530
53;185;3;8.813
54;182;8;7.452
55;180;7;6.776
56;177;2;4.286
57;183;1;7.209
58;181;4;5.024
59;180;1;3.344
60;181;2;7.600
61;161;1;6.684
62;170;1;6.814
63;178;2;8.152
64;198;1;8.104
65;197;2;4.558
66;217;1;8.612
67;216;2;4.682
68;218;1;9.374
69;204;3;9.973
70;203;1;3.895
71;212;1;8.643
72;212;5;11.653
73;213;8;12.837
74;221;2;10.059
75;203;5;6.304
76;201;4;5.569
77;192;8;12.815
78;193;3;10.042
79;202;1;9.672
80;217;1;10.895
81;216;1;4.840
82;217;6;13.747
83;217;7;14.235
84;233;9;15.766
85;241;2;12.679
86;243;2;12.467
87;241;4;7.233
88;242;7;15.253
89;242;1;13.468
90;243;1;12.780
91;242;3;7.023
92;264;5;15.899
93;266;14;21.500
94;283;6;18.182
95;284;1;15.760
96;290;7;19.910
97;291;7;20.310
98;279;4;19.005
99;262;1;16.085
100;259;1;7.370
101;260;2;16.162
102;245;1;14.546
103;246;2;15.012
104;246;4;17.030
105;261;7;18.720
106;275;6;20.287
107;274;3;9.164
108;271;1;7.886
109;258;1;16.957
110;267;3;17.537
111;253;9;12.122
112;252;6;10.200
113;233;3;7.967
114;235;5;19.140
115;233;10;11.312
116;219;1;5.808
117;217;11;19.996
118;214;4;7.002
119;223;2;14.925
120;225;4;16.965
121;225;7;19.028
122;225;5;17.855
123;226;7;19.036
124;227;6;18.403
125;219;5;8.246
126;201;1;5.996
127;202;5;18.108
128;203;6;19.121
129;202;1;5.970
130;210;2;17.102
131;207;5;8.131
132;200;5;17.829
133;207;4;18.418
134;208;1;17.523
135;217;6;20.035
136;225;6;19.989
137;227;8;22.426
138;224;2;7.366
139;231;3;19.773
140;230;4;8.630
141;228;1;7.035
142;229;4;21.470
143;222;8;22.403
144;229;1;19.782
145;237;11;25.991
146;228;6;22.545
147;227;3;8.549
148;228;2;20.237
149;229;2;21.796
150;242;9;27.383
151;244;3;23.157
152;245;1;23.468
153;251;25;37.119
154;245;1;9.348
155;238;4;24.687
156;237;6;25.807
157;236;8;12.769
158;245;14;30.746
159;230;1;23.714
160;229;3;9.578
161;230;10;27.886
162;229;3;9.777
163;241;1;24.740
164;240;1;23.457
165;240;1;22.330
166;242;2;23.985
167;251;1;24.436
168;250;4;26.807
169;251;6;26.771
170;250;8;13.157
171;257;8;28.324
172;257;7;29.300
173;257;8;28.208
174;258;4;27.300
175;260;4;27.394
176;274;5;28.625
177;281;3;29.546
178;290;2;29.281
179;288;2;11.971
180;283;2;30.286
181;281;9;15.980
182;279;4;12.477
183;278;2;11.016
184;290;4;29.767
185;291;3;30.643
186;289;5;31.817
187;278;6;13.336
188;279;3;28.392
189;288;1;28.637
190;289;4;30.778
191;281;2;30.116
