ITERATION;LEN(HYP);SAMPLENR;RUNTIME(sample)
1;96;1;0.944
2;105;1;1.338
3;119;5;3.266
4;127;1;0.968
5;100;2;0.860
6;96;2;1.149
7;112;1;1.493
8;113;1;1.509
9;115;2;2.247
10;116;1;1.756
11;93;1;1.251
12;115;1;2.145
13;124;2;3.000
14;120;1;1.698
15;127;1;2.982
16;128;2;3.962
17;136;7;6.067
18;137;6;6.470
19;136;6;4.680
20;143;1;3.266
21;151;1;3.674
22;154;2;4.217
23;155;2;4.446
24;157;1;3.966
25;153;1;2.688
26;173;1;4.409
27;187;2;5.116
28;164;2;3.461
29;184;1;4.789
30;191;1;4.986
31;205;7;8.779
32;202;1;6.150
33;201;5;5.596
34;200;4;5.097
35;207;4;7.711
36;208;4;7.522
37;186;3;4.733
38;183;5;5.507
39;199;1;6.392
40;209;1;7.197
41;210;2;7.782
42;211;3;8.894
43;210;1;4.410
44;230;2;8.801
45;211;2;4.985
46;209;2;4.845
47;218;1;8.279
48;224;3;10.665
49;239;3;10.505
50;253;5;13.090
51;251;1;6.007
52;238;2;10.884
53;218;15;13.177
54;225;19;19.133
55;222;1;9.593
56;219;1;9.970
57;218;3;5.854
58;219;8;12.520
59;234;7;13.114
60;243;2;11.682
61;239;1;5.936
62;232;3;11.320
63;252;1;10.880
64;247;2;12.119
65;244;2;6.078
66;241;8;9.353
67;240;8;9.285
68;248;12;17.725
69;257;9;16.508
70;265;7;16.115
71;264;5;8.105
72;248;3;6.591
73;249;11;18.326
74;251;1;13.483
75;232;19;15.114
76;228;1;5.321
77;228;7;14.660
78;229;15;19.350
79;244;9;18.222
80;238;8;17.632
81;246;11;19.999
82;245;3;6.917
83;242;5;7.725
84;222;21;15.798
85;219;2;5.460
86;220;8;15.994
87;219;5;7.046
88;228;23;25.793
89;237;12;18.673
90;238;11;18.825
91;219;11;11.102
92;234;2;16.066
93;225;6;16.784
94;234;8;19.283
95;232;6;8.858
96;224;12;21.790
97;222;5;16.976
98;223;9;19.918
99;224;1;14.592
100;223;8;19.888
