ITERATION;LEN(HYP);SAMPLENR;RUNTIME(sample)
1;88;4;3.195
2;89;1;1.639
3;90;1;2.308
4;91;2;3.513
5;92;1;3.559
6;99;1;4.258
7;108;1;5.026
8;130;3;4.334
9;138;1;1.428
10;111;4;3.159
11;108;1;2.252
12;107;1;2.320
13;108;3;4.107
14;110;2;6.561
15;119;1;5.714
16;143;1;3.762
17;167;3;5.465
18;146;3;4.187
19;143;4;4.797
20;139;3;3.999
21;146;2;6.699
22;147;3;8.138
23;147;1;4.620
24;163;1;4.700
25;172;1;4.452
26;173;1;7.036
27;152;5;5.662
28;146;1;7.207
29;142;3;4.357
30;142;3;6.100
31;143;1;6.810
32;139;1;3.186
33;147;3;6.338
34;162;1;7.764
35;178;3;7.085
36;179;1;8.438
37;178;3;5.242
38;179;2;9.566
39;189;3;7.763
40;168;1;3.770
41;155;5;8.754
42;162;2;9.888
43;165;1;6.651
44;163;1;3.636
45;160;1;3.580
46;176;1;6.915
47;175;1;3.629
48;159;1;7.164
49;167;3;7.856
50;166;1;3.729
51;182;1;7.144
52;170;1;6.880
53;171;2;9.083
54;168;1;3.786
55;159;2;7.686
56;160;1;8.796
57;167;5;12.335
58;168;1;10.439
59;165;1;4.243
60;174;1;7.747
61;176;1;8.422
62;169;2;8.844
63;170;1;10.299
64;176;4;11.539
65;179;1;8.388
66;176;5;12.777
67;175;4;6.007
68;183;7;11.784
69;163;1;3.591
70;177;1;8.499
71;184;3;11.626
72;190;2;9.468
73;187;1;4.167
74;193;2;12.248
75;206;1;9.269
76;207;1;12.855
77;205;2;5.898
78;193;1;9.984
79;174;2;5.501
80;175;2;13.935
81;182;3;11.529
82;183;1;14.575
83;197;1;13.152
84;197;3;13.251
85;196;1;5.945
86;203;1;15.216
87;200;4;7.906
88;222;1;12.342
89;229;3;17.489
90;224;1;13.288
91;237;1;18.512
92;244;1;19.428
93;245;1;19.792
94;253;1;18.251
95;254;7;25.638
96;252;1;8.402
97;253;2;22.065
98;233;1;8.199
99;235;2;15.963
100;234;3;9.446
