ITERATION;LEN(HYP);SAMPLENR;RUNTIME(sample)
1;88;1;0.780
2;118;1;0.663
3;92;1;0.357
4;88;5;1.341
5;87;5;2.117
6;94;2;1.512
7;90;4;2.498
8;88;12;4.617
9;95;2;1.861
10;94;7;3.122
11;95;1;1.554
12;96;1;1.833
13;116;1;2.252
14;132;4;3.478
15;139;11;6.350
16;147;1;2.818
17;149;1;2.981
18;150;1;3.033
19;156;1;3.312
20;159;2;3.823
21;160;1;3.468
22;169;3;4.652
23;189;1;4.380
24;198;1;4.756
25;214;1;5.268
26;215;5;7.025
27;212;7;6.794
28;190;1;3.843
29;191;1;5.674
30;203;1;6.161
31;201;2;4.659
32;215;1;6.735
33;213;1;4.466
34;214;3;8.010
35;196;1;6.237
36;177;6;5.716
37;174;3;4.404
38;180;1;6.184
39;189;3;7.387
40;198;3;7.959
41;212;1;7.690
42;210;6;10.082
43;207;3;5.393
44;205;2;4.926
45;199;3;7.821
46;198;9;7.443
47;207;4;8.265
48;214;7;10.205
49;221;20;16.850
50;212;7;10.774
51;205;2;7.890
52;198;1;7.393
53;186;2;7.060
54;179;4;7.807
55;181;4;7.777
56;190;1;6.713
57;202;8;10.325
58;203;3;8.319
59;204;5;9.473
60;202;7;7.377
61;182;2;4.551
62;196;7;10.352
63;198;8;10.978
64;195;3;5.089
65;193;1;3.866
66;194;2;7.753
67;195;4;9.249
68;212;2;8.747
69;219;11;13.373
70;216;3;5.586
71;222;2;9.391
72;229;4;10.594
73;238;1;9.873
74;232;4;11.668
75;239;15;17.133
76;247;2;11.896
77;261;3;12.871
78;270;2;13.229
79;270;2;13.397
80;272;5;15.114
81;269;2;13.763
82;270;4;14.446
83;285;9;18.030
84;295;10;19.429
85;296;4;17.010
86;295;8;12.891
87;292;3;15.993
88;278;7;17.427
89;271;2;14.783
90;272;3;14.830
91;271;4;9.241
92;255;2;7.848
93;255;7;17.351
94;252;24;19.049
95;249;3;7.786
96;258;3;14.313
97;259;7;16.787
98;256;15;20.703
99;272;15;20.820
100;256;13;19.554
101;258;4;14.887
102;251;9;17.733
103;266;9;18.145
104;264;11;12.495
105;279;4;15.828
106;264;8;17.838
107;251;7;16.107
108;260;11;18.415
109;247;5;8.663
110;262;2;15.039
111;260;8;10.345
112;275;1;15.284
113;282;2;16.505
114;281;1;8.058
115;277;23;27.825
116;276;9;12.004
117;285;2;17.421
118;285;3;18.522
119;286;6;19.924
120;286;7;20.675
121;287;1;18.070
122;285;9;13.133
123;287;27;31.983
124;279;4;20.122
125;279;3;19.681
126;280;13;25.089
127;287;7;23.103
128;286;1;20.170
129;285;9;13.518
130;294;4;20.419
131;300;16;27.236
132;309;5;22.002
133;311;5;22.992
134;311;17;30.141
135;319;2;22.822
136;317;18;31.182
137;302;23;31.115
138;303;11;25.185
139;301;14;26.368
140;307;1;19.266
141;324;3;21.353
142;310;1;20.618
143;319;9;25.011
144;318;3;11.446
145;303;7;22.767
146;288;6;11.511
147;297;6;22.128
148;283;11;24.772
149;274;8;23.018
150;283;10;24.021
151;293;6;22.596
152;299;5;22.736
153;305;4;22.785
154;306;3;22.304
155;306;13;28.575
156;312;28;36.558
157;321;3;24.017
158;307;7;26.286
159;306;1;10.971
160;307;10;27.613
161;308;17;31.794
162;301;2;23.517
163;298;10;16.025
164;298;6;24.995
165;296;27;36.337
166;279;2;21.076
167;277;2;10.062
168;285;1;21.024
169;286;1;21.334
170;284;7;13.382
171;286;26;35.223
172;284;5;12.175
173;285;10;26.905
174;294;19;32.348
175;295;6;26.032
176;296;1;24.053
177;295;4;26.056
178;294;9;14.855
179;293;22;21.597
180;308;7;27.190
181;307;6;13.860
182;308;5;26.494
183;309;2;24.946
184;291;15;17.515
185;300;5;26.666
186;298;2;11.133
187;299;2;25.899
188;290;4;27.352
189;291;17;32.970
190;292;15;32.819
191;301;12;32.007
192;301;12;33.401
193;316;6;30.641
194;317;13;35.387
195;315;14;20.353
196;324;7;31.934
197;325;4;30.874
198;340;32;47.867
199;339;2;14.471
200;337;4;15.664
