ITERATION;LEN(HYP);SAMPLENR;RUNTIME(sample)
1;88;1;1.749
2;116;3;2.450
3;91;1;1.043
4;89;6;3.525
5;87;2;1.432
6;88;1;1.289
7;90;1;1.749
8;91;1;1.548
9;111;3;3.114
10;112;1;1.936
11;113;1;2.497
12;112;1;1.583
13;113;2;2.866
14;114;5;4.986
15;123;1;2.601
16;125;2;3.605
17;107;1;1.866
18;108;1;3.232
19;122;1;3.747
20;130;1;4.024
21;145;4;5.870
22;151;1;4.470
23;140;1;4.123
24;138;2;3.135
25;145;1;4.201
26;152;1;4.225
27;137;2;5.116
28;146;2;4.696
29;143;1;2.908
30;137;1;4.790
31;128;2;5.084
32;137;4;5.783
33;133;1;4.576
34;132;3;4.273
35;127;2;3.349
36;121;1;4.386
37;119;2;2.683
38;128;2;4.598
39;129;3;5.396
40;128;2;3.155
41;148;1;5.083
42;142;1;5.322
43;141;2;3.426
44;156;1;5.210
45;155;2;3.555
46;134;1;2.735
47;143;5;7.765
48;144;2;6.442
49;143;1;2.884
50;144;3;6.870
51;141;2;3.500
52;126;2;6.390
53;143;2;6.132
54;140;4;4.187
55;140;6;8.867
56;139;1;2.523
57;140;3;6.385
58;126;1;5.382
59;127;3;6.222
60;128;2;6.403
61;125;1;2.698
62;145;2;6.351
63;157;1;6.223
64;172;15;14.552
65;185;2;7.941
66;205;2;9.023
67;219;2;9.553
68;220;3;10.883
69;231;4;11.614
70;239;11;16.606
71;248;4;12.089
72;256;3;12.317
73;265;7;15.221
74;277;3;13.466
75;277;7;16.471
76;269;1;12.379
77;270;1;12.040
78;269;10;13.053
79;289;8;17.742
80;295;2;14.571
81;277;54;44.395
82;264;15;16.471
83;262;16;17.167
84;261;15;16.194
85;270;27;31.756
86;279;5;17.547
87;278;2;9.456
88;276;7;11.903
89;277;22;29.706
90;276;7;11.470
91;270;4;16.972
92;271;11;21.575
93;269;1;7.222
94;268;21;20.221
95;266;7;10.783
96;260;19;26.442
97;258;3;7.878
98;273;11;21.699
99;272;6;10.484
100;272;6;18.918
101;281;6;18.913
102;290;73;64.770
103;276;37;40.757
104;282;14;25.303
105;291;31;37.957
106;300;9;23.034
107;299;34;31.703
108;305;15;27.813
109;299;1;18.028
110;298;44;37.588
111;283;1;17.426
112;282;9;21.995
113;291;35;39.729
114;300;7;21.454
115;301;55;55.619
116;318;45;49.761
117;327;8;25.513
118;333;20;34.657
119;318;5;23.565
120;319;5;22.973
121;317;43;39.310
122;316;14;30.347
123;325;3;21.977
124;305;3;21.887
125;290;4;11.025
126;289;3;10.026
127;274;27;36.422
128;272;65;61.063
129;281;33;38.833
130;290;35;41.554
131;283;13;26.950
132;282;42;35.975
133;283;7;23.561
134;282;11;14.942
135;291;6;23.065
136;300;27;38.401
137;302;4;23.323
138;293;7;25.928
139;293;6;24.584
140;301;17;32.512
141;299;12;16.490
142;308;5;23.470
143;309;10;28.049
144;310;11;29.477
145;312;17;33.953
146;321;2;24.575
147;314;15;33.882
148;316;5;27.046
149;301;11;18.149
150;310;24;41.268
151;310;6;29.741
152;302;19;24.194
153;310;6;30.351
154;319;19;38.956
155;320;4;29.802
156;311;6;31.105
157;310;9;17.559
158;312;2;27.700
159;327;1;27.449
160;328;21;42.617
161;314;17;23.628
162;323;23;44.127
163;310;16;40.000
164;319;6;32.837
165;321;5;33.179
166;329;2;32.671
167;328;18;26.612
168;329;26;50.215
169;326;2;14.743
170;318;6;17.143
171;333;48;66.590
172;334;3;34.878
173;332;76;70.432
174;347;35;59.463
175;345;21;30.503
176;345;12;43.335
177;344;2;35.305
178;345;13;42.504
179;343;7;18.818
180;343;6;36.603
181;351;5;36.422
182;352;11;42.242
183;337;4;16.814
184;336;7;18.497
185;333;6;17.666
186;334;4;35.299
187;333;11;21.105
188;332;19;48.179
189;331;2;13.749
190;341;6;37.009
191;350;1;33.785
192;349;11;21.963
193;348;3;14.964
194;332;6;16.769
195;341;32;56.928
196;342;7;39.805
197;344;6;40.744
198;342;7;18.638
199;341;13;22.894
200;341;2;37.831
