ITERATION;LEN(HYP);SAMPLENR;RUNTIME(sample);RUNTIME(total)s;RUNTIME(total)
1;96;2;1.361;1.361;0:00:01
2;118;2;1.289;2.65;0:00:02
3;91;6;1.756;4.406;0:00:04
4;87;3;1.339;5.745;0:00:05
5;94;4;2.405;8.15;0:00:08
6;89;4;2.698;10.848;0:00:10
7;90;2;1.757;12.605;0:00:12
8;91;2;2.190;14.795;0:00:14
9;92;2;2.658;17.453;0:00:17
10;99;5;4.386;21.839;0:00:21
11;100;2;3.784;25.623;0:00:25
12;120;1;3.723;29.346;0:00:29
13;118;7;4.504;33.85;0:00:33
14;140;6;4.835;38.685;0:00:38
15;120;2;2.266;40.951;0:00:40
16;135;1;2.765;43.716;0:00:43
17;159;1;3.394;47.11;0:00:47
18;168;2;3.967;51.077;0:00:51
19;149;4;3.973;55.05;0:00:55
20;155;1;3.843;58.893;0:00:58
21;162;2;4.386;63.279;0:01:03
22;163;1;4.999;68.278;0:01:08
23;162;1;4.535;72.813;0:01:12
24;141;8;5.935;78.748;0:01:18
25;157;3;5.492;84.24;0:01:24
26;135;2;2.829;87.069;0:01:27
27;149;2;4.867;91.936;0:01:31
28;150;2;5.687;97.623;0:01:37
29;131;1;2.647;100.27;0:01:40
30;134;3;5.272;105.542;0:01:45
31;127;6;6.515;112.057;0:01:52
32;142;1;4.236;116.293;0:01:56
33;148;1;4.758;121.051;0:02:01
34;146;3;3.513;124.564;0:02:04
35;144;4;3.721;128.285;0:02:08
36;141;3;3.209;131.494;0:02:11
37;148;10;8.915;140.409;0:02:20
38;148;2;5.746;146.155;0:02:26
39;129;1;2.524;148.679;0:02:28
40;135;1;5.374;154.053;0:02:34
41;134;2;2.791;156.844;0:02:36
42;133;1;2.252;159.096;0:02:39
43;140;4;6.374;165.47;0:02:45
44;147;2;5.884;171.354;0:02:51
45;144;1;2.693;174.047;0:02:54
46;140;1;2.701;176.748;0:02:56
47;155;3;6.547;183.295;0:03:03
48;143;1;5.283;188.578;0:03:08
49;123;11;6.342;194.92;0:03:14
50;119;2;5.458;200.378;0:03:20
51;116;1;1.811;202.189;0:03:22
52;117;9;8.028;210.217;0:03:30
53;115;6;4.026;214.243;0:03:34
54;124;3;5.535;219.778;0:03:39
55;144;2;6.022;225.8;0:03:45
56;145;1;5.903;231.703;0:03:51
57;145;2;6.416;238.119;0:03:58
58;154;1;5.899;244.018;0:04:04
59;145;5;7.939;251.957;0:04:11
60;160;5;8.021;259.978;0:04:19
61;167;1;7.628;267.606;0:04:27
62;190;2;8.308;275.914;0:04:35
63;199;1;8.401;284.315;0:04:44
64;190;5;10.818;295.133;0:04:55
65;191;6;11.731;306.864;0:05:06
66;190;7;11.613;318.477;0:05:18
67;196;1;8.325;326.802;0:05:26
68;197;1;8.391;335.193;0:05:35
69;197;3;10.302;345.495;0:05:45
70;177;2;4.768;350.263;0:05:50
71;175;5;10.273;360.536;0:06:00
72;183;7;11.771;372.307;0:06:12
73;184;2;8.804;381.111;0:06:21
74;200;1;10.083;391.194;0:06:31
75;208;4;11.450;402.644;0:06:42
76;209;4;11.007;413.651;0:06:53
77;208;2;10.434;424.085;0:07:04
78;224;3;11.368;435.453;0:07:15
79;210;3;5.905;441.358;0:07:21
80;208;2;5.205;446.563;0:07:26
81;187;3;5.436;451.999;0:07:31
82;194;4;12.007;464.006;0:07:44
83;191;2;11.100;475.106;0:07:55
84;191;6;12.491;487.597;0:08:07
85;193;4;11.477;499.074;0:08:19
86;189;2;5.123;504.197;0:08:24
87;175;2;4.854;509.051;0:08:29
88;176;2;11.030;520.081;0:08:40
89;183;1;11.108;531.189;0:08:51
90;177;1;10.522;541.711;0:09:01
91;184;1;11.719;553.43;0:09:13
92;178;21;21.602;575.032;0:09:35
93;198;3;12.671;587.703;0:09:47
94;197;3;6.414;594.117;0:09:54
95;203;2;12.241;606.358;0:10:06
96;185;2;11.669;618.027;0:10:18
97;182;1;4.614;622.641;0:10:22
98;190;3;11.708;634.349;0:10:34
99;188;6;13.200;647.549;0:10:47
100;195;2;10.770;658.319;0:10:58
101;193;1;4.681;663.0;0:11:03
102;187;3;11.666;674.666;0:11:14
103;188;1;11.672;686.338;0:11:26
104;189;1;12.295;698.633;0:11:38
105;178;4;12.773;711.406;0:11:51
106;177;2;5.371;716.777;0:11:56
107;178;7;15.097;731.874;0:12:11
108;180;19;20.580;752.454;0:12:32
109;181;7;16.572;769.026;0:12:49
110;180;1;5.464;774.49;0:12:54
111;181;4;13.180;787.67;0:13:07
112;178;4;6.927;794.597;0:13:14
113;192;1;11.554;806.151;0:13:26
114;201;9;16.123;822.274;0:13:42
115;201;1;12.463;834.737;0:13:54
116;202;4;16.014;850.751;0:14:10
117;202;2;13.526;864.277;0:14:24
118;203;6;17.752;882.029;0:14:42
119;216;5;16.004;898.033;0:14:58
120;216;6;18.661;916.694;0:15:16
121;209;5;16.307;933.001;0:15:33
122;216;1;16.897;949.898;0:15:49
123;217;1;15.151;965.049;0:16:05
124;226;4;19.892;984.941;0:16:24
125;233;4;20.870;1005.811;0:16:45
126;232;3;9.365;1015.176;0:16:55
127;244;3;18.426;1033.602;0:17:13
128;245;5;19.957;1053.559;0:17:33
129;235;9;22.120;1075.679;0:17:55
130;236;1;19.831;1095.51;0:18:15
131;244;3;19.389;1114.899;0:18:34
132;226;3;9.579;1124.478;0:18:44
133;225;17;16.624;1141.102;0:19:01
134;232;1;20.988;1162.09;0:19:22
135;239;3;22.985;1185.075;0:19:45
136;241;3;19.836;1204.911;0:20:04
137;257;7;22.880;1227.791;0:20:27
138;238;1;9.084;1236.875;0:20:36
139;237;1;8.664;1245.539;0:20:45
140;244;5;25.435;1270.974;0:21:10
141;242;3;10.182;1281.156;0:21:21
142;233;2;20.855;1302.011;0:21:42
143;249;3;21.659;1323.67;0:22:03
144;244;9;27.221;1350.891;0:22:30
145;243;4;10.749;1361.64;0:22:41
146;244;4;25.600;1387.24;0:23:07
147;245;2;25.147;1412.387;0:23:32
148;242;1;9.506;1421.893;0:23:41
149;254;3;23.624;1445.517;0:24:05
150;255;2;25.705;1471.222;0:24:31
151;256;1;26.182;1497.404;0:24:57
152;266;1;22.799;1520.203;0:25:20
153;267;1;26.948;1547.151;0:25:47
154;268;3;28.761;1575.912;0:26:15
155;270;2;25.100;1601.012;0:26:41
156;256;11;17.070;1618.082;0:26:58
157;248;2;30.576;1648.658;0:27:28
158;254;1;29.726;1678.384;0:27:58
159;255;7;35.179;1713.563;0:28:33
160;270;3;27.941;1741.504;0:29:01
161;282;1;31.205;1772.709;0:29:32
162;288;1;30.866;1803.575;0:30:03
163;285;2;13.314;1816.889;0:30:16
164;297;3;32.621;1849.51;0:30:49
165;295;1;12.563;1862.073;0:31:02
166;296;5;34.441;1896.514;0:31:36
167;308;1;33.167;1929.681;0:32:09
168;297;1;13.053;1942.734;0:32:22
169;298;10;38.737;1981.471;0:33:01
170;284;2;13.392;1994.863;0:33:14
171;273;3;13.675;2008.538;0:33:28
172;283;9;33.641;2042.179;0:34:02
173;292;9;34.812;2076.991;0:34:36
174;298;5;35.854;2112.845;0:35:12
175;294;19;41.525;2154.37;0:35:54
176;293;5;16.256;2170.626;0:36:10
177;282;10;18.906;2189.532;0:36:29
178;300;2;33.212;2222.744;0:37:02
179;301;1;37.380;2260.124;0:37:40
180;300;1;14.606;2274.73;0:37:54
181;297;2;14.896;2289.626;0:38:09
182;267;3;14.256;2303.882;0:38:23
183;267;5;33.427;2337.309;0:38:57
