ITERATION;LEN(HYP);SAMPLENR;RUNTIME(sample);RUNTIME(total)s;RUNTIME(total)
1;102;2;1.360;1.36;0:00:01
2;116;5;2.892;4.252;0:00:04
3;118;4;2.261;6.513;0:00:06
4;91;1;0.431;6.944;0:00:06
5;87;2;0.879;7.823;0:00:07
6;88;2;1.531;9.354;0:00:09
7;102;1;1.434;10.788;0:00:10
8;112;1;1.504;12.292;0:00:12
9;113;2;1.941;14.233;0:00:14
10;116;1;1.785;16.018;0:00:16
11;117;3;2.639;18.657;0:00:18
12;95;1;1.229;19.886;0:00:19
13;115;1;2.085;21.971;0:00:21
14;116;1;2.341;24.312;0:00:24
15;125;2;2.873;27.185;0:00:27
16;123;1;1.808;28.993;0:00:28
17;142;1;2.973;31.966;0:00:31
18;136;7;5.513;37.479;0:00:37
19;133;1;1.766;39.245;0:00:39
20;131;13;7.066;46.311;0:00:46
21;146;2;4.144;50.455;0:00:50
22;145;15;8.606;59.061;0:00:59
23;146;1;3.382;62.443;0:01:02
24;147;3;4.719;67.162;0:01:07
25;155;2;4.914;72.076;0:01:12
26;157;10;8.252;80.328;0:01:20
27;154;9;6.266;86.594;0:01:26
28;161;2;3.934;90.528;0:01:30
29;177;2;4.433;94.961;0:01:34
30;178;2;4.489;99.45;0:01:39
31;179;2;4.758;104.208;0:01:44
32;158;1;2.561;106.769;0:01:46
33;159;4;5.764;112.533;0:01:52
34;156;6;5.185;117.718;0:01:57
35;138;1;2.482;120.2;0:02:00
36;154;2;5.817;126.017;0:02:06
37;174;4;6.818;132.835;0:02:12
38;187;4;7.236;140.071;0:02:20
39;187;1;6.362;146.433;0:02:26
40;184;6;5.822;152.255;0:02:32
41;170;3;6.768;159.023;0:02:39
42;172;1;5.776;164.799;0:02:44
43;181;1;6.163;170.962;0:02:50
44;181;1;6.151;177.113;0:02:57
45;182;1;6.372;183.485;0:03:03
46;190;2;7.407;190.892;0:03:10
47;189;6;9.970;200.862;0:03:20
48;170;2;4.167;205.029;0:03:25
49;182;2;7.322;212.351;0:03:32
50;181;2;3.961;216.312;0:03:36
51;178;2;3.740;220.052;0:03:40
52;180;2;6.977;227.029;0:03:47
53;181;2;6.966;233.995;0:03:53
54;163;3;4.253;238.248;0:03:58
55;176;4;8.067;246.315;0:04:06
56;178;7;9.848;256.163;0:04:16
57;176;3;4.102;260.265;0:04:20
58;166;1;7.393;267.658;0:04:27
59;167;3;8.469;276.127;0:04:36
60;164;6;5.659;281.786;0:04:41
61;166;1;7.643;289.429;0:04:49
62;163;7;10.078;299.507;0:04:59
63;162;1;7.338;306.845;0:05:06
64;163;1;7.072;313.917;0:05:13
65;177;1;7.520;321.437;0:05:21
66;174;2;4.031;325.468;0:05:25
67;175;4;8.555;334.023;0:05:34
68;171;7;5.776;339.799;0:05:39
69;172;6;9.066;348.865;0:05:48
70;170;4;4.423;353.288;0:05:53
71;178;1;7.078;360.366;0:06:00
72;177;2;3.561;363.927;0:06:03
73;199;1;7.845;371.772;0:06:11
74;177;3;8.377;380.149;0:06:20
75;178;1;6.961;387.11;0:06:27
76;179;2;8.204;395.314;0:06:35
77;201;1;8.346;403.66;0:06:43
78;202;4;10.042;413.702;0:06:53
79;180;2;9.149;422.851;0:07:02
80;194;3;10.001;432.852;0:07:12
81;193;2;4.638;437.49;0:07:17
82;194;2;9.344;446.834;0:07:26
83;195;2;9.875;456.709;0:07:36
84;196;4;11.596;468.305;0:07:48
85;205;1;10.384;478.689;0:07:58
86;206;3;11.817;490.506;0:08:10
87;184;1;10.022;500.528;0:08:20
88;193;1;10.483;511.011;0:08:31
89;213;2;11.410;522.421;0:08:42
90;233;3;12.885;535.306;0:08:55
91;233;3;12.827;548.133;0:09:08
92;224;3;12.916;561.049;0:09:21
93;224;7;14.558;575.607;0:09:35
94;226;5;13.348;588.955;0:09:48
95;227;13;18.492;607.447;0:10:07
96;226;3;6.539;613.986;0:10:13
97;227;5;14.606;628.592;0:10:28
98;226;1;12.813;641.405;0:10:41
99;226;3;13.711;655.116;0:10:55
100;241;2;13.226;668.342;0:11:08
