ITERATION;LEN(HYP);SAMPLENR;RUNTIME(sample);RUNTIME(total)s;RUNTIME(total)
1;96;2;1.375;1.375;0:00:01
2;97;1;1.318;2.693;0:00:02
3;119;3;1.719;4.412;0:00:04
4;93;3;0.945;5.357;0:00:05
5;90;2;0.876;6.233;0:00:06
6;88;1;1.389;7.622;0:00:07
7;87;1;0.800;8.422;0:00:08
8;88;4;2.486;10.908;0:00:10
9;108;1;1.603;12.511;0:00:12
10;115;2;2.107;14.618;0:00:14
11;116;1;1.890;16.508;0:00:16
12;118;3;3.037;19.545;0:00:19
13;121;4;3.511;23.056;0:00:23
14;137;7;4.876;27.932;0:00:27
15;138;1;2.242;30.174;0:00:30
16;139;3;3.339;33.513;0:00:33
17;139;1;2.719;36.232;0:00:36
18;142;3;3.579;39.811;0:00:39
19;122;7;4.307;44.118;0:00:44
20;123;1;2.656;46.774;0:00:46
21;124;2;3.331;50.105;0:00:50
22;144;3;4.336;54.441;0:00:54
23;119;3;3.090;57.531;0:00:57
24;135;4;4.646;62.177;0:01:02
25;142;1;3.421;65.598;0:01:05
26;143;1;3.694;69.292;0:01:09
27;141;2;2.984;72.276;0:01:12
28;136;1;2.553;74.829;0:01:14
29;152;1;3.911;78.74;0:01:18
30;150;2;2.798;81.538;0:01:21
31;133;3;4.888;86.426;0:01:26
32;141;2;3.888;90.314;0:01:30
33;120;1;1.770;92.084;0:01:32
34;127;3;4.321;96.405;0:01:36
35;141;1;4.257;100.662;0:01:40
36;138;1;3.915;104.577;0:01:44
37;139;2;4.338;108.915;0:01:48
38;140;1;4.401;113.316;0:01:53
39;142;7;7.231;120.547;0:02:00
40;158;2;5.096;125.643;0:02:05
41;173;5;7.272;132.915;0:02:12
42;181;5;7.325;140.24;0:02:20
43;187;4;6.808;147.048;0:02:27
44;184;4;4.601;151.649;0:02:31
45;162;5;5.048;156.697;0:02:36
46;158;3;3.757;160.454;0:02:40
47;158;1;5.483;165.937;0:02:45
48;159;7;8.482;174.419;0:02:54
49;157;2;3.345;177.764;0:02:57
50;145;5;7.315;185.079;0:03:05
51;138;4;6.462;191.541;0:03:11
52;139;3;6.368;197.909;0:03:17
53;155;1;5.882;203.791;0:03:23
54;162;1;5.514;209.305;0:03:29
55;162;1;6.259;215.564;0:03:35
56;163;1;5.977;221.541;0:03:41
57;142;8;6.466;228.007;0:03:48
58;129;1;5.631;233.638;0:03:53
59;128;2;3.082;236.72;0:03:56
60;122;1;2.347;239.067;0:03:59
61;120;1;2.109;241.176;0:04:01
62;128;4;6.531;247.707;0:04:07
63;131;3;6.218;253.925;0:04:13
64;132;7;8.474;262.399;0:04:22
65;141;2;6.538;268.937;0:04:28
66;140;3;3.553;272.49;0:04:32
67;141;4;7.189;279.679;0:04:39
68;157;1;6.894;286.573;0:04:46
69;158;1;7.028;293.601;0:04:53
70;154;3;3.972;297.573;0:04:57
71;152;1;2.737;300.31;0:05:00
72;144;6;8.446;308.756;0:05:08
73;131;2;6.255;315.011;0:05:15
74;114;1;5.377;320.388;0:05:20
75;123;3;6.649;327.037;0:05:27
76;129;2;6.628;333.665;0:05:33
77;128;3;7.454;341.119;0:05:41
78;129;3;6.342;347.461;0:05:47
79;128;4;3.506;350.967;0:05:50
80;127;1;2.119;353.086;0:05:53
81;126;1;1.920;355.006;0:05:55
82;133;1;6.000;361.006;0:06:01
83;135;6;7.899;368.905;0:06:08
84;149;1;6.848;375.753;0:06:15
85;146;3;3.230;378.983;0:06:18
86;147;1;6.910;385.893;0:06:25
87;148;2;6.652;392.545;0:06:32
88;149;4;7.837;400.382;0:06:40
89;148;4;8.230;408.612;0:06:48
90;157;2;7.365;415.977;0:06:55
91;144;1;6.730;422.707;0:07:02
92;145;2;7.078;429.785;0:07:09
93;146;1;7.688;437.473;0:07:17
94;144;3;4.114;441.587;0:07:21
95;158;1;8.244;449.831;0:07:29
96;157;2;3.730;453.561;0:07:33
97;177;1;8.773;462.334;0:07:42
98;176;5;11.299;473.633;0:07:53
99;196;2;9.228;482.861;0:08:02
100;198;1;9.203;492.064;0:08:12
101;197;4;5.324;497.388;0:08:17
102;198;1;10.123;507.511;0:08:27
103;207;1;10.965;518.476;0:08:38
104;208;1;10.026;528.502;0:08:48
105;228;1;12.197;540.699;0:09:00
106;215;2;5.338;546.037;0:09:06
107;216;1;12.240;558.277;0:09:18
108;207;4;14.260;572.537;0:09:32
109;208;3;13.618;586.155;0:09:46
110;210;6;15.516;601.671;0:10:01
111;230;2;13.022;614.693;0:10:14
112;227;1;5.005;619.698;0:10:19
113;228;15;21.216;640.914;0:10:40
114;237;4;14.422;655.336;0:10:55
115;252;3;16.905;672.241;0:11:12
116;258;8;20.104;692.345;0:11:32
117;257;3;7.274;699.619;0:11:39
118;264;3;18.700;718.319;0:11:58
119;258;2;16.635;734.954;0:12:14
120;267;5;17.914;752.868;0:12:32
121;268;1;15.952;768.82;0:12:48
122;265;6;9.726;778.546;0:12:58
123;246;1;6.680;785.226;0:13:05
124;245;2;6.988;792.214;0:13:12
125;254;16;24.158;816.372;0:13:36
126;250;7;22.230;838.602;0:13:58
127;248;5;8.895;847.497;0:14:07
128;242;5;18.861;866.358;0:14:26
129;240;6;9.253;875.611;0:14:35
130;238;19;16.118;891.729;0:14:51
131;247;3;19.611;911.34;0:15:11
132;245;8;10.411;921.751;0:15:21
133;246;3;18.077;939.828;0:15:39
134;261;5;20.391;960.219;0:16:00
135;248;2;7.913;968.132;0:16:08
136;228;4;20.123;988.255;0:16:28
137;228;2;19.431;1007.686;0:16:47
138;227;4;8.429;1016.115;0:16:56
139;226;1;17.064;1033.179;0:17:13
140;225;4;8.006;1041.185;0:17:21
141;224;2;16.716;1057.901;0:17:37
142;239;10;22.975;1080.876;0:18:00
143;248;3;19.806;1100.682;0:18:20
144;263;3;22.116;1122.798;0:18:42
145;269;5;21.417;1144.215;0:19:04
146;278;1;19.507;1163.722;0:19:23
147;279;6;23.447;1187.169;0:19:47
148;263;7;25.012;1212.181;0:20:12
149;262;7;10.631;1222.812;0:20:22
150;270;25;32.400;1255.212;0:20:55
151;271;9;22.586;1277.798;0:21:17
152;285;9;23.387;1301.185;0:21:41
153;292;3;23.708;1324.893;0:22:04
154;287;1;21.962;1346.855;0:22:26
155;284;8;12.027;1358.882;0:22:38
156;297;1;20.740;1379.622;0:22:59
157;291;10;28.794;1408.416;0:23:28
158;290;3;9.891;1418.307;0:23:38
159;291;13;30.102;1448.409;0:24:08
160;293;6;28.317;1476.726;0:24:36
161;302;9;29.465;1506.191;0:25:06
162;288;6;12.495;1518.686;0:25:18
163;287;21;20.600;1539.286;0:25:39
164;274;5;11.221;1550.507;0:25:50
165;280;8;28.215;1578.722;0:26:18
166;279;2;9.319;1588.041;0:26:28
167;288;4;29.395;1617.436;0:26:57
168;304;5;29.918;1647.354;0:27:27
169;302;2;10.349;1657.703;0:27:37
170;311;3;26.679;1684.382;0:28:04
171;312;5;28.222;1712.604;0:28:32
172;320;6;28.745;1741.349;0:29:01
173;321;3;27.684;1769.033;0:29:29
174;322;1;26.913;1795.946;0:29:55
175;323;6;30.590;1826.536;0:30:26
176;335;5;30.811;1857.347;0:30:57
177;351;9;37.437;1894.784;0:31:34
178;337;8;16.075;1910.859;0:31:50
179;338;2;30.258;1941.117;0:32:21
180;337;4;13.964;1955.081;0:32:35
181;338;1;30.792;1985.873;0:33:05
182;344;3;32.490;2018.363;0:33:38
183;353;1;35.893;2054.256;0:34:14
184;340;7;16.595;2070.851;0:34:30
185;339;10;18.054;2088.905;0:34:48
186;341;8;40.447;2129.352;0:35:29
187;342;16;42.398;2171.75;0:36:11
188;333;5;38.100;2209.85;0:36:49
189;334;8;36.221;2246.071;0:37:26
190;334;8;39.844;2285.915;0:38:05
191;343;13;43.741;2329.656;0:38:49
192;336;4;35.437;2365.093;0:39:25
